,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Cmp,Att,Cmp%,Yds,TD,Int,Cmp,Att,Cmp%,Yds,TD,Int,Link,-9999
Aaron Rodgers,GNB,59,82,71.95,344,35,0,39,48,81.25,153,29,0,All Aaron Rodgers red zone passing plays,RodgAa00
Russell Wilson,SEA,52,82,63.41,341,29,3,27,45,60.00,105,21,3,All Russell Wilson red zone passing plays,WilsRu00
Tom Brady,TAM,51,84,60.71,315,28,0,31,51,60.78,142,24,0,All Tom Brady red zone passing plays,BradTo00
Ryan Tannehill,TEN,43,68,63.24,335,26,2,22,32,68.75,101,19,1,All Ryan Tannehill red zone passing plays,TannRy00
Josh Allen,BUF,53,84,63.10,340,25,0,28,44,63.64,110,19,0,All Josh Allen red zone passing plays,AlleJo02
Kirk Cousins,MIN,37,62,59.68,270,25,0,21,41,51.22,97,18,0,All Kirk Cousins red zone passing plays,CousKi00
Patrick Mahomes,KAN,43,74,58.11,226,23,2,29,46,63.04,127,21,1,All Patrick Mahomes red zone passing plays,MahoPa00
Baker Mayfield,CLE,45,71,63.38,285,21,0,24,43,55.81,104,17,0,All Baker Mayfield red zone passing plays,MayfBa00
Justin Herbert,LAC,39,71,54.93,271,20,1,19,33,57.58,85,13,0,All Justin Herbert red zone passing plays,HerbJu00
Ben Roethlisberger,PIT,43,73,58.90,334,20,2,17,36,47.22,87,13,1,All Ben Roethlisberger red zone passing plays,RoetBe00
Matt Ryan,ATL,40,80,50.00,242,19,1,19,42,45.24,95,16,1,All Matt Ryan red zone passing plays,RyanMa00
Lamar Jackson,BAL,39,58,67.24,259,19,0,21,35,60.00,93,15,0,All Lamar Jackson red zone passing plays,JackLa00
Drew Brees,NOR,39,62,62.90,302,19,0,14,19,73.68,64,10,0,All Drew Brees red zone passing plays,BreeDr00
Kyler Murray,ARI,39,62,62.90,219,18,2,23,38,60.53,106,16,1,All Kyler Murray red zone passing plays,MurrKy00
Matthew Stafford,DET,36,66,54.55,249,17,2,14,27,51.85,58,11,1,All Matthew Stafford red zone passing plays,StafMa00
Deshaun Watson,HOU,50,85,58.82,295,17,0,24,48,50.00,89,13,0,All Deshaun Watson red zone passing plays,WatsDe00
Philip Rivers,IND,45,73,61.64,320,17,1,16,26,61.54,78,10,0,All Philip Rivers red zone passing plays,RivePh00
Derek Carr,LVR,42,78,53.85,247,15,1,24,49,48.98,84,12,0,All Derek Carr red zone passing plays,CarrDe02
Jared Goff,LAR,35,53,66.04,233,15,1,12,21,57.14,47,10,1,All Jared Goff red zone passing plays,GoffJa00
Gardner Minshew,JAX,23,56,41.07,176,14,0,10,20,50.00,36,6,0,All Gardner Minshew red zone passing plays,MinsGa00
Mitchell Trubisky,CHI,28,51,54.90,198,13,2,15,26,57.69,60,10,1,All Mitchell Trubisky red zone passing plays,TrubMi00
Carson Wentz,PHI,28,51,54.90,201,12,2,13,18,72.22,56,9,1,All Carson Wentz red zone passing plays,WentCa00
Joe Burrow,CIN,29,54,53.70,188,12,2,13,26,50.00,60,10,2,All Joe Burrow red zone passing plays,BurrJo01
Drew Lock,DEN,28,50,56.00,194,11,2,14,24,58.33,70,11,1,All Drew Lock red zone passing plays,LockDr00
Nick Mullens,SFO,28,43,65.12,211,11,3,16,25,64.00,71,9,1,All Nick Mullens red zone passing plays,MullNi00
Andy Dalton,DAL,29,51,56.86,160,11,3,10,21,47.62,41,8,0,All Andy Dalton red zone passing plays,DaltAn00
Ryan Fitzpatrick,MIA,16,33,48.48,92,10,3,10,20,50.00,42,8,1,All Ryan Fitzpatrick red zone passing plays,FitzRy00
Teddy Bridgewater,CAR,31,53,58.49,170,9,3,12,24,50.00,45,6,0,All Teddy Bridgewater red zone passing plays,BridTe00
Tua Tagovailoa,MIA,17,34,50.00,87,9,1,12,24,50.00,58,8,1,All Tua Tagovailoa red zone passing plays,TagoTu00
Nick Foles,CHI,19,36,52.78,103,7,1,9,19,47.37,32,5,1,All Nick Foles red zone passing plays,FoleNi00
Daniel Jones,NYG,32,59,54.24,154,7,3,12,23,52.17,42,5,2,All Daniel Jones red zone passing plays,JoneDa05
Jimmy Garoppolo,SFO,12,18,66.67,82,5,0,5,9,55.56,19,4,0,All Jimmy Garoppolo red zone passing plays,GaroJi00
Cam Newton,NWE,19,36,52.78,117,5,1,7,14,50.00,35,4,0,All Cam Newton red zone passing plays,NewtCa00
Alex Smith,WAS,17,28,60.71,126,5,1,7,13,53.85,35,3,0,All Alex Smith red zone passing plays,SmitAl03
Sam Darnold,NYJ,11,30,36.67,85,5,2,5,13,38.46,19,2,1,All Sam Darnold red zone passing plays,DarnSa00
Dwayne Haskins,WAS,14,21,66.67,108,4,0,3,8,37.50,16,2,0,All Dwayne Haskins red zone passing plays,HaskDw00
C.J. Beathard,SFO,10,15,66.67,75,4,0,4,6,66.67,15,3,0,All C.J. Beathard red zone passing plays,BeatC.00
Dak Prescott,DAL,11,20,55.00,71,3,1,5,10,50.00,28,2,1,All Dak Prescott red zone passing plays,PresDa01
Brandon Allen,CIN,6,14,42.86,34,3,1,3,8,37.50,14,3,1,All Brandon Allen red zone passing plays,AlleBr00
Jalen Hurts,PHI,5,10,50.00,34,3,1,2,5,40.00,9,2,0,All Jalen Hurts red zone passing plays,HurtJa00
Mike Glennon,JAX,7,11,63.64,39,3,0,4,8,50.00,20,3,0,All Mike Glennon red zone passing plays,GlenMi00
