Player,Tm,Cmp,Att,Cmp%,Yds,TD,Int,Cmp,Att,Cmp%,Yds,TD,Int,Link,-9999
Tom Brady,NWE,52,86,60.47,333,26,0,21,37,56.76,76,17,0,All Tom Brady red zone passing plays,BradTo00
Carson Wentz,PHI,37,57,64.91,277,23,0,15,24,62.50,71,13,0,All Carson Wentz red zone passing plays,WentCa00
Jared Goff,LAR,43,74,58.11,305,23,0,21,33,63.64,72,14,0,All Jared Goff red zone passing plays,GoffJa00
Russell Wilson,SEA,38,68,55.88,258,22,1,22,41,53.66,99,17,0,All Russell Wilson red zone passing plays,WilsRu00
Ben Roethlisberger,PIT,43,82,52.44,273,20,1,22,42,52.38,92,16,1,All Ben Roethlisberger red zone passing plays,RoetBe00
Blake Bortles,JAX,30,53,56.60,220,18,0,19,31,61.29,111,14,0,All Blake Bortles red zone passing plays,BortBl00
Andy Dalton,CIN,28,55,50.91,183,18,1,17,26,65.38,84,14,1,All Andy Dalton red zone passing plays,DaltAn00
Drew Brees,NOR,51,73,69.86,251,16,1,22,31,70.97,88,12,0,All Drew Brees red zone passing plays,BreeDr00
Kirk Cousins,WAS,33,63,52.38,230,16,3,9,25,36.00,32,7,1,All Kirk Cousins red zone passing plays,CousKi00
Case Keenum,MIN,31,51,60.78,205,16,0,15,26,57.69,58,11,0,All Case Keenum red zone passing plays,KeenCa00
Matt Ryan,ATL,32,70,45.71,221,15,2,18,35,51.43,81,12,1,All Matt Ryan red zone passing plays,RyanMa00
Jay Cutler,MIA,30,50,60.00,186,15,2,14,26,53.85,74,13,2,All Jay Cutler red zone passing plays,CutlJa00
Matthew Stafford,DET,34,71,47.89,186,15,0,17,32,53.13,71,13,0,All Matthew Stafford red zone passing plays,StafMa00
Dak Prescott,DAL,31,56,55.36,201,14,3,13,28,46.43,69,10,1,All Dak Prescott red zone passing plays,PresDa01
Philip Rivers,LAC,34,67,50.75,207,14,1,21,44,47.73,97,13,0,All Philip Rivers red zone passing plays,RivePh00
Eli Manning,NYG,28,48,58.33,209,14,0,15,23,65.22,73,10,0,All Eli Manning red zone passing plays,MannEl00
Joe Flacco,BAL,36,69,52.17,154,13,0,17,35,48.57,47,11,0,All Joe Flacco red zone passing plays,FlacJo00
Cam Newton,CAR,28,60,46.67,197,13,1,14,26,53.85,82,10,0,All Cam Newton red zone passing plays,NewtCa00
Alex Smith,KAN,31,68,45.59,196,13,0,11,20,55.00,60,10,0,All Alex Smith red zone passing plays,SmitAl03
Derek Carr,OAK,22,45,48.89,125,12,1,12,29,41.38,56,11,0,All Derek Carr red zone passing plays,CarrDe02
Aaron Rodgers,GNB,22,34,64.71,138,12,0,12,21,57.14,45,10,0,All Aaron Rodgers red zone passing plays,RodgAa00
Jameis Winston,TAM,21,42,50.00,191,12,0,5,14,35.71,22,4,0,All Jameis Winston red zone passing plays,WinsJa00
Deshaun Watson,HOU,13,21,61.90,87,12,1,10,12,83.33,52,10,0,All Deshaun Watson red zone passing plays,WatsDe00
Tyrod Taylor,BUF,30,58,51.72,166,11,2,13,28,46.43,48,7,2,All Tyrod Taylor red zone passing plays,TaylTy00
Trevor Siemian,DEN,25,44,56.82,144,8,0,10,19,52.63,34,5,0,All Trevor Siemian red zone passing plays,SiemTr00
DeShone Kizer,CLE,13,40,32.50,88,8,6,8,22,36.36,26,5,4,All DeShone Kizer red zone passing plays,KizeDe00
Josh McCown,NYJ,22,38,57.89,128,7,0,11,22,50.00,28,4,0,All Josh McCown red zone passing plays,McCoJo01
Carson Palmer,ARI,18,36,50.00,127,7,1,6,13,46.15,-1,1,1,All Carson Palmer red zone passing plays,PalmCa00
Jimmy Garoppolo,SFO,25,45,55.56,151,7,1,6,16,37.50,42,6,1,All Jimmy Garoppolo red zone passing plays,GaroJi00
Marcus Mariota,TEN,22,46,47.83,159,6,0,7,18,38.89,29,4,0,All Marcus Mariota red zone passing plays,MariMa01
Ryan Fitzpatrick,TAM,13,27,48.15,95,6,0,7,15,46.67,44,6,0,All Ryan Fitzpatrick red zone passing plays,FitzRy00
Jacoby Brissett,IND,15,40,37.50,123,6,1,4,16,25.00,24,3,1,All Jacoby Brissett red zone passing plays,BrisJa00
Nick Foles,PHI,12,19,63.16,75,5,0,4,6,66.67,23,3,0,All Nick Foles red zone passing plays,FoleNi00
Drew Stanton,ARI,10,18,55.56,86,5,1,4,6,66.67,19,1,0,All Drew Stanton red zone passing plays,StanDr00
