Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,New Orleans Saints,16,220,107,48.6%,15,13,86.7%,68,45,66.2%
2,New England Patriots,16,227,104,45.8%,12,8,66.7%,60,38,63.3%
3,Tennessee Titans,16,217,100,46.1%,11,4,36.4%,50,36,72.0%
4,Green Bay Packers,16,210,98,46.7%,17,7,41.2%,66,40,60.6%
5,Tampa Bay Buccaneers,16,214,94,43.9%,9,4,44.4%,54,28,51.9%
6,Washington Redskins,16,199,90,45.2%,14,7,50.0%,61,28,45.9%
7,Indianapolis Colts,16,202,87,43.1%,18,8,44.4%,53,35,66.0%
8,Arizona Cardinals,16,214,87,40.7%,10,5,50.0%,54,35,64.8%
9,Houston Texans,16,233,87,37.3%,23,9,39.1%,44,18,40.9%
10,Buffalo Bills,16,210,86,41.0%,15,8,53.3%,54,35,64.8%
11,Baltimore Ravens,16,233,86,36.9%,19,8,42.1%,46,24,52.2%
12,San Diego Chargers,16,200,85,42.5%,12,6,50.0%,62,32,51.6%
13,Philadelphia Eagles,16,224,85,37.9%,27,13,48.1%,55,27,49.1%
14,Detroit Lions,16,195,83,42.6%,10,7,70.0%,48,26,54.2%
15,Oakland Raiders,16,218,83,38.1%,13,6,46.2%,56,32,57.1%
16,Pittsburgh Steelers,16,202,83,41.1%,16,9,56.3%,49,29,59.2%
17,Carolina Panthers,16,223,83,37.2%,17,11,64.7%,49,29,59.2%
18,Cincinnati Bengals,16,210,82,39.0%,9,7,77.8%,54,29,53.7%
19,Minnesota Vikings,16,213,81,38.0%,18,8,44.4%,50,23,46.0%
20,Kansas City Chiefs,16,213,81,38.0%,14,10,71.4%,55,25,45.5%
21,Dallas Cowboys,16,189,80,42.3%,9,8,88.9%,57,38,66.7%
22,Seattle Seahawks,16,207,79,38.2%,11,4,36.4%,56,26,46.4%
23,New York Giants,16,219,78,35.6%,19,9,47.4%,43,23,53.5%
24,Jacksonville Jaguars,16,221,78,35.3%,16,7,43.8%,40,24,60.0%
25,San Francisco 49ers,16,222,78,35.1%,19,10,52.6%,44,30,68.2%
26,Cleveland Browns,16,212,77,36.3%,18,13,72.2%,44,24,54.5%
27,New York Jets,16,210,76,36.2%,19,8,42.1%,54,19,35.2%
28,Atlanta Falcons,16,178,75,42.1%,14,8,57.1%,63,39,61.9%
29,Denver Broncos,16,219,75,34.2%,17,9,52.9%,47,22,46.8%
30,Chicago Bears,16,185,70,37.8%,14,4,28.6%,49,25,51.0%
31,Miami Dolphins,16,188,69,36.7%,4,0,0.0%,47,26,55.3%
32,Los Angeles Rams,16,213,67,31.5%,20,8,40.0%,34,16,47.1%
,League Total,,,,,,,,,,
