,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
A.J. Green,CIN,13,6,46.15%,49,4,21.7%,6,2,33.33%,11,2,21.4%,All A.J. Green red zone receiving plays,GreeA.00
Jeff Heuerman,DEN,13,4,30.77%,25,2,22.0%,8,2,25.00%,8,1,23.5%,All Jeff Heuerman red zone receiving plays,HeueJe00
Austin Hooper,ATL,13,9,69.23%,49,4,18.6%,10,7,70.00%,34,4,26.3%,All Austin Hooper red zone receiving plays,HoopAu00
Adam Humphries,TAM,13,9,69.23%,73,3,16.3%,6,4,66.67%,25,3,17.1%,All Adam Humphries red zone receiving plays,HumpAd00
Alshon Jeffery,PHI,13,7,53.85%,52,6,16.7%,7,4,57.14%,12,3,18.9%,All Alshon Jeffery red zone receiving plays,JeffAl00
Christian McCaffrey,CAR,13,11,84.62%,55,4,20.6%,6,6,100.00%,20,3,18.8%,All Christian McCaffrey red zone receiving plays,McCaCh01
Josh Reynolds,LAR,13,6,46.15%,42,4,14.6%,5,3,60.00%,7,3,11.1%,All Josh Reynolds red zone receiving plays,ReynJo00
Kyle Rudolph,MIN,13,6,46.15%,29,3,19.7%,8,2,25.00%,8,2,27.6%,All Kyle Rudolph red zone receiving plays,RudoKy00
Dede Westbrook,JAX,13,7,53.85%,52,3,27.1%,7,3,42.86%,10,1,29.2%,All Dede Westbrook red zone receiving plays,WestDe00
Mike Williams,LAC,13,7,53.85%,31,6,19.7%,9,6,66.67%,28,6,23.7%,All Mike Williams red zone receiving plays,WillMi07
Kendrick Bourne,SFO,12,9,75.00%,43,4,17.4%,6,4,66.67%,12,4,20.7%,All Kendrick Bourne red zone receiving plays,BourKe00
Cameron Brate,TAM,12,8,66.67%,72,6,15.0%,4,3,75.00%,11,3,11.4%,All Cameron Brate red zone receiving plays,BratCa00
Mike Evans,TAM,12,6,50.00%,59,4,15.0%,6,3,50.00%,21,3,17.1%,All Mike Evans red zone receiving plays,EvanMi00
Devin Funchess,CAR,12,7,58.33%,52,3,19.0%,7,4,57.14%,16,2,21.9%,All Devin Funchess red zone receiving plays,FuncDe00
Robert Woods,LAR,12,7,58.33%,44,4,13.5%,8,4,50.00%,24,4,17.8%,All Robert Woods red zone receiving plays,WoodRo02
Nelson Agholor,PHI,11,7,63.64%,19,2,14.1%,6,5,83.33%,10,2,16.2%,All Nelson Agholor red zone receiving plays,AghoNe00
Amari Cooper,2TM,11,5,45.45%,25,3,,8,3,37.50%,5,2,,All Amari Cooper red zone receiving plays,CoopAm00
Michael Crabtree,BAL,11,5,45.45%,28,3,17.7%,6,2,33.33%,12,2,19.4%,All Michael Crabtree red zone receiving plays,CrabMi00
Gerald Everett,LAR,11,6,54.55%,32,2,12.4%,6,2,33.33%,17,2,13.3%,All Gerald Everett red zone receiving plays,EverGe00
Anthony Miller,CHI,11,7,63.64%,44,5,15.9%,6,4,66.67%,19,4,16.2%,All Anthony Miller red zone receiving plays,MillAn02
Allen Robinson,CHI,11,4,36.36%,35,2,15.9%,5,1,20.00%,8,0,13.5%,All Allen Robinson red zone receiving plays,RobiAl02
John Ross,CIN,11,8,72.73%,45,5,18.3%,7,6,85.71%,25,5,25.0%,All John Ross red zone receiving plays,RossJo00
Cole Beasley,DAL,10,6,60.00%,56,2,14.9%,5,3,60.00%,22,1,16.7%,All Cole Beasley red zone receiving plays,BeasCo00
Chris Conley,KAN,10,7,70.00%,48,5,10.9%,7,5,71.43%,27,4,15.6%,All Chris Conley red zone receiving plays,ConlCh00
Ryan Griffin,HOU,10,2,20.00%,17,0,14.7%,5,1,20.00%,4,0,12.8%,All Ryan Griffin red zone receiving plays,GrifRy00
Nyheim Hines,IND,10,9,90.00%,49,2,11.4%,4,3,75.00%,20,1,9.3%,All Nyheim Hines red zone receiving plays,HineNy00
David Johnson,ARI,10,6,60.00%,32,1,22.7%,8,5,62.50%,17,1,34.8%,All David Johnson red zone receiving plays,JohnDa08
Marvin Jones,DET,10,4,40.00%,42,3,14.5%,6,2,33.33%,13,2,21.4%,All Marvin Jones red zone receiving plays,JoneMa02
Cooper Kupp,LAR,10,8,80.00%,40,3,11.2%,6,4,66.67%,22,2,13.3%,All Cooper Kupp red zone receiving plays,KuppCo00
Vance McDonald,PIT,10,5,50.00%,38,3,12.0%,4,2,50.00%,5,1,11.1%,All Vance McDonald red zone receiving plays,McDoVa00
Theo Riddick,DET,10,8,80.00%,39,0,14.5%,1,0,0.00%,0,0,3.6%,All Theo Riddick red zone receiving plays,RiddTh00
Tre'Quan Smith,NOR,10,4,40.00%,34,3,11.1%,6,2,33.33%,13,2,13.6%,All Tre'Quan Smith red zone receiving plays,SmitTr03
Golden Tate,2TM,10,4,40.00%,25,1,,7,2,28.57%,11,1,,All Golden Tate red zone receiving plays,TateGo00
Demaryius Thomas,2TM,10,9,90.00%,64,4,,4,4,100.00%,18,3,,All Demaryius Thomas red zone receiving plays,ThomDe03
Robbie Anderson,NYJ,9,4,44.44%,29,2,18.0%,5,2,40.00%,12,2,33.3%,All Robbie Anderson red zone receiving plays,AndeRo04
Kelvin Benjamin,2TM,9,4,44.44%,23,1,,4,1,25.00%,3,1,,All Kelvin Benjamin red zone receiving plays,BenjKe00
Tevin Coleman,ATL,9,7,77.78%,42,4,12.9%,4,4,100.00%,25,4,10.5%,All Tevin Coleman red zone receiving plays,ColeTe01
Quincy Enunwa,NYJ,9,4,44.44%,17,0,18.0%,2,0,0.00%,0,0,13.3%,All Quincy Enunwa red zone receiving plays,EnunQu00
David Moore,SEA,9,3,33.33%,37,3,16.4%,4,1,25.00%,3,1,13.3%,All David Moore red zone receiving plays,MoorDa03
Curtis Samuel,CAR,9,4,44.44%,46,3,14.3%,5,1,20.00%,7,1,15.6%,All Curtis Samuel red zone receiving plays,SamuCu00
Emmanuel Sanders,DEN,9,6,66.67%,34,1,15.3%,5,3,60.00%,14,1,14.7%,All Emmanuel Sanders red zone receiving plays,SandEm00
Tajae Sharpe,TEN,9,4,44.44%,21,2,18.0%,4,2,50.00%,7,1,16.0%,All Tajae Sharpe red zone receiving plays,SharTa00
Sammy Watkins,KAN,9,4,44.44%,45,3,9.8%,4,1,25.00%,10,1,8.9%,All Sammy Watkins red zone receiving plays,WatkSa00
Ben Watson,NOR,9,6,66.67%,36,2,10.0%,6,3,50.00%,9,1,13.6%,All Ben Watson red zone receiving plays,WatsBe00
Devontae Booker,DEN,8,6,75.00%,26,0,13.6%,3,3,100.00%,5,0,8.8%,All Devontae Booker red zone receiving plays,BookDe00
Tyler Boyd,CIN,8,8,100.00%,66,5,13.3%,3,3,100.00%,18,3,10.7%,All Tyler Boyd red zone receiving plays,BoydTy00
Antonio Callaway,CLE,8,6,75.00%,20,4,14.8%,5,4,80.00%,-2,3,21.7%,All Antonio Callaway red zone receiving plays,CallAn00
Phillip Dorsett,NWE,8,7,87.50%,50,3,9.9%,3,3,100.00%,22,3,8.3%,All Phillip Dorsett red zone receiving plays,DorsPh00
Taylor Gabriel,CHI,8,5,62.50%,13,2,11.6%,5,3,60.00%,1,2,13.5%,All Taylor Gabriel red zone receiving plays,GabrTa00
Michael Gallup,DAL,8,3,37.50%,14,1,11.9%,3,2,66.67%,8,1,10.0%,All Michael Gallup red zone receiving plays,GallMi00
Antonio Gates,LAC,8,2,25.00%,11,2,12.1%,7,2,28.57%,11,2,18.4%,All Antonio Gates red zone receiving plays,GateAn00
Josh Gordon,2TM,8,3,37.50%,40,1,,4,0,0.00%,0,0,,All Josh Gordon red zone receiving plays,GordJo02
Jimmy Graham,GNB,8,3,37.50%,31,2,14.0%,5,1,20.00%,3,1,22.7%,All Jimmy Graham red zone receiving plays,GrahJi00
Rob Gronkowski,NWE,8,3,37.50%,37,1,9.9%,2,0,0.00%,0,0,5.6%,All Rob Gronkowski red zone receiving plays,GronRo00
Chris Herndon,NYJ,8,6,75.00%,78,3,16.0%,1,1,100.00%,5,1,6.7%,All Chris Herndon red zone receiving plays,HernCh00
Kareem Hunt,KAN,8,6,75.00%,54,3,8.7%,5,3,60.00%,15,2,11.1%,All Kareem Hunt red zone receiving plays,HuntKa00
Jermaine Kearse,NYJ,8,4,50.00%,40,1,16.0%,3,0,0.00%,0,0,20.0%,All Jermaine Kearse red zone receiving plays,KearJe01
David Njoku,CLE,8,5,62.50%,30,4,14.8%,5,3,60.00%,10,3,21.7%,All David Njoku red zone receiving plays,NjokDa00
Calvin Ridley,ATL,8,7,87.50%,65,6,11.4%,4,3,75.00%,18,3,10.5%,All Calvin Ridley red zone receiving plays,RidlCa00
Courtland Sutton,DEN,8,2,25.00%,27,2,13.6%,4,1,25.00%,8,1,11.8%,All Courtland Sutton red zone receiving plays,SuttCo00
Jordan Thomas,HOU,8,6,75.00%,47,4,11.8%,4,3,75.00%,17,2,10.3%,All Jordan Thomas red zone receiving plays,ThomJo05
James Conner,PIT,7,6,85.71%,36,1,8.4%,3,2,66.67%,12,1,8.3%,All James Conner red zone receiving plays,ConnJa00
Evan Engram,NYG,7,4,57.14%,35,3,9.1%,3,2,66.67%,8,2,8.8%,All Evan Engram red zone receiving plays,EngrEv00
Dallas Goedert,PHI,7,5,71.43%,28,3,9.0%,3,3,100.00%,10,2,8.1%,All Dallas Goedert red zone receiving plays,GoedDa00
Duke Johnson,CLE,7,5,71.43%,42,3,13.0%,3,1,33.33%,5,1,13.0%,All Duke Johnson red zone receiving plays,JohnDu00
Dion Lewis,TEN,7,6,85.71%,29,1,14.0%,2,1,50.00%,7,0,8.0%,All Dion Lewis red zone receiving plays,LewiDi00
D.J. Moore,CAR,7,4,57.14%,23,1,11.1%,3,1,33.33%,8,1,9.4%,All D.J. Moore red zone receiving plays,MoorD.00
Jordy Nelson,OAK,7,5,71.43%,45,3,13.2%,4,2,50.00%,4,1,10.8%,All Jordy Nelson red zone receiving plays,NelsJo00
Zach Pascal,IND,7,6,85.71%,50,2,8.0%,2,2,100.00%,11,1,4.7%,All Zach Pascal red zone receiving plays,PascZa00
Jordan Reed,WAS,7,3,42.86%,20,2,18.9%,5,3,60.00%,20,2,26.3%,All Jordan Reed red zone receiving plays,ReedJo02
Michael Roberts,DET,7,3,42.86%,34,3,10.1%,4,1,25.00%,4,1,14.3%,All Michael Roberts red zone receiving plays,RobeMi01
Chester Rogers,IND,7,3,42.86%,28,2,8.0%,1,1,100.00%,1,1,2.3%,All Chester Rogers red zone receiving plays,RogeCh02
Willie Snead,BAL,7,5,71.43%,39,1,11.3%,0,0,,0,0,.0%,All Willie Snead red zone receiving plays,SneaWi00
Ryan Switzer,PIT,7,6,85.71%,23,1,8.4%,4,4,100.00%,8,1,11.1%,All Ryan Switzer red zone receiving plays,SwitRy00
Ian Thomas,CAR,7,5,71.43%,31,2,11.1%,3,3,100.00%,16,2,9.4%,All Ian Thomas red zone receiving plays,ThomIa00
Marquez Valdes-Scantling,GNB,7,2,28.57%,15,1,12.3%,3,1,33.33%,3,1,13.6%,All Marquez Valdes-Scantling red zone receiving plays,ValdMa00
Damien Williams,KAN,7,7,100.00%,24,2,7.6%,3,3,100.00%,6,2,6.7%,All Damien Williams red zone receiving plays,WillDa05
Javorius Allen,BAL,6,6,100.00%,36,2,9.7%,2,2,100.00%,13,1,6.5%,All Javorius Allen red zone receiving plays,AlleJa01
Mark Andrews,BAL,6,2,33.33%,9,2,9.7%,3,2,66.67%,9,2,9.7%,All Mark Andrews red zone receiving plays,AndrMa00
Nick Boyle,BAL,6,2,33.33%,6,0,9.7%,5,1,20.00%,2,0,16.1%,All Nick Boyle red zone receiving plays,BoylNi00
Jaron Brown,SEA,6,6,100.00%,60,5,10.9%,4,4,100.00%,26,3,13.3%,All Jaron Brown red zone receiving plays,BrowJa03
Keelan Cole,JAX,6,3,50.00%,23,0,12.5%,0,0,,0,0,.0%,All Keelan Cole red zone receiving plays,ColeKe00
Josh Doctson,WAS,6,2,33.33%,8,2,16.2%,3,2,66.67%,8,2,15.8%,All Josh Doctson red zone receiving plays,DoctJo00
Jack Doyle,IND,6,5,83.33%,29,2,6.8%,4,4,100.00%,20,2,9.3%,All Jack Doyle red zone receiving plays,DoylJa00
Kenyan Drake,MIA,6,2,33.33%,3,1,15.4%,3,1,33.33%,3,1,16.7%,All Kenyan Drake red zone receiving plays,DrakKe00
Mike Gesicki,MIA,6,3,50.00%,21,0,15.4%,2,1,50.00%,-1,0,11.1%,All Mike Gesicki red zone receiving plays,GesiMi00
Justin Hardy,ATL,6,4,66.67%,35,2,8.6%,3,1,33.33%,5,1,7.9%,All Justin Hardy red zone receiving plays,HardJu00
Chris Hogan,NWE,6,2,33.33%,12,1,7.4%,4,1,25.00%,7,1,11.1%,All Chris Hogan red zone receiving plays,HogaCh00
O.J. Howard,TAM,6,4,66.67%,35,4,7.5%,4,3,75.00%,17,3,11.4%,All O.J. Howard red zone receiving plays,HowaO.00
Dontrelle Inman,IND,6,4,66.67%,26,3,6.8%,4,2,50.00%,9,2,9.3%,All Dontrelle Inman red zone receiving plays,InmaDo00
Kerryon Johnson,DET,6,3,50.00%,19,1,8.7%,2,0,0.00%,0,0,7.1%,All Kerryon Johnson red zone receiving plays,JohnKe06
Kyle Juszczyk,SFO,6,3,50.00%,19,0,8.7%,2,1,50.00%,8,0,6.9%,All Kyle Juszczyk red zone receiving plays,JuszKy00
Zach Line,NOR,6,5,83.33%,14,2,6.7%,3,3,100.00%,5,2,6.8%,All Zach Line red zone receiving plays,LineZa01
Tyler Lockett,SEA,6,5,83.33%,39,3,10.9%,3,2,66.67%,10,1,10.0%,All Tyler Lockett red zone receiving plays,LockTy00
Joe Mixon,CIN,6,4,66.67%,30,1,10.0%,4,2,50.00%,8,0,14.3%,All Joe Mixon red zone receiving plays,MixoJo00
Donte Moncrief,JAX,6,2,33.33%,7,1,12.5%,4,1,25.00%,4,1,16.7%,All Donte Moncrief red zone receiving plays,MoncDo00
Demarcus Robinson,KAN,6,5,83.33%,33,3,6.5%,3,2,66.67%,8,2,6.7%,All Demarcus Robinson red zone receiving plays,RobiDe01
Jacquizz Rodgers,TAM,6,5,83.33%,28,0,7.5%,0,0,,0,0,.0%,All Jacquizz Rodgers red zone receiving plays,RodgJa00
Scott Simonson,NYG,6,3,50.00%,17,1,7.8%,4,1,25.00%,3,1,11.8%,All Scott Simonson red zone receiving plays,SimoSc00
Wendell Smallwood,PHI,6,4,66.67%,33,1,7.7%,2,1,50.00%,5,0,5.4%,All Wendell Smallwood red zone receiving plays,SmalWe00
Nick Vannett,SEA,6,5,83.33%,40,3,10.9%,4,3,75.00%,15,3,13.3%,All Nick Vannett red zone receiving plays,VannNi00
Tyrell Williams,LAC,6,5,83.33%,28,2,9.1%,3,3,100.00%,13,1,7.9%,All Tyrell Williams red zone receiving plays,WillTy00
T.J. Yeldon,JAX,6,3,50.00%,21,3,12.5%,4,2,50.00%,7,2,16.7%,All T.J. Yeldon red zone receiving plays,YeldT.00
Rex Burkhead,NWE,5,2,40.00%,24,1,6.2%,0,0,,0,0,.0%,All Rex Burkhead red zone receiving plays,BurkRe00
Keke Coutee,HOU,5,4,80.00%,10,1,7.4%,2,2,100.00%,0,1,5.1%,All Keke Coutee red zone receiving plays,CoutKe00
