,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Ricky Seals-Jones,ARI,4,0,0.00%,0,0,9.1%,3,0,0.00%,0,0,13.0%,All Ricky Seals-Jones red zone receiving plays,SealRi00
Lee Smith,OAK,4,4,100.00%,7,3,7.5%,4,4,100.00%,7,3,10.8%,All Lee Smith red zone receiving plays,SmitLe00
Jeremy Sprinkle,WAS,4,2,50.00%,15,1,10.8%,3,1,33.33%,6,1,15.8%,All Jeremy Sprinkle red zone receiving plays,SpriJe00
Kenny Stills,MIA,4,4,100.00%,35,4,10.3%,3,3,100.00%,22,3,16.7%,All Kenny Stills red zone receiving plays,StilKe00
Geoff Swaim,DAL,4,3,75.00%,5,1,6.0%,2,1,50.00%,1,1,6.7%,All Geoff Swaim red zone receiving plays,SwaiGe00
Erik Swoope,IND,4,4,100.00%,39,3,4.5%,1,1,100.00%,2,1,2.3%,All Erik Swoope red zone receiving plays,SwooEr00
Trent Taylor,SFO,4,3,75.00%,9,1,5.8%,3,3,100.00%,9,1,10.3%,All Trent Taylor red zone receiving plays,TaylTr02
Chris Thompson,WAS,4,3,75.00%,24,1,10.8%,1,0,0.00%,0,0,5.3%,All Chris Thompson red zone receiving plays,ThomCh03
Laquon Treadwell,MIN,4,3,75.00%,26,1,6.1%,2,1,50.00%,5,0,6.9%,All Laquon Treadwell red zone receiving plays,TreaLa00
Jordan Wilkins,IND,4,4,100.00%,11,0,4.5%,4,4,100.00%,11,0,9.3%,All Jordan Wilkins red zone receiving plays,WilkJo01
Maxx Williams,BAL,4,4,100.00%,22,1,6.5%,4,4,100.00%,22,1,12.9%,All Maxx Williams red zone receiving plays,WillMa04
Mo Alie-Cox,IND,3,2,66.67%,8,1,3.4%,2,1,50.00%,1,1,4.7%,All Mo Alie-Cox red zone receiving plays,AlieMo00
Geronimo Allison,GNB,3,2,66.67%,8,0,5.3%,1,1,100.00%,2,0,4.5%,All Geronimo Allison red zone receiving plays,AlliGe01
Martavis Bryant,OAK,3,2,66.67%,3,0,5.7%,1,1,100.00%,-3,0,2.7%,All Martavis Bryant red zone receiving plays,BryaMa00
Austin Carr,NOR,3,2,66.67%,15,2,3.3%,2,1,50.00%,3,1,4.5%,All Austin Carr red zone receiving plays,CarrAu00
Chris Carson,SEA,3,3,100.00%,15,0,5.5%,0,0,,0,0,.0%,All Chris Carson red zone receiving plays,CarsCh00
DJ Chark,JAX,3,0,0.00%,0,0,6.3%,2,0,0.00%,0,0,8.3%,All DJ Chark red zone receiving plays,CharDJ00
Dalvin Cook,MIN,3,3,100.00%,11,1,4.5%,2,2,100.00%,11,1,6.9%,All Dalvin Cook red zone receiving plays,CookDa01
Alex Erickson,CIN,3,1,33.33%,6,0,5.0%,1,1,100.00%,6,0,3.6%,All Alex Erickson red zone receiving plays,EricAl01
Anthony Firkser,TEN,3,3,100.00%,27,1,6.0%,0,0,,0,0,.0%,All Anthony Firkser red zone receiving plays,FirkAn00
Leonard Fournette,JAX,3,3,100.00%,17,1,6.3%,1,1,100.00%,1,1,4.2%,All Leonard Fournette red zone receiving plays,FourLe00
Wayne Gallman,NYG,3,0,0.00%,0,0,3.9%,1,0,0.00%,0,0,2.9%,All Wayne Gallman red zone receiving plays,GallWa00
Pierre Garcon,SFO,3,1,33.33%,4,0,4.3%,1,1,100.00%,4,0,3.4%,All Pierre Garcon red zone receiving plays,GarcPi00
Frank Gore,MIA,3,3,100.00%,22,1,7.7%,1,1,100.00%,6,1,5.6%,All Frank Gore red zone receiving plays,GoreFr00
DaeSean Hamilton,DEN,3,2,66.67%,8,2,5.1%,3,2,66.67%,8,2,8.8%,All DaeSean Hamilton red zone receiving plays,HamiDa01
Maurice Harris,WAS,3,1,33.33%,2,0,8.1%,1,0,0.00%,0,0,5.3%,All Maurice Harris red zone receiving plays,HarrMa05
Richie James,SFO,3,2,66.67%,10,1,4.3%,2,2,100.00%,10,1,6.9%,All Richie James red zone receiving plays,JameRi00
Blake Jarwin,DAL,3,2,66.67%,32,2,4.5%,0,0,,0,0,.0%,All Blake Jarwin red zone receiving plays,JarwBl00
Aaron Jones,GNB,3,2,66.67%,9,0,5.3%,0,0,,0,0,.0%,All Aaron Jones red zone receiving plays,JoneAa00
T.J. Jones,DET,3,2,66.67%,17,1,4.3%,1,1,100.00%,5,1,3.6%,All T.J. Jones red zone receiving plays,JoneT.00
Lance Kendricks,GNB,3,3,100.00%,11,1,5.3%,1,1,100.00%,1,1,4.5%,All Lance Kendricks red zone receiving plays,KendLa00
Jordan Leggett,NYJ,3,3,100.00%,12,1,6.0%,2,2,100.00%,4,1,13.3%,All Jordan Leggett red zone receiving plays,LeggJo00
Phillip Lindsay,DEN,3,2,66.67%,9,0,5.1%,2,2,100.00%,9,0,5.9%,All Phillip Lindsay red zone receiving plays,LindPh00
Marlon Mack,IND,3,3,100.00%,3,0,3.4%,2,2,100.00%,11,0,4.7%,All Marlon Mack red zone receiving plays,MackMa00
Ty Montgomery,2TM,3,0,0.00%,0,0,,1,0,0.00%,0,0,,All Ty Montgomery red zone receiving plays,MontTy01
Jamize Olawale,DAL,3,1,33.33%,3,0,4.5%,1,0,0.00%,0,0,3.3%,All Jamize Olawale red zone receiving plays,OlawJa00
Cordarrelle Patterson,NWE,3,1,33.33%,1,1,3.7%,2,1,50.00%,1,1,5.6%,All Cordarrelle Patterson red zone receiving plays,PattCo00
Adrian Peterson,WAS,3,2,66.67%,15,1,8.1%,2,2,100.00%,15,1,10.5%,All Adrian Peterson red zone receiving plays,PeteAd01
Jalen Richard,OAK,3,2,66.67%,8,0,5.7%,2,1,50.00%,1,0,5.4%,All Jalen Richard red zone receiving plays,RichJa01
Dalton Schultz,DAL,3,1,33.33%,-1,0,4.5%,2,1,50.00%,-1,0,6.7%,All Dalton Schultz red zone receiving plays,SchuDa00
Anthony Sherman,KAN,3,2,66.67%,14,0,3.3%,1,1,100.00%,-2,0,2.2%,All Anthony Sherman red zone receiving plays,SherAn00
Ito Smith,ATL,3,2,66.67%,16,0,4.3%,2,1,50.00%,8,0,5.3%,All Ito Smith red zone receiving plays,SmitIt00
Torrey Smith,CAR,3,3,100.00%,14,2,4.8%,2,2,100.00%,6,2,6.3%,All Torrey Smith red zone receiving plays,SmitTo02
Darren Sproles,PHI,3,1,33.33%,6,1,3.8%,3,1,33.33%,6,1,8.1%,All Darren Sproles red zone receiving plays,SproDa00
Auden Tate,CIN,3,1,33.33%,4,0,5.0%,1,0,0.00%,0,0,3.6%,All Auden Tate red zone receiving plays,TateAu00
James Washington,PIT,3,1,33.33%,14,1,3.6%,0,0,,0,0,.0%,All James Washington red zone receiving plays,WashJa00
Shaun Wilson,TAM,3,1,33.33%,5,0,3.8%,0,0,,0,0,.0%,All Shaun Wilson red zone receiving plays,WilsSh01
Jordan Akins,HOU,2,0,0.00%,0,0,2.9%,1,0,0.00%,0,0,2.6%,All Jordan Akins red zone receiving plays,AkinJo00
Danny Amendola,MIA,2,0,0.00%,0,0,5.1%,2,0,0.00%,0,0,11.1%,All Danny Amendola red zone receiving plays,AmenDa00
C.J. Anderson,LAR,2,2,100.00%,2,0,2.2%,1,1,100.00%,-5,0,2.2%,All C.J. Anderson red zone receiving plays,AndeC.00
Kalen Ballage,MIA,2,2,100.00%,-2,0,5.1%,0,0,,0,0,.0%,All Kalen Ballage red zone receiving plays,BallKa00
Nick Bellore,DET,2,2,100.00%,0,0,2.9%,0,0,,0,0,.0%,All Nick Bellore red zone receiving plays,BellNi01
Giovani Bernard,CIN,2,1,50.00%,14,0,3.3%,0,0,,0,0,.0%,All Giovani Bernard red zone receiving plays,BernGi00
Ben Braunecker,CHI,2,0,0.00%,0,0,2.9%,0,0,,0,0,.0%,All Ben Braunecker red zone receiving plays,BrauBe00
Noah Brown,DAL,2,0,0.00%,0,0,3.0%,2,0,0.00%,0,0,6.7%,All Noah Brown red zone receiving plays,BrowNo00
Jake Butt,DEN,2,0,0.00%,0,0,3.4%,0,0,,0,0,.0%,All Jake Butt red zone receiving plays,ButtJa00
Derek Carrier,OAK,2,1,50.00%,6,1,3.8%,2,1,50.00%,6,1,5.4%,All Derek Carrier red zone receiving plays,CarrDe00
Garrett Celek,SFO,2,1,50.00%,11,1,2.9%,1,0,0.00%,0,0,3.4%,All Garrett Celek red zone receiving plays,CeleGa00
Charles Clay,BUF,2,1,50.00%,5,0,5.4%,1,0,0.00%,0,0,9.1%,All Charles Clay red zone receiving plays,ClayCh00
Corey Clement,PHI,2,2,100.00%,13,0,2.6%,1,1,100.00%,0,0,2.7%,All Corey Clement red zone receiving plays,ClemCo00
Cody Core,CIN,2,1,50.00%,7,0,3.3%,0,0,,0,0,.0%,All Cody Core red zone receiving plays,CoreCo00
A.J. Derby,MIA,2,1,50.00%,19,1,5.1%,1,0,0.00%,0,0,5.6%,All A.J. Derby red zone receiving plays,DerbA.00
Will Dissly,SEA,2,2,100.00%,17,2,3.6%,1,1,100.00%,2,1,3.3%,All Will Dissly red zone receiving plays,DissWi00
Tyler Eifert,CIN,2,1,50.00%,15,1,3.3%,0,0,,0,0,.0%,All Tyler Eifert red zone receiving plays,EifeTy00
Darren Fells,CLE,2,2,100.00%,7,2,3.7%,2,2,100.00%,7,2,8.7%,All Darren Fells red zone receiving plays,FellDa01
Michael Floyd,WAS,2,2,100.00%,16,1,5.4%,1,1,100.00%,7,1,5.3%,All Michael Floyd red zone receiving plays,FloyMi00
Rico Gathers,DAL,2,0,0.00%,0,0,3.0%,1,0,0.00%,0,0,3.3%,All Rico Gathers red zone receiving plays,GathRi00
Corey Grant,JAX,2,2,100.00%,11,0,4.2%,1,1,100.00%,3,0,4.2%,All Corey Grant red zone receiving plays,GranCo00
Jakeem Grant,MIA,2,1,50.00%,18,1,5.1%,0,0,,0,0,.0%,All Jakeem Grant red zone receiving plays,GranJa00
Jermaine Gresham,ARI,2,1,50.00%,11,0,4.5%,0,0,,0,0,.0%,All Jermaine Gresham red zone receiving plays,GresJe00
David Grinnage,JAX,2,0,0.00%,0,0,4.2%,0,0,,0,0,.0%,All David Grinnage red zone receiving plays,GrinDa00
Marvin Hall,ATL,2,1,50.00%,7,0,2.9%,1,0,0.00%,0,0,2.6%,All Marvin Hall red zone receiving plays,HallMa02
Derrick Henry,TEN,2,2,100.00%,2,0,4.0%,0,0,,0,0,.0%,All Derrick Henry red zone receiving plays,HenrDe00
Andre Holmes,BUF,2,1,50.00%,3,0,5.4%,1,1,100.00%,3,0,9.1%,All Andre Holmes red zone receiving plays,HolmAn00
Andy Jones,DET,2,1,50.00%,4,1,2.9%,2,1,50.00%,4,1,7.1%,All Andy Jones red zone receiving plays,JoneAn01
Ronald Jones,TAM,2,1,50.00%,5,0,2.5%,0,0,,0,0,.0%,All Ronald Jones red zone receiving plays,JoneRo01
Tyler Kroft,CIN,2,1,50.00%,5,0,3.3%,1,0,0.00%,0,0,3.6%,All Tyler Kroft red zone receiving plays,KrofTy00
Matt Lengel,CIN,2,1,50.00%,4,1,3.3%,1,1,100.00%,4,1,3.6%,All Matt Lengel red zone receiving plays,LengMa00
Brandon Marshall,SEA,2,0,0.00%,0,0,3.6%,1,0,0.00%,0,0,3.3%,All Brandon Marshall red zone receiving plays,MarsBr00
Doug Martin,OAK,2,1,50.00%,6,0,3.8%,1,0,0.00%,0,0,2.7%,All Doug Martin red zone receiving plays,MartDo00
LeSean McCoy,BUF,2,2,100.00%,12,0,5.4%,0,0,,0,0,.0%,All LeSean McCoy red zone receiving plays,McCoLe01
Cameron Meredith,NOR,2,1,50.00%,11,1,2.2%,0,0,,0,0,.0%,All Cameron Meredith red zone receiving plays,MereCa00
Lamar Miller,HOU,2,1,50.00%,4,1,2.9%,2,1,50.00%,4,1,5.1%,All Lamar Miller red zone receiving plays,MillLa01
Taquan Mizzell,CHI,2,1,50.00%,10,1,2.9%,2,1,50.00%,10,1,5.4%,All Taquan Mizzell red zone receiving plays,MizzTa00
Latavius Murray,MIN,2,2,100.00%,10,0,3.0%,0,0,,0,0,.0%,All Latavius Murray red zone receiving plays,MurrLa00
James O'Shaughnessy,JAX,2,2,100.00%,12,0,4.2%,1,1,100.00%,5,0,4.2%,All James O'Shaughnessy red zone receiving plays,O'ShJa00
Nick O'Leary,MIA,2,1,50.00%,5,1,5.1%,2,1,50.00%,5,1,11.1%,All Nick O'Leary red zone receiving plays,OLeaNi00
Logan Paulsen,ATL,2,2,100.00%,22,1,2.9%,1,1,100.00%,5,0,2.6%,All Logan Paulsen red zone receiving plays,PaulLo00
Brandon Powell,DET,2,1,50.00%,11,0,2.9%,0,0,,0,0,.0%,All Brandon Powell red zone receiving plays,PoweBr00
MyCole Pruitt,TEN,2,2,100.00%,4,1,4.0%,2,2,100.00%,4,1,8.0%,All MyCole Pruitt red zone receiving plays,PruiMy00
Seth Roberts,OAK,2,1,50.00%,9,0,3.8%,1,0,0.00%,0,0,2.7%,All Seth Roberts red zone receiving plays,RobeSe00
Austin Seferian-Jenkins,JAX,2,1,50.00%,4,1,4.2%,2,1,50.00%,4,1,8.3%,All Austin Seferian-Jenkins red zone receiving plays,SefeAu00
Vyncint Smith,HOU,2,0,0.00%,0,0,2.9%,2,0,0.00%,0,0,5.1%,All Vyncint Smith red zone receiving plays,SmitVy00
Bradley Sowell,CHI,2,1,50.00%,2,1,2.9%,2,1,50.00%,2,1,5.4%,All Bradley Sowell red zone receiving plays,SoweBr00
Neal Sterling,NYJ,2,1,50.00%,6,0,4.0%,0,0,,0,0,.0%,All Neal Sterling red zone receiving plays,SterNe00
Roc Thomas,MIN,2,0,0.00%,0,0,3.0%,1,0,0.00%,0,0,3.4%,All Roc Thomas red zone receiving plays,ThomRo05
Levine Toilolo,DET,2,1,50.00%,8,1,2.9%,1,1,100.00%,8,1,3.6%,All Levine Toilolo red zone receiving plays,ToilLe00
Spencer Ware,KAN,2,1,50.00%,4,0,2.2%,0,0,,0,0,.0%,All Spencer Ware red zone receiving plays,WareSp00
Jamaal Williams,GNB,2,1,50.00%,7,0,3.5%,1,1,100.00%,7,0,4.5%,All Jamaal Williams red zone receiving plays,WillJa06
Jay Ajayi,PHI,1,0,0.00%,0,0,1.3%,1,0,0.00%,0,0,2.7%,All Jay Ajayi red zone receiving plays,AjayJa00
Josh Allen,BUF,1,0,0.00%,0,0,2.7%,0,0,,0,0,.0%,All Josh Allen red zone receiving plays,AlleJo02
Dan Arnold,NOR,1,0,0.00%,0,0,1.1%,1,0,0.00%,0,0,2.3%,All Dan Arnold red zone receiving plays,ArnoDa00
Marcell Ateman,OAK,1,1,100.00%,9,1,1.9%,1,1,100.00%,9,1,2.7%,All Marcell Ateman red zone receiving plays,AtemMa00
Tavon Austin,DAL,1,1,100.00%,3,1,1.5%,1,1,100.00%,3,1,3.3%,All Tavon Austin red zone receiving plays,AustTa00
Travis Benjamin,LAC,1,1,100.00%,5,0,1.5%,1,1,100.00%,5,0,2.6%,All Travis Benjamin red zone receiving plays,BenjTr00
Tommy Bohanon,JAX,1,0,0.00%,0,0,2.1%,1,0,0.00%,0,0,4.2%,All Tommy Bohanon red zone receiving plays,BohaTo00
Brandon Bolden,MIA,1,1,100.00%,4,1,2.6%,1,1,100.00%,4,1,5.6%,All Brandon Bolden red zone receiving plays,BoldBr00
Victor Bolden,SFO,1,1,100.00%,10,0,1.4%,0,0,,0,0,.0%,All Victor Bolden red zone receiving plays,BoldVi00
Malcolm Brown,LAR,1,1,100.00%,18,1,1.1%,0,0,,0,0,.0%,All Malcolm Brown red zone receiving plays,BrowMa03
Deontay Burnett,NYJ,1,0,0.00%,0,0,2.0%,0,0,,0,0,.0%,All Deontay Burnett red zone receiving plays,BurnDe00
Travaris Cadet,CAR,1,1,100.00%,5,0,1.6%,1,1,100.00%,5,0,3.1%,All Travaris Cadet red zone receiving plays,CadeTr00
Trenton Cannon,NYJ,1,0,0.00%,0,0,2.0%,1,0,0.00%,0,0,6.7%,All Trenton Cannon red zone receiving plays,CannTr00
Leonte Carroo,MIA,1,0,0.00%,0,0,2.6%,0,0,,0,0,.0%,All Leonte Carroo red zone receiving plays,CarrLe00
DeAndre Carter,HOU,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,2.6%,All DeAndre Carter red zone receiving plays,CartDe02
Sammie Coates,HOU,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Sammie Coates red zone receiving plays,CoatSa00
Corey Coleman,NYG,1,0,0.00%,0,0,1.3%,1,0,0.00%,0,0,2.9%,All Corey Coleman red zone receiving plays,ColeCo00
Derrick Coleman,ARI,1,0,0.00%,0,0,2.3%,0,0,,0,0,.0%,All Derrick Coleman red zone receiving plays,ColeDe00
Jason Croom,BUF,1,1,100.00%,11,0,2.7%,0,0,,0,0,.0%,All Jason Croom red zone receiving plays,CrooJa00
Alan Cross,TAM,1,0,0.00%,0,0,1.3%,1,0,0.00%,0,0,2.9%,All Alan Cross red zone receiving plays,CrosAl00
Isaiah Crowell,NYJ,1,0,0.00%,0,0,2.0%,0,0,,0,0,.0%,All Isaiah Crowell red zone receiving plays,CrowIs00
Mike Davis,SEA,1,1,100.00%,3,1,1.8%,1,1,100.00%,3,1,3.3%,All Mike Davis red zone receiving plays,DaviMi01
Vernon Davis,WAS,1,1,100.00%,10,0,2.7%,0,0,,0,0,.0%,All Vernon Davis red zone receiving plays,DaviVe00
Dion Dawkins,BUF,1,1,100.00%,7,1,2.7%,1,1,100.00%,7,1,9.1%,All Dion Dawkins red zone receiving plays,DawkDi00
Taylor Decker,DET,1,1,100.00%,11,1,1.4%,0,0,,0,0,.0%,All Taylor Decker red zone receiving plays,DeckTa00
James Develin,NWE,1,1,100.00%,-1,0,1.2%,1,1,100.00%,-1,0,2.8%,All James Develin red zone receiving plays,DeveJa00
Ross Dwelley,SFO,1,1,100.00%,8,0,1.4%,0,0,,0,0,.0%,All Ross Dwelley red zone receiving plays,DwelRo00
Isaiah Ford,MIA,1,0,0.00%,0,0,2.6%,0,0,,0,0,.0%,All Isaiah Ford red zone receiving plays,FordIs00
Devonta Freeman,ATL,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,2.6%,All Devonta Freeman red zone receiving plays,FreeDe00
Russell Gage,ATL,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All Russell Gage red zone receiving plays,GageRu00
Dwayne Harris,OAK,1,1,100.00%,0,0,1.9%,1,1,100.00%,0,0,2.7%,All Dwayne Harris red zone receiving plays,HarrDw00
Stephen Hauschka,BUF,1,0,0.00%,0,0,2.7%,0,0,,0,0,.0%,All Stephen Hauschka red zone receiving plays,HausSt00
Ryan Hewitt,IND,1,1,100.00%,1,1,1.1%,1,1,100.00%,1,1,2.3%,All Ryan Hewitt red zone receiving plays,HewiRy00
Brian Hill,ATL,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All Brian Hill red zone receiving plays,HillBr02
Josh Hill,NOR,1,1,100.00%,1,1,1.1%,1,1,100.00%,1,1,2.3%,All Josh Hill red zone receiving plays,HillJo02
Taysom Hill,NOR,1,1,100.00%,-4,0,1.1%,0,0,,0,0,.0%,All Taysom Hill red zone receiving plays,HillTa00
KhaDarel Hodge,LAR,1,1,100.00%,3,0,1.1%,1,1,100.00%,3,0,2.2%,All KhaDarel Hodge red zone receiving plays,HodgKh00
Sam Hubbard,CIN,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,3.6%,All Sam Hubbard red zone receiving plays,HubbSa00
Hayden Hurst,BAL,1,0,0.00%,0,0,1.6%,1,0,0.00%,0,0,3.2%,All Hayden Hurst red zone receiving plays,HursHa00
Carlos Hyde,JAX,1,0,0.00%,0,0,2.1%,1,0,0.00%,0,0,4.2%,All Carlos Hyde red zone receiving plays,HydeCa00
Mark Ingram,NOR,1,1,100.00%,1,0,1.1%,1,1,100.00%,1,0,2.3%,All Mark Ingram red zone receiving plays,IngrMa01
Darius Jackson,DAL,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Darius Jackson red zone receiving plays,JackDa01
Justin Jackson,LAC,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,2.6%,All Justin Jackson red zone receiving plays,JackJu01
Lamar Jackson,BAL,1,0,0.00%,0,0,1.6%,0,0,,0,0,.0%,All Lamar Jackson red zone receiving plays,JackLa00
Keith Kirkwood,NOR,1,1,100.00%,5,1,1.1%,1,1,100.00%,5,1,2.3%,All Keith Kirkwood red zone receiving plays,KirkKe00
Jake Kumerow,GNB,1,0,0.00%,0,0,1.8%,1,0,0.00%,0,0,4.5%,All Jake Kumerow red zone receiving plays,KumeJa00
Chris Lacy,DET,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All Chris Lacy red zone receiving plays,LacyCh00
Marcedes Lewis,GNB,1,0,0.00%,0,0,1.8%,0,0,,0,0,.0%,All Marcedes Lewis red zone receiving plays,LewiMa00
T.J. Logan,ARI,1,1,100.00%,3,0,2.3%,1,1,100.00%,3,0,4.3%,All T.J. Logan red zone receiving plays,LogaT.00
Andrew Luck,IND,1,0,0.00%,0,0,1.1%,1,0,0.00%,0,0,2.3%,All Andrew Luck red zone receiving plays,LuckAn00
Chris Manhertz,CAR,1,0,0.00%,0,0,1.6%,0,0,,0,0,.0%,All Chris Manhertz red zone receiving plays,ManhCh00
Byron Marshall,WAS,1,1,100.00%,6,0,2.7%,0,0,,0,0,.0%,All Byron Marshall red zone receiving plays,MarsBy01
Freddie Martino,TAM,1,0,0.00%,0,0,1.3%,1,0,0.00%,0,0,2.9%,All Freddie Martino red zone receiving plays,MartFr00
Elijah McGuire,NYJ,1,0,0.00%,0,0,2.0%,0,0,,0,0,.0%,All Elijah McGuire red zone receiving plays,McGuEl00
Isaiah McKenzie,BUF,1,1,100.00%,1,0,2.7%,0,0,,0,0,.0%,All Isaiah McKenzie red zone receiving plays,McKeIs00
J.D. McKissic,SEA,1,0,0.00%,0,0,1.8%,0,0,,0,0,.0%,All J.D. McKissic red zone receiving plays,McKiJ.00
Sony Michel,NWE,1,1,100.00%,7,0,1.2%,0,0,,0,0,.0%,All Sony Michel red zone receiving plays,MichSo00
Chris Moore,BAL,1,1,100.00%,5,1,1.6%,1,1,100.00%,5,1,3.2%,All Chris Moore red zone receiving plays,MoorCh00
David Morgan,MIN,1,1,100.00%,9,0,1.5%,0,0,,0,0,.0%,All David Morgan red zone receiving plays,MorgDa01
Marcus Murphy,BUF,1,1,100.00%,2,0,2.7%,0,0,,0,0,.0%,All Marcus Murphy red zone receiving plays,MurpMa03
Roosevelt Nix,PIT,1,0,0.00%,0,0,1.2%,1,0,0.00%,0,0,2.8%,All Roosevelt Nix red zone receiving plays,NixxRo01
Brian Parker,DEN,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,2.9%,All Brian Parker red zone receiving plays,ParkBr00
Tim Patrick,DEN,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,2.9%,All Tim Patrick red zone receiving plays,PatrTi00
Niles Paul,JAX,1,0,0.00%,0,0,2.1%,0,0,,0,0,.0%,All Niles Paul red zone receiving plays,PaulNi00
Elijhaa Penny,NYG,1,1,100.00%,3,0,1.3%,0,0,,0,0,.0%,All Elijhaa Penny red zone receiving plays,PennEl00
Rashaad Penny,SEA,1,1,100.00%,4,0,1.8%,1,1,100.00%,4,0,3.3%,All Rashaad Penny red zone receiving plays,PennRa00
Joshua Perkins,PHI,1,1,100.00%,8,0,1.3%,0,0,,0,0,.0%,All Joshua Perkins red zone receiving plays,PerkJo02
Breshad Perriman,CLE,1,0,0.00%,0,0,1.9%,0,0,,0,0,.0%,All Breshad Perriman red zone receiving plays,PerrBr02
John Phillips,ARI,1,1,100.00%,9,0,2.3%,0,0,,0,0,.0%,All John Phillips red zone receiving plays,PhilJo00
Dak Prescott,DAL,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Dak Prescott red zone receiving plays,PresDa01
Trey Quinn,WAS,1,1,100.00%,10,1,2.7%,1,1,100.00%,10,1,5.3%,All Trey Quinn red zone receiving plays,QuinTr00
Damion Ratley,CLE,1,1,100.00%,8,0,1.9%,0,0,,0,0,.0%,All Damion Ratley red zone receiving plays,RatlDa00
Paul Richardson,WAS,1,1,100.00%,2,1,2.7%,1,1,100.00%,2,1,5.3%,All Paul Richardson red zone receiving plays,RichPa01
Matt Ryan,ATL,1,1,100.00%,5,1,1.4%,1,1,100.00%,5,1,2.6%,All Matt Ryan red zone receiving plays,RyanMa00
Eric Saubert,ATL,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,2.6%,All Eric Saubert red zone receiving plays,SaubEr00
Adam Shaheen,CHI,1,1,100.00%,2,1,1.4%,1,1,100.00%,2,1,2.7%,All Adam Shaheen red zone receiving plays,ShahAd00
Russell Shepard,NYG,1,1,100.00%,11,1,1.3%,0,0,,0,0,.0%,All Russell Shepard red zone receiving plays,ShepRu00
Trent Sherfield,ARI,1,1,100.00%,7,1,2.3%,1,1,100.00%,7,1,4.3%,All Trent Sherfield red zone receiving plays,SherTr00
Rod Smith,DAL,1,1,100.00%,0,0,1.5%,0,0,,0,0,.0%,All Rod Smith red zone receiving plays,SmitRo06
Luke Stocker,TEN,1,1,100.00%,1,1,2.0%,1,1,100.00%,1,1,4.0%,All Luke Stocker red zone receiving plays,StocLu00
Ryan Tannehill,MIA,1,1,100.00%,3,1,2.6%,1,1,100.00%,3,1,5.6%,All Ryan Tannehill red zone receiving plays,TannRy00
De'Anthony Thomas,KAN,1,1,100.00%,1,1,1.1%,1,1,100.00%,1,1,2.2%,All De'Anthony Thomas red zone receiving plays,ThomDe05
Jalen Tolliver,ARI,1,0,0.00%,0,0,2.3%,0,0,,0,0,.0%,All Jalen Tolliver red zone receiving plays,TollJa00
Alejandro Villanueva,PIT,1,1,100.00%,2,1,1.2%,1,1,100.00%,2,1,2.8%,All Alejandro Villanueva red zone receiving plays,VillAl00
Danny Vitale,GNB,1,0,0.00%,0,0,1.8%,1,0,0.00%,0,0,4.5%,All Danny Vitale red zone receiving plays,VitaDa00
Delanie Walker,TEN,1,0,0.00%,0,0,2.0%,1,0,0.00%,0,0,4.0%,All Delanie Walker red zone receiving plays,WalkHu00
Cole Wick,SFO,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,3.4%,All Cole Wick red zone receiving plays,WickCo00
Darrel Williams,KAN,1,1,100.00%,11,1,1.1%,0,0,,0,0,.0%,All Darrel Williams red zone receiving plays,WillDa10
Albert Wilson,MIA,1,0,0.00%,0,0,2.6%,0,0,,0,0,.0%,All Albert Wilson red zone receiving plays,WilsAl02
Javon Wims,CHI,1,1,100.00%,9,0,1.4%,0,0,,0,0,.0%,All Javon Wims red zone receiving plays,WimsJa00
