Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Tyler Lockett,SEA,23,17,73.91%,144,7,28.4%,7,6,85.71%,28,3,21.9%,All Tyler Lockett red zone receiving plays,LockTy00
Michael Thomas,NOR,22,16,72.73%,145,8,28.6%,9,4,44.44%,15,4,25.7%,All Michael Thomas red zone receiving plays,ThomMi05
Julian Edelman,NWE,20,14,70.00%,93,4,23.5%,9,5,55.56%,26,3,22.0%,All Julian Edelman red zone receiving plays,EdelJu00
Jarvis Landry,CLE,20,11,55.00%,74,5,29.0%,11,6,54.55%,30,4,29.7%,All Jarvis Landry red zone receiving plays,LandJa00
Allen Robinson,CHI,20,11,55.00%,82,6,30.3%,11,5,45.45%,34,5,33.3%,All Allen Robinson red zone receiving plays,RobiAl02
Keenan Allen,LAC,19,14,73.68%,113,4,25.7%,9,5,55.56%,20,2,25.7%,All Keenan Allen red zone receiving plays,AlleKe00
Tyler Higbee,LAR,19,14,73.68%,77,3,28.4%,9,6,66.67%,29,3,25.7%,All Tyler Higbee red zone receiving plays,HigbTy00
Travis Kelce,KAN,19,7,36.84%,41,2,30.2%,12,3,25.00%,6,2,41.4%,All Travis Kelce red zone receiving plays,KelcTr00
Courtland Sutton,DEN,19,9,47.37%,69,3,27.9%,9,5,55.56%,37,3,31.0%,All Courtland Sutton red zone receiving plays,SuttCo00
James White,NWE,19,16,84.21%,75,4,22.4%,5,4,80.00%,14,1,12.2%,All James White red zone receiving plays,WhitJa02
Davante Adams,GNB,18,12,66.67%,75,3,24.7%,5,4,80.00%,14,2,15.2%,All Davante Adams red zone receiving plays,AdamDa01
Austin Hooper,ATL,18,10,55.56%,57,6,23.1%,9,6,66.67%,32,5,28.1%,All Austin Hooper red zone receiving plays,HoopAu00
Cooper Kupp,LAR,18,13,72.22%,81,7,26.9%,10,8,80.00%,55,6,28.6%,All Cooper Kupp red zone receiving plays,KuppCo00
D.K. Metcalf,SEA,17,5,29.41%,47,4,21.0%,5,3,60.00%,14,2,15.6%,All D.K. Metcalf red zone receiving plays,MetcDK00
Deebo Samuel,SFO,17,9,52.94%,46,1,23.9%,8,3,37.50%,10,1,20.5%,All Deebo Samuel red zone receiving plays,SamuDe00
Zach Ertz,PHI,16,8,50.00%,37,5,23.2%,5,4,80.00%,8,4,17.2%,All Zach Ertz red zone receiving plays,ErtzZa00
Mike Evans,TAM,16,7,43.75%,50,4,25.0%,10,4,40.00%,19,4,26.3%,All Mike Evans red zone receiving plays,EvanMi00
Julio Jones,ATL,16,12,75.00%,63,5,20.5%,8,7,87.50%,38,5,25.0%,All Julio Jones red zone receiving plays,JoneJu02
George Kittle,SFO,16,10,62.50%,57,2,22.5%,9,5,55.56%,29,2,23.1%,All George Kittle red zone receiving plays,KittGe00
Jamison Crowder,NYJ,15,8,53.33%,69,4,30.6%,6,2,33.33%,5,2,33.3%,All Jamison Crowder red zone receiving plays,CrowJa00
Kenny Golladay,DET,15,8,53.33%,58,6,25.0%,13,7,53.85%,52,6,34.2%,All Kenny Golladay red zone receiving plays,GollKe00
Mike Williams,LAC,15,3,20.00%,18,1,20.3%,7,2,28.57%,9,1,20.0%,All Mike Williams red zone receiving plays,WillMi07
Mark Andrews,BAL,14,7,50.00%,63,7,22.2%,6,4,66.67%,14,4,20.0%,All Mark Andrews red zone receiving plays,AndrMa00
Larry Fitzgerald,ARI,14,7,50.00%,27,3,20.3%,10,4,40.00%,10,3,31.3%,All Larry Fitzgerald red zone receiving plays,FitzLa00
Marvin Jones,DET,14,10,71.43%,76,8,23.3%,9,6,66.67%,31,5,23.7%,All Marvin Jones red zone receiving plays,JoneMa02
Christian McCaffrey,CAR,14,10,71.43%,66,3,23.0%,6,4,66.67%,20,2,20.0%,All Christian McCaffrey red zone receiving plays,McCaCh01
DeVante Parker,MIA,14,6,42.86%,72,5,19.7%,3,1,33.33%,7,1,14.3%,All DeVante Parker red zone receiving plays,ParkDe01
Curtis Samuel,CAR,14,9,64.29%,68,6,23.0%,8,5,62.50%,18,4,26.7%,All Curtis Samuel red zone receiving plays,SamuCu00
Emmanuel Sanders,2TM,14,8,57.14%,26,4,,8,5,62.50%,15,4,,All Emmanuel Sanders red zone receiving plays,SandEm00
Auden Tate,CIN,14,5,35.71%,35,1,18.9%,7,1,14.29%,2,1,19.4%,All Auden Tate red zone receiving plays,TateAu00
Jack Doyle,IND,13,6,46.15%,42,3,19.7%,5,2,40.00%,6,2,16.7%,All Jack Doyle red zone receiving plays,DoylJa00
Austin Ekeler,LAC,13,10,76.92%,69,4,17.6%,6,4,66.67%,9,2,17.1%,All Austin Ekeler red zone receiving plays,EkelAu00
DeAndre Hopkins,HOU,13,7,53.85%,40,4,21.0%,5,4,80.00%,9,3,20.8%,All DeAndre Hopkins red zone receiving plays,HopkDe00
Terry McLaurin,WAS,13,8,61.54%,61,3,21.0%,7,3,42.86%,11,1,21.9%,All Terry McLaurin red zone receiving plays,McLaTe00
Marquise Brown,BAL,12,8,66.67%,56,3,19.0%,6,2,33.33%,9,1,20.0%,All Marquise Brown red zone receiving plays,BrowMa04
Darren Fells,HOU,12,10,83.33%,99,7,19.4%,4,4,100.00%,22,4,16.7%,All Darren Fells red zone receiving plays,FellDa01
Russell Gage,ATL,12,6,50.00%,40,1,15.4%,1,0,0.00%,0,0,3.1%,All Russell Gage red zone receiving plays,GageRu00
Chris Godwin,TAM,12,8,66.67%,47,4,18.8%,9,6,66.67%,26,4,23.7%,All Chris Godwin red zone receiving plays,GodwCh00
Josh Hill,NOR,12,8,66.67%,25,3,15.6%,6,4,66.67%,16,3,17.1%,All Josh Hill red zone receiving plays,HillJo02
