,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Cooper Kupp,LAR,46,33,71.74%,259,18,35.4%,22,13,59.09%,69,11,35.5%,All Cooper Kupp red zone receiving plays,KuppCo00
Stefon Diggs,BUF,35,19,54.29%,146,10,28.9%,15,8,53.33%,46,5,28.3%,All Stefon Diggs red zone receiving plays,DiggSt00
Tyreek Hill,KAN,30,20,66.67%,107,8,25.6%,12,9,75.00%,38,7,20.0%,All Tyreek Hill red zone receiving plays,HillTy00
Davante Adams,GNB,28,19,67.86%,115,10,23.7%,14,10,71.43%,31,7,27.5%,All Davante Adams red zone receiving plays,AdamDa01
Chris Godwin,TAM,25,20,80.00%,130,5,19.2%,8,5,62.50%,23,2,12.9%,All Chris Godwin red zone receiving plays,GodwCh00
Hunter Renfrow,LVR,24,18,75.00%,114,9,27.3%,14,8,57.14%,42,6,35.0%,All Hunter Renfrow red zone receiving plays,RenfHu00
Keenan Allen,LAC,23,15,65.22%,92,6,23.5%,12,8,66.67%,44,6,24.5%,All Keenan Allen red zone receiving plays,AlleKe00
Mike Evans,TAM,23,14,60.87%,89,9,17.7%,13,9,69.23%,35,8,21.0%,All Mike Evans red zone receiving plays,EvanMi00
Cameron Brate,TAM,22,13,59.09%,104,4,16.9%,9,4,44.44%,17,4,14.5%,All Cameron Brate red zone receiving plays,BratCa00
Diontae Johnson,PIT,22,13,59.09%,90,6,22.4%,10,6,60.00%,31,4,22.7%,All Diontae Johnson red zone receiving plays,JohnDi01
Mark Andrews,BAL,20,12,60.00%,96,9,27.4%,11,8,72.73%,52,7,32.4%,All Mark Andrews red zone receiving plays,AndrMa00
Gabriel Davis,BUF,20,11,55.00%,110,8,16.5%,8,4,50.00%,13,3,15.1%,All Gabriel Davis red zone receiving plays,DaviGa01
Zach Ertz,2TM,20,8,40.00%,35,4,,9,5,55.56%,14,4,,All Zach Ertz red zone receiving plays,ErtzZa00
Pat Freiermuth,PIT,20,13,65.00%,92,7,20.4%,9,7,77.78%,31,5,20.5%,All Pat Freiermuth red zone receiving plays,FreiPa00
Justin Jefferson,MIN,20,11,55.00%,101,7,28.6%,9,3,33.33%,15,3,28.1%,All Justin Jefferson red zone receiving plays,JeffJu00
Travis Kelce,KAN,20,18,90.00%,106,9,17.1%,12,12,100.00%,47,8,20.0%,All Travis Kelce red zone receiving plays,KelcTr00
Dawson Knox,BUF,20,13,65.00%,86,8,16.5%,11,8,72.73%,36,5,20.8%,All Dawson Knox red zone receiving plays,KnoxDa00
Tyler Higbee,LAR,19,13,68.42%,105,5,14.6%,10,6,60.00%,31,3,16.1%,All Tyler Higbee red zone receiving plays,HigbTy00
D.K. Metcalf,SEA,19,12,63.16%,119,9,36.5%,5,3,60.00%,16,3,26.3%,All D.K. Metcalf red zone receiving plays,MetcDK00
Mike Williams,LAC,19,7,36.84%,47,4,19.4%,12,3,25.00%,12,2,24.5%,All Mike Williams red zone receiving plays,WillMi07
Amari Cooper,DAL,18,13,72.22%,81,5,17.8%,7,5,71.43%,26,4,19.4%,All Amari Cooper red zone receiving plays,CoopAm00
Hunter Henry,NWE,18,8,44.44%,57,8,23.1%,10,5,50.00%,21,5,28.6%,All Hunter Henry red zone receiving plays,HenrHu00
Van Jefferson,LAR,18,5,27.78%,53,3,13.8%,9,1,11.11%,2,1,14.5%,All Van Jefferson red zone receiving plays,JeffVa00
Marvin Jones,JAX,18,7,38.89%,38,2,34.0%,11,4,36.36%,16,2,37.9%,All Marvin Jones red zone receiving plays,JoneMa02
A.J. Green,ARI,17,5,29.41%,36,2,21.3%,11,3,27.27%,14,1,28.2%,All A.J. Green red zone receiving plays,GreeA.00
Aaron Jones,GNB,17,14,82.35%,66,5,14.4%,5,5,100.00%,19,3,9.8%,All Aaron Jones red zone receiving plays,JoneAa00
Marquise Brown,BAL,16,8,50.00%,43,2,21.9%,8,3,37.50%,18,2,23.5%,All Marquise Brown red zone receiving plays,BrowMa04
Tyler Conklin,MIN,16,10,62.50%,65,3,22.9%,5,3,60.00%,13,3,15.6%,All Tyler Conklin red zone receiving plays,ConkTy00
Austin Ekeler,LAC,16,14,87.50%,135,8,16.3%,3,2,66.67%,12,2,6.1%,All Austin Ekeler red zone receiving plays,EkelAu00
Mecole Hardman,KAN,16,9,56.25%,59,3,13.7%,8,4,50.00%,23,3,13.3%,All Mecole Hardman red zone receiving plays,HardMe00
Tee Higgins,CIN,16,6,37.50%,40,5,21.3%,9,5,55.56%,26,5,25.0%,All Tee Higgins red zone receiving plays,HiggTe00
Jakobi Meyers,NWE,16,9,56.25%,47,2,20.5%,9,4,44.44%,24,1,25.7%,All Jakobi Meyers red zone receiving plays,MeyeJa01
Michael Pittman,IND,16,8,50.00%,68,4,25.4%,9,4,44.44%,24,2,25.0%,All Michael Pittman red zone receiving plays,PittMi01
Darren Waller,LVR,16,7,43.75%,34,2,18.2%,7,3,42.86%,11,2,17.5%,All Darren Waller red zone receiving plays,WallDa01
Robert Woods,LAR,16,9,56.25%,66,4,12.3%,7,3,42.86%,9,2,11.3%,All Robert Woods red zone receiving plays,WoodRo02
Odell Beckham,2TM,15,8,53.33%,53,6,,7,5,71.43%,21,5,,All Odell Beckham red zone receiving plays,BeckOd00
Ja'Marr Chase,CIN,15,8,53.33%,66,6,20.0%,9,4,44.44%,19,4,25.0%,All Ja'Marr Chase red zone receiving plays,ChasJa00
Leonard Fournette,TAM,15,10,66.67%,39,2,11.5%,5,3,60.00%,12,2,8.1%,All Leonard Fournette red zone receiving plays,FourLe00
Allen Lazard,GNB,15,7,46.67%,39,5,12.7%,5,4,80.00%,14,4,9.8%,All Allen Lazard red zone receiving plays,LazaAl00
Jaylen Waddle,MIA,15,12,80.00%,51,6,20.3%,8,7,87.50%,28,6,21.1%,All Jaylen Waddle red zone receiving plays,WaddJa00
Ezekiel Elliott,DAL,14,10,71.43%,41,2,13.9%,5,5,100.00%,22,2,13.9%,All Ezekiel Elliott red zone receiving plays,ElliEz00
Najee Harris,PIT,14,8,57.14%,29,2,14.3%,6,4,66.67%,19,2,13.6%,All Najee Harris red zone receiving plays,HarrNa00
DeAndre Hopkins,ARI,14,7,50.00%,69,7,17.5%,8,4,50.00%,24,4,20.5%,All DeAndre Hopkins red zone receiving plays,HopkDe00
Kyle Pitts,ATL,14,4,28.57%,24,1,17.9%,7,3,42.86%,16,1,20.0%,All Kyle Pitts red zone receiving plays,PittKy00
Dalton Schultz,DAL,14,9,64.29%,71,6,13.9%,7,5,71.43%,27,5,19.4%,All Dalton Schultz red zone receiving plays,SchuDa00
Amon-Ra St. Brown,DET,14,9,64.29%,62,3,23.3%,5,3,60.00%,11,2,20.0%,All Amon-Ra St. Brown red zone receiving plays,StxxAm00
Cole Beasley,BUF,13,8,61.54%,39,0,10.7%,3,2,66.67%,4,0,5.7%,All Cole Beasley red zone receiving plays,BeasCo00
Chase Claypool,PIT,13,6,46.15%,50,2,13.3%,7,2,28.57%,10,1,15.9%,All Chase Claypool red zone receiving plays,ClayCh01
Jared Cook,LAC,13,6,46.15%,35,4,13.3%,6,3,50.00%,12,3,12.2%,All Jared Cook red zone receiving plays,CookJa02
Russell Gage,ATL,13,8,61.54%,85,3,16.7%,4,2,50.00%,9,1,11.4%,All Russell Gage red zone receiving plays,GageRu00
Rob Gronkowski,TAM,13,6,46.15%,36,5,10.0%,7,3,42.86%,5,3,11.3%,All Rob Gronkowski red zone receiving plays,GronRo00
D.J. Moore,CAR,13,5,38.46%,35,4,26.0%,9,5,55.56%,35,4,34.6%,All D.J. Moore red zone receiving plays,MoorD.00
Zach Pascal,IND,13,6,46.15%,35,3,20.6%,9,3,33.33%,16,2,25.0%,All Zach Pascal red zone receiving plays,PascZa00
Adam Thielen,MIN,13,11,84.62%,65,7,18.6%,8,8,100.00%,35,6,25.0%,All Adam Thielen red zone receiving plays,ThieAd00
A.J. Brown,TEN,12,6,50.00%,66,3,15.0%,4,1,25.00%,6,0,11.4%,All A.J. Brown red zone receiving plays,BrowAJ00
Randall Cobb,GNB,12,4,33.33%,16,4,10.2%,11,4,36.36%,16,4,21.6%,All Randall Cobb red zone receiving plays,CobbRa00
Noah Fant,DEN,12,7,58.33%,48,4,20.7%,4,3,75.00%,12,3,12.5%,All Noah Fant red zone receiving plays,FantNo00
Alvin Kamara,NOR,12,9,75.00%,70,5,19.4%,5,3,60.00%,9,1,19.2%,All Alvin Kamara red zone receiving plays,KamaAl00
Cole Kmet,CHI,12,5,41.67%,36,0,21.1%,4,0,0.00%,0,0,15.4%,All Cole Kmet red zone receiving plays,KmetCo00
Cordarrelle Patterson,ATL,12,9,75.00%,86,4,15.4%,2,1,50.00%,7,1,5.7%,All Cordarrelle Patterson red zone receiving plays,PattCo00
Ricky Seals-Jones,WAS,12,6,50.00%,55,1,23.1%,5,0,0.00%,0,0,21.7%,All Ricky Seals-Jones red zone receiving plays,SealRi00
Tyler Boyd,CIN,11,7,63.64%,66,4,14.7%,5,3,60.00%,25,3,13.9%,All Tyler Boyd red zone receiving plays,BoydTy00
Jamison Crowder,NYJ,11,8,72.73%,45,2,18.0%,2,2,100.00%,5,2,8.7%,All Jamison Crowder red zone receiving plays,CrowJa00
