Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Mohamed Sanu,ATL,12,7,58.33%,40,5,17.9%,7,6,85.71%,37,5,20.0%,All Mohamed Sanu red zone receiving plays,SanuMo00
Jason Witten,DAL,12,7,58.33%,66,3,21.4%,3,2,66.67%,15,1,11.5%,All Jason Witten red zone receiving plays,WittJa00
Nick Boyle,BAL,11,6,54.55%,35,0,15.9%,4,0,0.00%,0,0,11.1%,All Nick Boyle red zone receiving plays,BoylNi00
Jaron Brown,ARI,11,6,54.55%,38,1,15.9%,3,2,66.67%,9,1,12.5%,All Jaron Brown red zone receiving plays,BrowJa03
Charles Clay,BUF,11,5,45.45%,19,2,16.9%,6,2,33.33%,7,2,17.6%,All Charles Clay red zone receiving plays,ClayCh00
Eric Decker,TEN,11,8,72.73%,61,1,25.6%,5,3,60.00%,8,0,29.4%,All Eric Decker red zone receiving plays,DeckEr00
Eric Ebron,DET,11,3,27.27%,16,2,15.7%,7,3,42.86%,16,2,21.9%,All Eric Ebron red zone receiving plays,EbroEr00
Evan Engram,NYG,11,7,63.64%,64,6,21.2%,8,6,75.00%,46,5,30.8%,All Evan Engram red zone receiving plays,EngrEv00
Antonio Gates,LAC,11,3,27.27%,20,3,16.4%,10,3,30.00%,20,3,22.7%,All Antonio Gates red zone receiving plays,GateAn00
Jermaine Gresham,ARI,11,5,45.45%,34,2,15.9%,5,3,60.00%,9,0,20.8%,All Jermaine Gresham red zone receiving plays,GresJe00
Carlos Hyde,SFO,11,9,81.82%,57,0,12.9%,2,1,50.00%,7,0,5.6%,All Carlos Hyde red zone receiving plays,HydeCa00
Zay Jones,BUF,11,3,27.27%,30,2,16.9%,5,1,20.00%,10,1,14.7%,All Zay Jones red zone receiving plays,JoneZa00
Jordy Nelson,GNB,11,9,81.82%,34,5,17.2%,8,7,87.50%,26,5,26.7%,All Jordy Nelson red zone receiving plays,NelsJo00
Austin Seferian-Jenkins,NYJ,11,4,36.36%,16,3,23.4%,8,4,50.00%,16,3,33.3%,All Austin Seferian-Jenkins red zone receiving plays,SefeAu00
Sterling Shepard,NYG,11,5,45.45%,17,0,21.2%,7,4,57.14%,8,0,26.9%,All Sterling Shepard red zone receiving plays,ShepSt00
JuJu Smith-Schuster,PIT,11,6,54.55%,62,4,13.4%,6,2,33.33%,11,2,14.3%,All JuJu Smith-Schuster red zone receiving plays,SmitJu00
Delanie Walker,TEN,11,3,27.27%,12,2,25.6%,8,2,25.00%,6,2,47.1%,All Delanie Walker red zone receiving plays,WalkHu00
Mike Wallace,BAL,11,3,27.27%,23,3,15.9%,4,2,50.00%,7,2,11.1%,All Mike Wallace red zone receiving plays,WallMi00
Ben Watson,BAL,11,8,72.73%,20,3,15.9%,7,5,71.43%,6,3,19.4%,All Ben Watson red zone receiving plays,WatsBe00
Albert Wilson,KAN,11,7,63.64%,53,2,15.3%,2,1,50.00%,6,1,9.1%,All Albert Wilson red zone receiving plays,WilsAl02
Robbie Anderson,NYJ,10,3,30.00%,32,1,21.3%,5,0,0.00%,0,0,20.8%,All Robbie Anderson red zone receiving plays,AndeRo04
Kelvin Benjamin,2TM,10,2,20.00%,12,1,,5,1,20.00%,8,1,,All Kelvin Benjamin red zone receiving plays,BenjKe00
Tarik Cohen,CHI,10,7,70.00%,40,1,20.0%,3,1,33.33%,1,0,10.7%,All Tarik Cohen red zone receiving plays,CoheTa00
Melvin Gordon,LAC,10,8,80.00%,62,3,14.9%,5,4,80.00%,26,2,11.4%,All Melvin Gordon red zone receiving plays,GordMe00
Brandon LaFell,CIN,10,6,60.00%,38,2,20.0%,4,2,50.00%,15,1,16.0%,All Brandon LaFell red zone receiving plays,LaFeBr00
Marcedes Lewis,JAX,10,5,50.00%,44,4,20.4%,5,3,60.00%,19,3,17.2%,All Marcedes Lewis red zone receiving plays,LewiMa00
Sammy Watkins,LAR,10,7,70.00%,51,7,13.2%,5,4,80.00%,10,4,14.3%,All Sammy Watkins red zone receiving plays,WatkSa00
James White,NWE,10,7,70.00%,13,3,11.6%,5,4,80.00%,13,3,13.5%,All James White red zone receiving plays,WhitJa02
