Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Russell Shepard,CAR,4,0,0.00%,0,0,7.3%,1,0,0.00%,0,0,3.8%,All Russell Shepard red zone receiving plays,ShepRu00
DeAndre Washington,OAK,4,4,100.00%,16,1,8.7%,1,1,100.00%,4,1,3.6%,All DeAndre Washington red zone receiving plays,WashDe00
Tavon Austin,LAR,3,1,33.33%,2,0,3.9%,1,0,0.00%,0,0,2.9%,All Tavon Austin red zone receiving plays,AustTa00
Josh Bellamy,CHI,3,0,0.00%,0,0,6.0%,2,0,0.00%,0,0,7.1%,All Josh Bellamy red zone receiving plays,BellJo02
Martellus Bennett,GNB,3,2,66.67%,0,0,4.7%,3,2,66.67%,0,0,10.0%,All Martellus Bennett red zone receiving plays,BennMa00
Devontae Booker,DEN,3,2,66.67%,2,0,5.2%,0,0,,0,0,.0%,All Devontae Booker red zone receiving plays,BookDe00
Matt Breida,SFO,3,0,0.00%,0,0,3.5%,1,0,0.00%,0,0,2.8%,All Matt Breida red zone receiving plays,BreiMa00
Brice Butler,DAL,3,2,66.67%,16,1,5.4%,2,1,50.00%,10,1,7.7%,All Brice Butler red zone receiving plays,ButlBr00
Damiere Byrd,CAR,3,2,66.67%,22,2,5.5%,2,1,50.00%,9,1,7.7%,All Damiere Byrd red zone receiving plays,ByrdDa00
Jamaal Charles,DEN,3,2,66.67%,5,0,5.2%,0,0,,0,0,.0%,All Jamaal Charles red zone receiving plays,CharJa00
Corey Clement,PHI,3,2,66.67%,24,2,4.0%,1,1,100.00%,9,1,3.3%,All Corey Clement red zone receiving plays,ClemCo00
Dalvin Cook,MIN,3,1,33.33%,16,0,5.2%,1,0,0.00%,0,0,3.4%,All Dalvin Cook red zone receiving plays,CookDa01
Pharoh Cooper,LAR,3,1,33.33%,-3,0,3.9%,2,1,50.00%,-3,0,5.7%,All Pharoh Cooper red zone receiving plays,CoopPh00
Isaiah Crowell,CLE,3,1,33.33%,3,0,7.0%,3,1,33.33%,3,0,12.0%,All Isaiah Crowell red zone receiving plays,CrowIs00
Patrick DiMarco,BUF,3,2,66.67%,-3,0,4.6%,3,2,66.67%,-3,0,8.8%,All Patrick DiMarco red zone receiving plays,DiMaPa00
Kenyan Drake,MIA,3,3,100.00%,21,1,4.5%,1,1,100.00%,8,1,2.9%,All Kenyan Drake red zone receiving plays,DrakKe00
Ezekiel Elliott,DAL,3,3,100.00%,15,1,5.4%,1,1,100.00%,10,1,3.8%,All Ezekiel Elliott red zone receiving plays,ElliEz00
Frank Gore,IND,3,2,66.67%,15,1,7.9%,0,0,,0,0,.0%,All Frank Gore red zone receiving plays,GoreFr00
Tyler Higbee,LAR,3,2,66.67%,12,1,3.9%,1,1,100.00%,8,1,2.9%,All Tyler Higbee red zone receiving plays,HigbTy00
Rashard Higgins,CLE,3,1,33.33%,5,1,7.0%,2,1,50.00%,5,1,8.0%,All Rashard Higgins red zone receiving plays,HiggRa00
Aaron Jones,GNB,3,1,33.33%,9,0,4.7%,1,0,0.00%,0,0,3.3%,All Aaron Jones red zone receiving plays,JoneAa00
Tavarres King,NYG,3,2,66.67%,18,2,5.8%,1,1,100.00%,5,1,3.8%,All Tavarres King red zone receiving plays,KingTa00
Jeremy Maclin,BAL,3,1,33.33%,2,1,4.3%,3,1,33.33%,2,1,8.3%,All Jeremy Maclin red zone receiving plays,MaclJe00
Doug Martin,TAM,3,2,66.67%,23,0,4.4%,1,0,0.00%,0,0,3.4%,All Doug Martin red zone receiving plays,MartDo00
Vance McDonald,PIT,3,1,33.33%,7,1,3.7%,3,1,33.33%,7,1,7.1%,All Vance McDonald red zone receiving plays,McDoVa00
Elijah McGuire,NYJ,3,3,100.00%,14,1,6.4%,1,1,100.00%,2,1,4.2%,All Elijah McGuire red zone receiving plays,McGuEl00
J.D. McKissic,SEA,3,2,66.67%,22,1,4.5%,2,1,50.00%,7,0,5.0%,All J.D. McKissic red zone receiving plays,McKiJ.00
Jaydon Mickens,JAX,3,2,66.67%,19,2,6.1%,1,1,100.00%,5,1,3.4%,All Jaydon Mickens red zone receiving plays,MickJa01
JJ Nelson,ARI,3,2,66.67%,16,1,4.3%,2,1,50.00%,1,1,8.3%,All JJ Nelson red zone receiving plays,NelsJJ00
Troy Niklas,ARI,3,1,33.33%,14,1,4.3%,1,0,0.00%,0,0,4.2%,All Troy Niklas red zone receiving plays,NiklTr00
Nick O'Leary,BUF,3,1,33.33%,7,1,4.6%,2,1,50.00%,7,1,5.9%,All Nick O'Leary red zone receiving plays,OLeaNi00
Breshad Perriman,BAL,3,0,0.00%,0,0,4.3%,1,0,0.00%,0,0,2.8%,All Breshad Perriman red zone receiving plays,PerrBr02
Jonnu Smith,TEN,3,0,0.00%,0,0,7.0%,1,0,0.00%,0,0,5.9%,All Jonnu Smith red zone receiving plays,SmitJo01
Rod Smith,DAL,3,2,66.67%,17,0,5.4%,0,0,,0,0,.0%,All Rod Smith red zone receiving plays,SmitRo06
Willie Snead,NOR,3,2,66.67%,9,0,4.2%,0,0,,0,0,.0%,All Willie Snead red zone receiving plays,SneaWi00
Brandon Tate,BUF,3,2,66.67%,19,1,4.6%,2,1,50.00%,7,0,5.9%,All Brandon Tate red zone receiving plays,TateBr00
Ross Travis,2TM,3,0,0.00%,0,0,,2,0,0.00%,0,0,,All Ross Travis red zone receiving plays,TravRo00
Damien Williams,MIA,3,2,66.67%,13,1,4.5%,2,1,50.00%,10,1,5.7%,All Damien Williams red zone receiving plays,WillDa05
Jamaal Williams,GNB,3,2,66.67%,8,0,4.7%,2,1,50.00%,4,0,6.7%,All Jamaal Williams red zone receiving plays,WillJa06
Maxx Williams,BAL,3,3,100.00%,5,1,4.3%,2,2,100.00%,3,1,5.6%,All Maxx Williams red zone receiving plays,WillMa04
Mike Williams,LAC,3,0,0.00%,0,0,4.5%,2,0,0.00%,0,0,4.5%,All Mike Williams red zone receiving plays,WillMi07
Jerell Adams,NYG,2,0,0.00%,0,0,3.8%,2,0,0.00%,0,0,7.7%,All Jerell Adams red zone receiving plays,AdamJe01
Travis Benjamin,LAC,2,2,100.00%,13,0,3.0%,0,0,,0,0,.0%,All Travis Benjamin red zone receiving plays,BenjTr00
Brenton Bersin,CAR,2,1,50.00%,4,0,3.6%,1,0,0.00%,0,0,3.8%,All Brenton Bersin red zone receiving plays,BersBr00
LeGarrette Blount,PHI,2,2,100.00%,1,1,2.7%,1,1,100.00%,1,1,3.3%,All LeGarrette Blount red zone receiving plays,BlouLe00
Alfred Blue,HOU,2,2,100.00%,4,0,3.7%,1,1,100.00%,-3,0,3.3%,All Alfred Blue red zone receiving plays,BlueAl00
Tyler Boyd,CIN,2,2,100.00%,14,1,4.0%,2,2,100.00%,14,1,8.0%,All Tyler Boyd red zone receiving plays,BoydTy00
Michael Campanaro,BAL,2,1,50.00%,6,1,2.9%,2,1,50.00%,6,1,5.6%,All Michael Campanaro red zone receiving plays,CampMi02
Chris Carson,SEA,2,1,50.00%,10,1,3.0%,2,1,50.00%,10,1,5.0%,All Chris Carson red zone receiving plays,CarsCh00
Brent Celek,PHI,2,1,50.00%,5,1,2.7%,2,1,50.00%,5,1,6.7%,All Brent Celek red zone receiving plays,CeleBr00
Alex Collins,BAL,2,1,50.00%,-4,0,2.9%,1,1,100.00%,-4,0,2.8%,All Alex Collins red zone receiving plays,CollAl00
Darrell Daniels,IND,2,0,0.00%,0,0,5.3%,2,0,0.00%,0,0,12.5%,All Darrell Daniels red zone receiving plays,DaniDa02
Rhett Ellison,NYG,2,2,100.00%,3,2,3.8%,2,2,100.00%,3,2,7.7%,All Rhett Ellison red zone receiving plays,ElliRh00
Anthony Fasano,MIA,2,2,100.00%,7,1,3.0%,2,2,100.00%,7,1,5.7%,All Anthony Fasano red zone receiving plays,FasaAn00
Wayne Gallman,NYG,2,2,100.00%,11,1,3.8%,1,1,100.00%,4,1,3.8%,All Wayne Gallman red zone receiving plays,GallWa00
Brittan Golden,ARI,2,0,0.00%,0,0,2.9%,1,0,0.00%,0,0,4.2%,All Brittan Golden red zone receiving plays,GoldBr00
Josh Gordon,CLE,2,1,50.00%,18,1,4.7%,0,0,,0,0,.0%,All Josh Gordon red zone receiving plays,GordJo02
Ryan Griffin,HOU,2,1,50.00%,12,1,3.7%,0,0,,0,0,.0%,All Ryan Griffin red zone receiving plays,GrifRy00
Xavier Grimble,PIT,2,2,100.00%,9,1,2.4%,1,1,100.00%,1,1,2.4%,All Xavier Grimble red zone receiving plays,GrimXa00
Marvin Hall,ATL,2,0,0.00%,0,0,3.0%,1,0,0.00%,0,0,2.9%,All Marvin Hall red zone receiving plays,HallMa02
Derrick Henry,TEN,2,2,100.00%,7,0,4.7%,0,0,,0,0,.0%,All Derrick Henry red zone receiving plays,HenrDe00
Jacob Hollister,NWE,2,0,0.00%,0,0,2.3%,1,0,0.00%,0,0,2.7%,All Jacob Hollister red zone receiving plays,HollJa03
Michael Hoomanawanui,NOR,2,2,100.00%,2,1,2.8%,2,2,100.00%,2,1,6.7%,All Michael Hoomanawanui red zone receiving plays,HoomMi00
Jordan Howard,CHI,2,0,0.00%,0,0,4.0%,2,0,0.00%,0,0,7.1%,All Jordan Howard red zone receiving plays,HowaJo00
Justin Hunter,PIT,2,1,50.00%,5,1,2.4%,2,1,50.00%,5,1,4.8%,All Justin Hunter red zone receiving plays,HuntJu00
Tommylee Lewis,NOR,2,1,50.00%,1,0,2.8%,0,0,,0,0,.0%,All Tommylee Lewis red zone receiving plays,LewiTo00
Zach Line,NOR,2,2,100.00%,8,1,2.8%,2,2,100.00%,8,1,6.7%,All Zach Line red zone receiving plays,LineZa01
Marlon Mack,IND,2,1,50.00%,10,0,5.3%,0,0,,0,0,.0%,All Marlon Mack red zone receiving plays,MackMa00
Brandon Marshall,NYG,2,2,100.00%,27,0,3.8%,0,0,,0,0,.0%,All Brandon Marshall red zone receiving plays,MarsBr00
Chris Matthews,BAL,2,0,0.00%,0,0,2.9%,2,0,0.00%,0,0,5.6%,All Chris Matthews red zone receiving plays,MattCh00
Tanner McEvoy,SEA,2,0,0.00%,0,0,3.0%,1,0,0.00%,0,0,2.5%,All Tanner McEvoy red zone receiving plays,McEvTa01
Joe Mixon,CIN,2,2,100.00%,13,0,4.0%,1,1,100.00%,3,0,4.0%,All Joe Mixon red zone receiving plays,MixoJo00
DeMarco Murray,TEN,2,2,100.00%,13,1,4.7%,1,1,100.00%,7,1,5.9%,All DeMarco Murray red zone receiving plays,MurrDe00
Latavius Murray,MIN,2,1,50.00%,1,0,3.4%,0,0,,0,0,.0%,All Latavius Murray red zone receiving plays,MurrLa00
Niles Paul,WAS,2,1,50.00%,4,0,3.2%,0,0,,0,0,.0%,All Niles Paul red zone receiving plays,PaulNi00
Adrian Peterson,2TM,2,1,50.00%,0,0,,1,0,0.00%,0,0,,All Adrian Peterson red zone receiving plays,PeteAd01
Patrick Ricard,BAL,2,2,100.00%,9,2,2.9%,2,2,100.00%,9,2,5.6%,All Patrick Ricard red zone receiving plays,RicaPa00
Chester Rogers,IND,2,1,50.00%,7,0,5.3%,0,0,,0,0,.0%,All Chester Rogers red zone receiving plays,RogeCh02
Ricky Seals-Jones,ARI,2,1,50.00%,11,1,2.9%,1,0,0.00%,0,0,4.2%,All Ricky Seals-Jones red zone receiving plays,SealRi00
Dion Sims,CHI,2,2,100.00%,12,0,4.0%,1,1,100.00%,7,0,3.6%,All Dion Sims red zone receiving plays,SimsDi00
Wendell Smallwood,PHI,2,1,50.00%,8,0,2.7%,0,0,,0,0,.0%,All Wendell Smallwood red zone receiving plays,SmalWe00
De'Anthony Thomas,KAN,2,2,100.00%,8,1,2.8%,2,2,100.00%,8,1,9.1%,All De'Anthony Thomas red zone receiving plays,ThomDe05
Levine Toilolo,ATL,2,2,100.00%,11,0,3.0%,1,1,100.00%,7,0,2.9%,All Levine Toilolo red zone receiving plays,ToilLe00
Mike Tolbert,BUF,2,0,0.00%,0,0,3.1%,1,0,0.00%,0,0,2.9%,All Mike Tolbert red zone receiving plays,TolbMi00
C.J. Uzomah,CIN,2,1,50.00%,1,1,4.0%,2,1,50.00%,1,1,8.0%,All C.J. Uzomah red zone receiving plays,UzomC.00
Shane Vereen,NYG,2,1,50.00%,3,0,3.8%,0,0,,0,0,.0%,All Shane Vereen red zone receiving plays,VereSh00
Dede Westbrook,JAX,2,1,50.00%,18,1,4.1%,1,0,0.00%,0,0,3.4%,All Dede Westbrook red zone receiving plays,WestDe00
Kasen Williams,CLE,2,1,50.00%,4,0,4.7%,1,1,100.00%,4,0,4.0%,All Kasen Williams red zone receiving plays,WillKa02
Jarius Wright,MIN,2,2,100.00%,9,2,3.4%,2,2,100.00%,9,2,6.9%,All Jarius Wright red zone receiving plays,WrigJa02
Jared Abbrederis,DET,1,1,100.00%,12,0,1.4%,0,0,,0,0,.0%,All Jared Abbrederis red zone receiving plays,AbbrJa00
Peyton Barber,TAM,1,1,100.00%,1,0,1.5%,0,0,,0,0,.0%,All Peyton Barber red zone receiving plays,BarbPe01
Kenjon Barner,PHI,1,0,0.00%,0,0,1.3%,1,0,0.00%,0,0,3.3%,All Kenjon Barner red zone receiving plays,BarnKe00
Nick Bellore,DET,1,1,100.00%,1,1,1.4%,1,1,100.00%,1,1,3.1%,All Nick Bellore red zone receiving plays,BellNi01
Tommy Bohanon,JAX,1,1,100.00%,1,1,2.0%,1,1,100.00%,1,1,3.4%,All Tommy Bohanon red zone receiving plays,BohaTo00
Malcolm Brown,LAR,1,1,100.00%,-4,0,1.3%,1,1,100.00%,-4,0,2.9%,All Malcolm Brown red zone receiving plays,BrowMa03
Noah Brown,DAL,1,1,100.00%,-2,0,1.8%,1,1,100.00%,-2,0,3.8%,All Noah Brown red zone receiving plays,BrowNo00
Marquis Bundy,NYG,1,0,0.00%,0,0,1.9%,0,0,,0,0,.0%,All Marquis Bundy red zone receiving plays,BundMa00
Michael Burton,CHI,1,1,100.00%,0,0,2.0%,1,1,100.00%,0,0,3.6%,All Michael Burton red zone receiving plays,BurtMi00
Travaris Cadet,BUF,1,1,100.00%,5,0,1.5%,0,0,,0,0,.0%,All Travaris Cadet red zone receiving plays,CadeTr00
Derek Carrier,LAR,1,1,100.00%,14,0,1.3%,0,0,,0,0,.0%,All Derek Carrier red zone receiving plays,CarrDe00
Leonte Carroo,MIA,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Leonte Carroo red zone receiving plays,CarrLe00
Michael Clark,GNB,1,0,0.00%,0,0,1.6%,0,0,,0,0,.0%,All Michael Clark red zone receiving plays,ClarMi00
Derrick Coleman,ATL,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,2.9%,All Derrick Coleman red zone receiving plays,ColeDe00
Jeff Cumberland,LAC,1,1,100.00%,0,0,1.5%,0,0,,0,0,.0%,All Jeff Cumberland red zone receiving plays,CumbJe00
Amara Darboh,SEA,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Amara Darboh red zone receiving plays,DarbAm00
Orleans Darkwa,NYG,1,0,0.00%,0,0,1.9%,0,0,,0,0,.0%,All Orleans Darkwa red zone receiving plays,DarkOr00
Phillip Dorsett,NWE,1,1,100.00%,7,0,1.2%,0,0,,0,0,.0%,All Phillip Dorsett red zone receiving plays,DorsPh00
Lance Dunbar,LAR,1,0,0.00%,0,0,1.3%,0,0,,0,0,.0%,All Lance Dunbar red zone receiving plays,DunbLa00
Tyler Eifert,CIN,1,0,0.00%,0,0,2.0%,0,0,,0,0,.0%,All Tyler Eifert red zone receiving plays,EifeTy00
Tyler Ervin,HOU,1,0,0.00%,0,0,1.9%,1,0,0.00%,0,0,3.3%,All Tyler Ervin red zone receiving plays,ErviTy00
C.J. Fiedorowicz,HOU,1,0,0.00%,0,0,1.9%,1,0,0.00%,0,0,3.3%,All C.J. Fiedorowicz red zone receiving plays,FiedC.00
D'Onta Foreman,HOU,1,0,0.00%,0,0,1.9%,0,0,,0,0,.0%,All D'Onta Foreman red zone receiving plays,ForeDO00
Leonard Fournette,JAX,1,1,100.00%,10,1,2.0%,1,1,100.00%,10,1,3.4%,All Leonard Fournette red zone receiving plays,FourLe00
Jimmy Garoppolo,SFO,1,1,100.00%,-6,0,1.2%,0,0,,0,0,.0%,All Jimmy Garoppolo red zone receiving plays,GaroJi00
Tanner Gentry,CHI,1,0,0.00%,0,0,2.0%,0,0,,0,0,.0%,All Tanner Gentry red zone receiving plays,GentTa00
Jakeem Grant,MIA,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Jakeem Grant red zone receiving plays,GranJa00
James Hanna,DAL,1,0,0.00%,0,0,1.8%,0,0,,0,0,.0%,All James Hanna red zone receiving plays,HannJa00
Chad Hansen,NYJ,1,1,100.00%,-4,0,2.1%,0,0,,0,0,.0%,All Chad Hansen red zone receiving plays,HansCh00
Jeff Heuerman,DEN,1,1,100.00%,13,1,1.7%,0,0,,0,0,.0%,All Jeff Heuerman red zone receiving plays,HeueJe00
Darrius Heyward-Bey,PIT,1,1,100.00%,3,0,1.2%,1,1,100.00%,3,0,2.4%,All Darrius Heyward-Bey red zone receiving plays,HeywDa00
Cole Hikutini,SFO,1,1,100.00%,10,0,1.2%,0,0,,0,0,.0%,All Cole Hikutini red zone receiving plays,HikuCo00
Gabe Holmes,ARI,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All Gabe Holmes red zone receiving plays,HolmGa00
Johnny Holton,OAK,1,1,100.00%,9,1,2.2%,1,1,100.00%,9,1,3.6%,All Johnny Holton red zone receiving plays,HoltJo00
Akeem Hunt,KAN,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All Akeem Hunt red zone receiving plays,HuntAk01
Andy Janovich,DEN,1,0,0.00%,0,0,1.7%,0,0,,0,0,.0%,All Andy Janovich red zone receiving plays,JanoAn00
David Johnson,ARI,1,1,100.00%,2,0,1.4%,1,1,100.00%,2,0,4.2%,All David Johnson red zone receiving plays,JohnDa08
Jeremy Kerley,NYJ,1,1,100.00%,10,0,2.1%,0,0,,0,0,.0%,All Jeremy Kerley red zone receiving plays,KerlJe00
Matt LaCosse,NYG,1,0,0.00%,0,0,1.9%,1,0,0.00%,0,0,3.8%,All Matt LaCosse red zone receiving plays,LaCoMa00
Cody Latimer,DEN,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,4.2%,All Cody Latimer red zone receiving plays,LatiCo00
Marshawn Lynch,OAK,1,0,0.00%,0,0,2.2%,0,0,,0,0,.0%,All Marshawn Lynch red zone receiving plays,LyncMa00
Tre Madden,SEA,1,1,100.00%,-1,0,1.5%,1,1,100.00%,-1,0,2.5%,All Tre Madden red zone receiving plays,MaddTr01
Josh Malone,CIN,1,0,0.00%,0,0,2.0%,0,0,,0,0,.0%,All Josh Malone red zone receiving plays,MaloJo00
Chris Manhertz,CAR,1,0,0.00%,0,0,1.8%,1,0,0.00%,0,0,3.8%,All Chris Manhertz red zone receiving plays,ManhCh00
Isaiah McKenzie,DEN,1,0,0.00%,0,0,1.7%,0,0,,0,0,.0%,All Isaiah McKenzie red zone receiving plays,McKeIs00
Brian Mihalik,DET,1,1,100.00%,-4,0,1.4%,1,1,100.00%,-4,0,3.1%,All Brian Mihalik red zone receiving plays,MihaBr00
Ifeanyi Momah,ARI,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All Ifeanyi Momah red zone receiving plays,MomaIf00
David Morgan,MIN,1,1,100.00%,1,1,1.7%,1,1,100.00%,1,1,3.4%,All David Morgan red zone receiving plays,MorgDa01
Roosevelt Nix,PIT,1,1,100.00%,1,1,1.2%,1,1,100.00%,1,1,2.4%,All Roosevelt Nix red zone receiving plays,NixxRo01
Branden Oliver,LAC,1,1,100.00%,-2,0,1.5%,1,1,100.00%,-2,0,2.3%,All Branden Oliver red zone receiving plays,OlivBr01
Samaje Perine,WAS,1,1,100.00%,3,1,1.6%,1,1,100.00%,3,1,4.0%,All Samaje Perine red zone receiving plays,PeriSa00
C.J. Prosise,SEA,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,2.5%,All C.J. Prosise red zone receiving plays,ProsC.00
Jay Prosch,HOU,1,1,100.00%,9,0,1.9%,0,0,,0,0,.0%,All Jay Prosch red zone receiving plays,ProsJa00
Brian Quick,WAS,1,1,100.00%,9,0,1.6%,0,0,,0,0,.0%,All Brian Quick red zone receiving plays,QuicBr00
Bobby Rainey,BAL,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,2.8%,All Bobby Rainey red zone receiving plays,RainBo00
Thomas Rawls,SEA,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,2.5%,All Thomas Rawls red zone receiving plays,RawlTh00
Jalen Richard,OAK,1,1,100.00%,6,1,2.2%,1,1,100.00%,6,1,3.6%,All Jalen Richard red zone receiving plays,RichJa01
Aaron Ripkowski,GNB,1,0,0.00%,0,0,1.6%,0,0,,0,0,.0%,All Aaron Ripkowski red zone receiving plays,RipkAa00
Andre Roberts,ATL,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Andre Roberts red zone receiving plays,RobeAn00
Michael Roberts,DET,1,1,100.00%,15,0,1.4%,0,0,,0,0,.0%,All Michael Roberts red zone receiving plays,RobeMi01
Jacquizz Rodgers,TAM,1,1,100.00%,6,0,1.5%,1,1,100.00%,6,0,3.4%,All Jacquizz Rodgers red zone receiving plays,RodgJa00
Travis Rudolph,NYG,1,0,0.00%,0,0,1.9%,0,0,,0,0,.0%,All Travis Rudolph red zone receiving plays,RudoTr00
Ty Sambrailo,ATL,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,2.9%,All Ty Sambrailo red zone receiving plays,SambTy00
Hunter Sharp,NYG,1,1,100.00%,16,1,1.9%,0,0,,0,0,.0%,All Hunter Sharp red zone receiving plays,SharHu01
Anthony Sherman,KAN,1,1,100.00%,11,0,1.4%,0,0,,0,0,.0%,All Anthony Sherman red zone receiving plays,SherAn00
Jeremy Sprinkle,WAS,1,1,100.00%,7,1,1.6%,1,1,100.00%,7,1,4.0%,All Jeremy Sprinkle red zone receiving plays,SpriJe00
Darren Sproles,PHI,1,0,0.00%,0,0,1.3%,0,0,,0,0,.0%,All Darren Sproles red zone receiving plays,SproDa00
Neal Sterling,NYJ,1,0,0.00%,0,0,2.1%,0,0,,0,0,.0%,All Neal Sterling red zone receiving plays,SterNe00
ArDarius Stewart,NYJ,1,1,100.00%,8,0,2.1%,1,1,100.00%,8,0,4.2%,All ArDarius Stewart red zone receiving plays,StewAr00
Jonathan Stewart,CAR,1,1,100.00%,9,1,1.8%,1,1,100.00%,9,1,3.8%,All Jonathan Stewart red zone receiving plays,StewJo00
Luke Stocker,TAM,1,1,100.00%,8,1,1.5%,1,1,100.00%,8,1,3.4%,All Luke Stocker red zone receiving plays,StocLu00
Jaelen Strong,JAX,1,1,100.00%,5,1,2.0%,1,1,100.00%,5,1,3.4%,All Jaelen Strong red zone receiving plays,StroJa01
Phillip Supernaw,TEN,1,1,100.00%,11,1,2.3%,0,0,,0,0,.0%,All Phillip Supernaw red zone receiving plays,SupePh00
Ryan Switzer,DAL,1,1,100.00%,2,0,1.8%,0,0,,0,0,.0%,All Ryan Switzer red zone receiving plays,SwitRy00
Jordan Taylor,DEN,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,4.2%,All Jordan Taylor red zone receiving plays,TaylJo01
Taywan Taylor,TEN,1,0,0.00%,0,0,2.3%,0,0,,0,0,.0%,All Taywan Taylor red zone receiving plays,TaylTa00
Randall Telfer,CLE,1,0,0.00%,0,0,2.3%,1,0,0.00%,0,0,4.0%,All Randall Telfer red zone receiving plays,TelfRa00
Lawrence Thomas,NYJ,1,1,100.00%,5,0,2.1%,0,0,,0,0,.0%,All Lawrence Thomas red zone receiving plays,ThomLa04
Logan Thomas,BUF,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Logan Thomas red zone receiving plays,ThomLo00
Austin Traylor,DEN,1,1,100.00%,14,0,1.7%,0,0,,0,0,.0%,All Austin Traylor red zone receiving plays,TrayAu00
Laquon Treadwell,MIN,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,3.4%,All Laquon Treadwell red zone receiving plays,TreaLa00
Nick Vannett,SEA,1,1,100.00%,17,1,1.5%,0,0,,0,0,.0%,All Nick Vannett red zone receiving plays,VannNi00
Clive Walford,OAK,1,0,0.00%,0,0,2.2%,0,0,,0,0,.0%,All Clive Walford red zone receiving plays,WalfCl00
Leonard Wester,TAM,1,1,100.00%,2,1,1.5%,1,1,100.00%,2,1,3.4%,All Leonard Wester red zone receiving plays,WestLe00
Kerwynn Williams,ARI,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All Kerwynn Williams red zone receiving plays,WillKe05
Marquez Williams,CLE,1,0,0.00%,0,0,2.3%,1,0,0.00%,0,0,4.0%,All Marquez Williams red zone receiving plays,WillMa09
Tyrell Williams,LAC,1,1,100.00%,7,0,1.5%,0,0,,0,0,.0%,All Tyrell Williams red zone receiving plays,WillTy00
Bobo Wilson,TAM,1,1,100.00%,18,1,1.5%,0,0,,0,0,.0%,All Bobo Wilson red zone receiving plays,WilsJe00
T.J. Yeldon,JAX,1,1,100.00%,2,0,2.0%,0,0,,0,0,.0%,All T.J. Yeldon red zone receiving plays,YeldT.00
