,Unnamed: 0,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
0,0,1,Todd Gurley,LAR,RB,24,14,14,0,0,0,0,0,256,1251,4.89,17,81,59,580,9.83,4,1.0,1,21,3.0,0.0,313.0,372.1,379.1,342.6,178.0,1,1.0,GurlTo01
1,1,2,Saquon Barkley,NYG,RB,21,16,16,0,0,0,0,0,261,1307,5.01,11,121,91,721,7.92,4,0.0,0,15,1.0,0.0,295.0,385.8,391.8,340.3,159.0,2,2.0,BarkSa00
2,2,3,Christian McCaffrey,CAR,RB,22,16,16,1,1,50,1,0,219,1098,5.01,7,124,107,867,8.1,6,4.0,1,13,0.0,0.0,279.0,385.5,392.5,332.0,143.0,3,3.0,McCaCh01
3,3,4,Alvin Kamara,NOR,RB,23,15,13,0,0,0,0,0,194,883,4.55,14,105,81,709,8.75,4,1.0,0,18,3.0,0.0,273.0,354.2,360.2,313.7,138.0,4,4.0,KamaAl00
4,4,5,Patrick Mahomes,KAN,QB,23,16,16,383,580,5097,50,12,60,272,4.53,2,0,0,0,0.0,0,9.0,2,2,1.0,0.0,417.0,417.1,437.1,429.1,134.0,1,5.0,MahoPa00
5,5,6,Tyreek Hill,KAN,WR,24,16,16,0,0,0,0,0,22,151,6.86,1,137,87,1479,17.0,12,0.0,0,14,0.0,0.0,247.0,334.0,340.0,290.5,131.0,1,6.0,HillTy00
6,6,7,Ezekiel Elliott,DAL,RB,23,15,15,0,0,0,0,0,304,1434,4.72,6,95,77,567,7.36,3,6.0,1,9,0.0,0.0,252.0,329.1,336.1,290.6,117.0,5,7.0,ElliEz00
7,7,8,Travis Kelce,KAN,TE,29,16,16,0,0,0,0,0,0,0,0.0,0,150,103,1336,12.97,10,2.0,1,10,0.0,0.0,192.0,294.6,298.6,243.1,109.0,1,8.0,KelcTr00
8,8,9,Antonio Brown,PIT,WR,30,15,15,0,1,0,0,0,0,0,0.0,0,168,104,1297,12.47,15,0.0,0,15,0.0,0.0,220.0,323.7,326.7,271.7,103.0,2,9.0,BrowAn04
9,9,10,Davante Adams,GNB,WR,26,15,15,0,0,0,0,0,0,0,0.0,0,169,111,1386,12.49,13,0.0,0,13,1.0,0.0,219.0,329.6,332.6,274.1,102.0,3,10.0,AdamDa01
10,10,11,DeAndre Hopkins,HOU,WR,26,16,16,0,1,0,0,0,1,-7,-7.0,0,163,115,1572,13.67,11,2.0,2,11,0.0,0.0,219.0,333.5,338.5,276.0,102.0,4,11.0,HopkDe00
11,11,12,Julio Jones,ATL,WR,29,16,16,0,0,0,0,0,2,12,6.0,0,170,113,1677,14.84,8,2.0,2,8,0.0,0.0,213.0,325.9,330.9,269.4,97.0,5,12.0,JoneJu02
12,12,13,Melvin Gordon,LAC,RB,25,12,12,0,0,0,0,0,175,885,5.06,10,66,50,490,9.8,4,1.0,0,14,2.0,0.0,226.0,275.5,281.5,250.5,90.0,6,13.0,GordMe00
13,13,14,James Conner,PIT,RB,23,13,12,0,0,0,0,0,215,973,4.53,12,71,55,497,9.04,1,4.0,2,13,2.0,0.0,225.0,280.0,288.0,252.5,90.0,7,14.0,ConnJa00
14,14,15,Mike Evans,TAM,WR,25,16,16,0,0,0,0,0,0,0,0.0,0,138,86,1524,17.72,8,2.0,1,9,0.0,0.0,204.0,290.4,294.4,247.4,88.0,6,15.0,EvanMi00
15,15,16,George Kittle,SFO,TE,25,16,16,0,0,0,0,0,1,10,10.0,0,136,88,1377,15.65,5,0.0,0,5,1.0,0.0,171.0,258.7,261.7,214.7,88.0,2,16.0,KittGe00
16,16,17,Zach Ertz,PHI,TE,28,16,16,0,0,0,0,0,0,0,0.0,0,156,116,1163,10.03,8,1.0,0,8,0.0,0.0,164.0,280.3,283.3,222.3,81.0,3,17.0,ErtzZa00
17,17,18,Adam Thielen,MIN,WR,28,16,16,0,0,0,0,0,5,30,6.0,0,153,113,1373,12.15,9,1.0,1,9,1.0,0.0,194.0,307.3,311.3,250.8,78.0,7,18.0,ThieAd00
18,18,19,Michael Thomas,NOR,WR,25,16,16,0,0,0,0,0,0,0,0.0,0,147,125,1405,11.24,9,2.0,2,9,0.0,0.0,191.0,315.5,320.5,253.0,74.0,8,19.0,ThomMi05
