,Unnamed: 0,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
0,0,1,David Johnson,ARI,RB,25,16,16,0,0,0,0,0,293,1239,4.23,16,120,80,879,10.99,4,5.0,3,20,1.0,0.0,328.0,407.8,416.8,367.8,191.0,1,1.0,JohnDa08
1,1,2,Ezekiel Elliott,DAL,RB,21,15,15,0,0,0,0,0,322,1631,5.07,15,39,32,363,11.34,1,5.0,1,16,0.0,0.0,293.0,325.4,332.4,309.4,156.0,2,2.0,ElliEz00
2,2,3,Aaron Rodgers,GNB,QB,33,16,16,401,610,4428,40,7,67,369,5.51,4,0,0,0,0.0,0,8.0,4,4,1.0,1.0,380.0,380.0,397.0,387.0,119.0,1,3.0,RodgAa00
3,3,4,LeSean McCoy,BUF,RB,28,15,15,0,0,0,0,0,234,1267,5.41,13,57,50,356,7.12,1,3.0,0,14,1.0,0.0,248.0,298.3,304.3,273.3,111.0,3,4.0,McCoLe01
4,4,5,Le'Veon Bell,PIT,RB,24,12,12,0,1,0,0,0,261,1268,4.86,7,94,75,616,8.21,2,4.0,1,9,1.0,0.0,242.0,317.4,324.4,279.9,105.0,4,5.0,BellLe00
5,5,6,DeMarco Murray,TEN,RB,28,16,16,1,2,10,1,0,293,1287,4.39,9,67,53,377,7.11,3,3.0,1,12,0.0,0.0,241.0,293.8,300.8,267.3,104.0,5,6.0,MurrDe00
6,6,7,Devonta Freeman,ATL,RB,24,16,16,0,0,0,0,0,227,1079,4.75,11,65,54,462,8.56,2,1.0,1,13,0.0,0.0,230.0,284.1,291.1,257.1,93.0,6,7.0,FreeDe00
7,7,8,LeGarrette Blount,NWE,RB,30,16,8,0,0,0,0,0,299,1161,3.88,18,8,7,38,5.43,0,2.0,1,18,0.0,0.0,226.0,232.9,236.9,229.4,89.0,7,8.0,BlouLe00
8,8,9,Matt Ryan,ATL,QB,31,16,16,373,534,4944,38,7,35,117,3.34,0,0,0,0,0.0,0,4.0,2,0,1.0,1.0,347.0,347.5,362.5,354.5,87.0,2,9.0,RyanMa00
9,9,10,Mike Evans,TAM,WR,23,16,16,0,0,0,0,0,0,0,0.0,0,173,96,1321,13.76,12,0.0,0,12,2.0,0.0,208.0,304.1,307.1,256.1,82.0,1,10.0,EvanMi00
10,10,11,Jordy Nelson,GNB,WR,31,16,16,0,0,0,0,0,0,0,0.0,0,152,97,1257,12.96,14,1.0,1,14,0.0,0.0,208.0,304.7,308.7,256.2,82.0,2,11.0,NelsJo00
11,11,12,Antonio Brown,PIT,WR,28,15,15,0,0,0,0,0,3,9,3.0,0,154,106,1284,12.11,12,0.0,0,12,0.0,0.0,201.0,307.3,310.3,254.3,75.0,3,12.0,BrowAn04
12,12,13,Melvin Gordon,SDG,RB,23,13,11,0,0,0,0,0,254,997,3.93,10,57,41,419,10.22,2,2.0,2,12,0.0,0.0,210.0,250.6,258.6,230.1,73.0,8,13.0,GordMe00
13,13,14,Drew Brees,NOR,QB,37,16,16,471,673,5208,37,15,23,20,0.87,2,0,0,0,0.0,0,5.0,4,2,0.0,0.0,332.0,332.3,354.3,347.3,72.0,3,14.0,BreeDr00
14,14,15,Odell Beckham Jr.,NYG,WR,24,16,16,0,0,0,0,0,1,9,9.0,0,169,101,1367,13.53,10,3.0,1,10,0.0,0.0,196.0,296.6,300.6,246.1,69.0,4,15.0,BeckOd00
15,15,16,Jordan Howard,CHI,RB,22,15,13,0,0,0,0,0,252,1313,5.21,6,50,29,298,10.28,1,2.0,1,7,0.0,0.0,201.0,230.1,237.1,215.6,64.0,9,16.0,HowaJo00
16,16,17,Mark Ingram,NOR,RB,27,16,14,0,0,0,0,0,205,1043,5.09,6,58,46,319,6.93,4,2.0,2,10,2.0,0.0,196.0,242.2,250.2,219.2,59.0,10,17.0,IngrMa01
17,17,18,T.Y. Hilton,IND,WR,27,16,16,0,0,0,0,0,0,0,0.0,0,155,91,1448,15.91,6,0.0,0,6,1.0,0.0,183.0,273.8,276.8,228.3,57.0,5,18.0,HiltT.00
18,18,19,Jay Ajayi,MIA,RB,23,15,12,0,0,0,0,0,260,1272,4.89,8,35,27,151,5.59,0,4.0,1,8,0.0,0.0,188.0,215.3,222.3,201.8,51.0,11,19.0,AjayJa00
19,19,20,Travis Kelce,KAN,TE,27,16,15,0,0,0,0,0,1,-5,-5.0,0,117,85,1125,13.24,4,0.0,0,4,1.0,0.0,138.0,223.0,226.0,180.5,51.0,1,20.0,KelcTr00
20,20,21,Julio Jones,ATL,WR,27,14,14,0,0,0,0,0,0,0,0.0,0,129,83,1409,16.98,6,0.0,0,6,0.0,0.0,177.0,259.9,262.9,218.4,51.0,6,21.0,JoneJu02
21,21,22,Andrew Luck,IND,QB,27,15,15,346,545,4240,31,13,64,341,5.33,2,0,0,0,0.0,0,6.0,5,2,0.0,2.0,308.0,307.7,331.7,320.7,47.0,4,22.0,LuckAn00
22,22,23,Davante Adams,GNB,WR,24,16,15,0,0,0,0,0,0,0,0.0,0,121,75,997,13.29,12,2.0,1,12,1.0,0.0,172.0,246.7,250.7,209.2,46.0,7,23.0,AdamDa01
23,23,24,Brandin Cooks,NOR,WR,23,16,12,0,0,0,0,0,6,30,5.0,0,117,78,1173,15.04,8,1.0,0,8,0.0,0.0,168.0,246.3,249.3,207.3,42.0,8,24.0,CookBr00
24,24,25,Greg Olsen,CAR,TE,31,16,16,0,0,0,0,0,0,0,0.0,0,129,80,1073,13.41,3,0.0,0,3,1.0,0.0,127.0,207.3,210.3,167.3,40.0,2,25.0,OlseGr00
25,25,26,Kirk Cousins,WAS,QB,28,16,16,406,606,4917,25,12,34,96,2.82,4,0,0,0,0.0,0,9.0,3,4,0.0,0.0,300.0,300.3,318.3,312.3,40.0,5,26.0,CousKi00
