,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Buffalo Bills,17,214,66,30.8%,35,16,45.7%,45,23,51.1%
2,Baltimore Ravens,17,201,70,34.8%,18,11,61.1%,50,27,54.0%
3,Dallas Cowboys,17,223,76,34.1%,26,16,61.5%,47,28,59.6%
4,Tennessee Titans,17,210,77,36.7%,24,14,58.3%,58,30,51.7%
5,New England Patriots,17,211,77,36.5%,32,17,53.1%,48,23,47.9%
6,Minnesota Vikings,17,214,78,36.4%,30,15,50.0%,59,33,55.9%
7,Arizona Cardinals,17,207,79,38.2%,30,14,46.7%,51,31,60.8%
8,Kansas City Chiefs,17,199,80,40.2%,31,19,61.3%,56,32,57.1%
9,Chicago Bears,17,211,81,38.4%,24,12,50.0%,54,30,55.6%
10,Carolina Panthers,17,217,82,37.8%,21,12,57.1%,52,35,67.3%
11,Indianapolis Colts,17,210,85,40.5%,21,12,57.1%,53,34,64.2%
12,Cleveland Browns,17,219,86,39.3%,25,16,64.0%,52,34,65.4%
13,Pittsburgh Steelers,17,232,86,37.1%,24,13,54.2%,59,30,50.8%
14,Tampa Bay Buccaneers,17,226,87,38.5%,28,13,46.4%,59,31,52.5%
15,Green Bay Packers,17,203,87,42.9%,33,15,45.5%,49,33,67.3%
16,San Francisco 49ers,17,220,88,40.0%,25,11,44.0%,60,34,56.7%
17,Seattle Seahawks,17,224,88,39.3%,31,13,41.9%,61,31,50.8%
18,Houston Texans,17,206,89,43.2%,19,11,57.9%,66,41,62.1%
19,New Orleans Saints,17,240,89,37.1%,21,9,42.9%,46,20,43.5%
20,New York Giants,17,226,90,39.8%,23,15,65.2%,71,37,52.1%
21,Las Vegas Raiders,17,230,91,39.6%,29,21,72.4%,43,35,81.4%
22,Cincinnati Bengals,17,221,92,41.6%,18,7,38.9%,53,32,60.4%
23,Los Angeles Rams,17,223,92,41.3%,32,17,53.1%,56,29,51.8%
24,Detroit Lions,17,204,92,45.1%,14,9,64.3%,60,42,70.0%
25,Philadelphia Eagles,17,217,93,42.9%,29,14,48.3%,60,40,66.7%
26,Miami Dolphins,17,231,95,41.1%,18,11,61.1%,57,30,52.6%
27,Jacksonville Jaguars,17,221,95,43.0%,21,14,66.7%,61,38,62.3%
28,New York Jets,17,223,99,44.4%,21,13,61.9%,74,45,60.8%
29,Denver Broncos,17,225,101,44.9%,26,11,42.3%,43,21,48.8%
30,Atlanta Falcons,17,217,105,48.4%,22,11,50.0%,69,44,63.8%
31,Los Angeles Chargers,17,216,107,49.5%,22,7,31.8%,67,43,64.2%
32,Washington Football Team,17,229,111,48.5%,20,12,60.0%,59,35,59.3%
,League Total,,,,,,,,,,
