Tm,Rk_conversions,G_x,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,Rk_drives,#Dr,Plays,Sc%_drives,TO%_drives,Plays_drive,Yds_drive,Start,Time,Pts_drive,Rk_po,Cmp_po,Att_po,Cmp%,Yds_po,TD_po,TD%_po,Int_po,Int%_po,Lng_po,Y/A_po,AY/A,Y/C,Y/G_po,Rate,Sk,Yds_po,Sk%,NY/A_po,ANY/A,4QC,GWD,EXP_po,Rk_ro,Att_ro,Yds_ro,TD_ro,Lng_ro,Y/A_ro,Y/G_ro,Fmb,EXP_ro,Rk_so,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts_so,Pts/G,Rk_to,PF,Yds_to,Ply,Y/P,TO,FL,1stD,Pen,Yds.p,1stPy,Sc%_to,TO%_to,EXP
Baltimore Ravens,24.0,16.0,223.0,76.0,34.1%,16.0,10.0,62.5%,52.0,30.0,57.7%,7.0,192,1095,36.5,8.9,5.7,25.4,Own 32.8,2:34,1.84,29.0,363.0,567.0,64.0,3030.0,20.0,3.5,13.0,2.3,66.0,5.7,5.4,8.9,189.4,81.4,27.0,205.0,4.5,5.1,4.8,0.0,0.0,-80.15,11.0,460.0,1856.0,14.0,50.0,4.0,116.0,19.0,-49.38,9.0,10.0,20.0,0.0,0.0,1.0,0.0,1.0,32.0,4.0,5.0,1.0,27.0,27.0,38.0,39.0,0.0,343.0,21.4,9.0,395.0,4886.0,1054.0,4.6,17.0,4.0,311.0,91.0,749.0,32.0,36.5,8.9,-132.06
New York Giants,25.0,16.0,227.0,74.0,32.6%,21.0,8.0,38.1%,39.0,19.0,48.7%,5.0,194,1064,22.7,11.3,5.5,25.9,Own 26.7,2:22,1.22,19.0,373.0,608.0,61.3,3479.0,20.0,3.3,14.0,2.3,77.0,6.1,5.7,9.9,217.4,79.8,34.0,201.0,5.3,5.4,5.1,0.0,1.0,-95.57,26.0,394.0,1549.0,6.0,75.0,3.9,96.8,20.0,-70.19,2.0,6.0,26.0,0.0,0.0,2.0,1.0,1.0,36.0,0.0,1.0,0.0,31.0,35.0,21.0,22.0,0.0,310.0,19.4,31.0,246.0,5028.0,1036.0,4.9,22.0,8.0,271.0,91.0,895.0,27.0,22.7,11.3,-167.56
Cleveland Browns,26.0,16.0,216.0,73.0,33.8%,23.0,12.0,52.2%,39.0,19.0,48.7%,14.0,186,1028,22.0,21.0,5.5,26.5,Own 26.5,2:26,1.22,22.0,312.0,574.0,54.4,3228.0,15.0,2.6,28.0,4.9,56.0,6.2,4.5,11.3,201.8,61.4,50.0,309.0,8.0,5.2,3.6,0.0,0.0,-180.26,18.0,384.0,1714.0,11.0,59.0,4.5,107.1,25.0,-44.66,30.0,13.0,15.0,0.0,0.0,0.0,1.0,0.0,29.0,2.0,4.0,0.0,23.0,25.0,21.0,27.0,0.0,264.0,16.5,32.0,234.0,4942.0,1008.0,4.9,41.0,13.0,290.0,110.0,924.0,36.0,22.0,21.0,-233.13
New Orleans Saints,27.0,16.0,194.0,73.0,37.6%,15.0,12.0,80.0%,55.0,32.0,58.2%,26.0,175,1044,44.6,9.1,6.0,35.6,Own 29.6,2:51,2.41,5.0,386.0,536.0,72.0,4189.0,23.0,4.3,8.0,1.5,54.0,8.1,8.3,11.2,261.8,103.9,20.0,145.0,3.6,7.5,7.7,2.0,2.0,78.77,5.0,444.0,2070.0,23.0,74.0,4.7,129.4,19.0,-71.76,31.0,17.0,38.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,5.0,0.0,49.0,50.0,28.0,34.0,1.0,469.0,29.3,4.0,448.0,6259.0,1000.0,6.3,18.0,10.0,332.0,105.0,967.0,20.0,44.6,9.1,7.38
Tennessee Titans,28.0,16.0,202.0,71.0,35.1%,10.0,5.0,50.0%,40.0,21.0,52.5%,11.0,191,1017,35.1,12.6,5.3,26.3,Own 28.7,2:32,1.72,23.0,306.0,496.0,61.7,3191.0,14.0,2.8,17.0,3.4,75.0,6.8,5.9,11.1,199.4,77.1,35.0,203.0,6.6,6.0,5.1,3.0,4.0,-59.14,15.0,443.0,1833.0,18.0,75.0,4.1,114.6,10.0,-65.47,16.0,16.0,29.0,0.0,0.0,1.0,0.0,0.0,46.0,0.0,5.0,0.0,39.0,41.0,22.0,24.0,0.0,381.0,23.8,19.0,334.0,5024.0,974.0,5.2,25.0,8.0,290.0,85.0,785.0,36.0,35.1,12.6,-134.32
Chicago Bears,29.0,16.0,205.0,71.0,34.6%,18.0,7.0,38.9%,33.0,20.0,60.6%,29.0,174,961,24.1,12.1,5.5,26.3,Own 27.1,2:41,1.32,32.0,291.0,473.0,61.5,2811.0,13.0,2.7,12.0,2.5,70.0,6.5,5.9,10.6,175.7,79.1,39.0,274.0,7.6,5.5,4.9,0.0,2.0,-73.49,16.0,422.0,1788.0,13.0,53.0,4.2,111.8,24.0,-35.0,24.0,10.0,19.0,1.0,0.0,1.0,1.0,0.0,32.0,0.0,0.0,0.0,31.0,32.0,18.0,23.0,1.0,279.0,17.4,29.0,264.0,4599.0,934.0,4.9,22.0,10.0,266.0,115.0,943.0,30.0,24.1,12.1,-115.2
Cincinnati Bengals,30.0,16.0,199.0,67.0,33.7%,12.0,5.0,41.7%,43.0,24.0,55.8%,16.0,185,946,26.5,11.4,5.1,24.2,Own 27.9,2:22,1.46,27.0,304.0,510.0,59.6,3122.0,25.0,4.9,12.0,2.4,77.0,6.6,6.6,11.1,195.1,86.0,40.0,264.0,7.3,5.7,5.6,3.0,3.0,-23.46,31.0,377.0,1366.0,6.0,25.0,3.6,85.4,22.0,-79.97,8.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,29.0,35.0,28.0,35.0,1.0,325.0,20.3,26.0,290.0,4488.0,927.0,4.8,23.0,11.0,267.0,110.0,1027.0,30.0,26.5,11.4,-108.45
Washington Redskins,31.0,16.0,204.0,66.0,32.4%,16.0,9.0,56.3%,46.0,25.0,54.3%,9.0,191,1012,31.9,12.6,5.3,27.0,Own 29.4,2:30,1.73,12.0,347.0,540.0,64.3,3751.0,27.0,5.0,13.0,2.4,74.0,7.6,7.5,11.8,234.4,93.9,41.0,342.0,7.1,6.5,6.4,1.0,4.0,13.11,28.0,401.0,1448.0,10.0,61.0,3.6,90.5,28.0,-97.98,19.0,17.0,25.0,1.0,0.0,0.0,0.0,0.0,43.0,0.0,4.0,0.0,36.0,39.0,34.0,42.0,0.0,396.0,24.8,16.0,342.0,5199.0,982.0,5.3,27.0,14.0,278.0,92.0,733.0,21.0,31.9,12.6,-95.51
Miami Dolphins,32.0,16.0,202.0,64.0,31.7%,24.0,7.0,29.2%,38.0,20.0,52.6%,13.0,190,1024,25.8,15.3,5.4,25.9,Own 28.1,2:29,1.36,18.0,373.0,602.0,62.0,3535.0,24.0,4.0,21.0,3.5,65.0,6.3,5.5,10.2,220.9,78.7,33.0,257.0,5.2,5.6,4.8,3.0,4.0,-54.81,29.0,360.0,1388.0,4.0,69.0,3.9,86.8,23.0,-93.59,18.0,14.0,27.0,1.0,1.0,0.0,1.0,1.0,45.0,1.0,2.0,1.0,41.0,42.0,16.0,21.0,0.0,363.0,22.7,28.0,281.0,4923.0,995.0,4.9,29.0,8.0,284.0,137.0,1154.0,31.0,25.8,15.3,-156.17
League Total,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,5903,33567,33.8,11.4,5.7,28.9,Own 28.5,2:37,1.78,0.0,10856.0,17488.0,62.1,114870.0,741.0,4.2,430.0,2.5,97.0,7.0,6.8,11.3,224.4,86.9,1195.0,7810.0,6.4,6.15,5.9,48.0,78.0,0.0,0.0,13755.0,56170.0,380.0,90.0,4.1,109.7,644.0,0.0,0.0,443.0,786.0,10.0,7.0,23.0,34.0,4.0,1307.0,51.0,105.0,4.0,1119.0,1195.0,850.0,1009.0,20.0,11661.0,22.8,0.0,11120.0,171040.0,32438.0,5.3,706.0,276.0,9860.0,3420.0,29580.0,1020.0,33.8,11.4,0.0
