Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,-9999
47,Tim Boyle,DET,27,QB,5,3,61,94,526,1,0,0,3,3.2%,20,21.3%,64,68.1%,BoylTi00
48,Case Keenum,CLE,33,QB,7,2,47,72,462,0,2,0,3,4.3%,13,18.6%,53,75.7%,KeenCa00
49,Gardner Minshew II,PHI,25,QB,4,2,41,60,439,1,4,0,5,8.9%,7,12.5%,45,80.4%,MinsGa00
50,Cooper Rush,DAL,28,QB,5,1,30,47,422,1,0,0,2,4.3%,9,19.1%,32,68.1%,RushCo00
51,Jordan Love,GNB,23,QB,6,1,36,62,411,0,2,0,2,3.3%,15,25.0%,40,66.7%,LoveJo03
52,P.J. Walker,CAR,26,QB,5,1,36,66,362,1,0,1,2,3.1%,20,30.8%,41,63.1%,WalkPh00
53,Joe Flacco,NYJ,36,QB,2,1,27,42,338,1,4,0,1,2.6%,6,15.8%,29,76.3%,FlacJo00
54,Mason Rudolph,PIT,26,QB,2,1,35,58,277,0,1,1,3,5.4%,9,16.1%,44,78.6%,RudoMa00
55,Nick Foles,CHI,32,QB,1,1,24,35,250,1,0,0,1,2.9%,4,11.4%,30,85.7%,FoleNi00
56,Brian Hoyer,NWE,36,QB,5,0,9,11,227,0,0,0,0,0.0%,0,0.0%,11,100.0%,HoyeBr00
57,Jake Fromm,NYG,23,QB,3,2,27,60,210,4,2,0,3,5.2%,19,32.8%,32,55.2%,FromJa00
58,Garrett Gilbert,WAS,30,QB,1,1,20,31,194,0,1,0,1,3.3%,6,20.0%,22,73.3%,GilbGa01
59,Sean Mannion,MIN,29,QB,1,1,22,36,189,1,2,0,1,2.9%,7,20.6%,24,70.6%,MannSe00
60,Brandon Allen,CIN,29,QB,6,1,17,34,149,0,0,1,2,6.1%,9,27.3%,19,57.6%,AlleBr00
61,Nick Mullens,CLE,26,QB,1,1,20,30,147,0,0,1,2,6.9%,2,6.9%,22,75.9%,MullNi00
62,Ian Book,NOR,23,QB,1,1,12,20,135,0,2,0,2,11.1%,3,16.7%,15,83.3%,BookIa00
