"K","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","118","Greg Zuerlein","NYJ","4","1","1","1","1","2","1","","1.0"
"2","124","Justin Tucker","BAL","8","2","2","2","2","1","2","","2.0"
"3","138","Harrison Butker","KC","12","4","3","3","3","3","3","","3.3"
"4","143","Stephen Gostkowski ","","","5","4","5","4","4","4","","4.3"
"5","171","Wil Lutz","NO","9","3","5","4","5","5","","","4.7"
"6","160","Ka'imi Fairbairn","HOU","10","6","6","6","6","6","5","","6.2"
"7","167","Robbie Gould","SF","4","7","7","7","14","8","6","","7.2"
"8","178","Jake Elliott","PHI","10","10","19","10","10","11","7","","9.8"
"9","203","Mason Crosby","GB","11","12","8","13","9","9","","","10.7"
"10","181","Michael Badgley","DET","5","9","15","14","7","13","8","","10.8"
"11","206","Matt Prater","ARI","12","13","11","9","13","17","","","13.0"
"12","214","Adam Vinatieri ","","","14","9","12","11","19","","","13.3"
"13","218","Brett Maher","DAL","8","11","16","15","15","12","","","13.8"
"14","216","Matt Bryant","","","8","13","8","26","15","","","16.2"
"15","217","Jason Myers","SEA","11","26","14","11","17","7","","","16.3"
"16","228","Chris Boswell","PIT","7","24","12","22","16","16","","","18.5"
"17","257","Aldrick Rosas","","","17","18","17","18","22","","","18.4"
"18","296","Brandon McManus","DEN","10","15","10","18","23","18","","","18.6"
"19","304","Stephen Hauschka","","","22","","21","28","10","","","20.6"
"20","234","Giorgio Tavecchio","","","56","21","16","12","","","","25.2"
"21","226","Austin Seibert","","","53","","","8","20","","","23.8"
"22","268","Dan Bailey","","","52","20","20","19","14","","","25.6"
"23","275","Ryan Succop","TB","7 ","57","","19","22","21","","","27.8"
"24","295","Eddy Pineiro","CAR","7","18","","","20","","","","19.0"
"25","315","Josh Lambo","","","30","","23","29","","","","26.8"
"26","326","Dustin Hopkins","LAC","12","16","","","27","","","","21.5"
"27","319","Joey Slye","WAS","10","21","","","32","24","","","25.7"
"28","270","Matt Gay","LAR","9","55","","","21","23","","","33.0"
"29","375","Jason Sanders","MIA","5","27","","","25","","","","26.0"
"30","","Nick Novak","","","20","","","","","","","20.0"
"31","","Taylor Bertolet","LAC","12","23","","","","","","","23.0"
"32","327","Randy Bullock","TEN","11","51","","","24","","","","37.5"
"33","","Cody Parkey","","","25","","","","","","","25.0"
"34","","Younghoe Koo","ATL","9","28","","","","","","","28.0"
"35","","Zane Gonzalez","CAR","7","29","","","","","","","29.0"
"36","305","Daniel Carlson","LV","","54","","","30","","","","42.0"
"37","","Mike Nugent","","","31","","","","","","","31.0"
"38","380","Greg Joseph","MIN","12","39","","","31","","","","35.0"
"39","","Kaare Vedvik","","","33","","","","","","","33.0"
"40","","Blair Walsh","","","34","","","","","","","34.0"
"41","","Nick Folk","NE","10","35","","","","","","","35.0"
"42","","Connor Barth","","","36","","","","","","","36.0"
"43","","Sam Ficken","DET","5","37","","","","","","","37.0"
"44","","Roberto Aguayo","","","40","","","","","","","40.0"
"45","","Nick Rose","","","41","","","","","","","41.0"
"46","","Kai Forbath","LAR","9","42","","","","","","","42.0"
"47","","Travis Coons","","","43","","","","","","","43.0"
"48","","Patrick Murray","","","44","","","","","","","44.0"
"49","","Caleb Sturgis","","","45","","","","","","","45.0"
"50","","Matt McCrane","","","46","","","","","","","46.0"
"51","","Cairo Santos","CHI","6","47","","","","","","","47.0"
"52","","Andrew Franks","","","48","","","","","","","48.0"
"53","","Chandler Catanzaro","","","49","","","","","","","49.0"
"54","","Chris Blewitt","","","50","","","","","","","50.0"
""
""
