"RB","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","3","Todd Gurley II","","","","1","","1","","1.3"
"2","5","David Johnson","NO","5","","2","","2","","1.8"
"3","6","Adrian Peterson","","","","3","","3","","3.2"
"4","7","Ezekiel Elliott","DAL","7","","5","","4","","3.7"
"5","11","Le'Veon Bell","","","","4","","6","","5.7"
"6","12","Lamar Miller","","","","6","","5","","5.8"
"7","13","Devonta Freeman","","","","7","","8","","6.7"
"8","20","Eddie Lacy","","","","9","","7","","9.8"
"9","22","Jamaal Charles","","","","8","","12","","10.0"
"10","21","Mark Ingram II","NO","5","","11","","10","","10.2"
"11","23","LeSean McCoy","","","","12","","9","","10.5"
"12","24","Doug Martin","","","","10","","11","","10.5"
"13","31","C.J. Anderson","","","","14","","13","","13.5"
"14","36","Thomas Rawls","","","","13","","15","","15.7"
"15","35","Carlos Hyde","","","","17","","18","","15.8"
"16","38","Matt Forte","","","","15","","19","","16.3"
"17","39","Latavius Murray","DEN","11","","16","","14","","16.7"
"18","44","DeMarco Murray","","","","18","","17","","18.0"
"19","48","Jonathan Stewart","","","","21","","22","","19.5"
"20","51","Jeremy Hill","","","","19","","16","","19.5"
"21","61","Jeremy Langford","","","","20","","20","","21.7"
"22","57","Ryan Mathews","","","","22","","23","","22.3"
"23","60","Melvin Gordon III","KC","5","","23","","21","","22.7"
"24","67","Arian Foster","","","","24","","24","","25.8"
"25","66","Matt Jones","","","","25","","28","","26.0"
"26","68","Frank Gore","","","","26","","29","","27.3"
"27","73","Giovani Bernard","TB","6","","30","","30","","28.7"
"28","78","Ameer Abdullah","LV","","","27","","32","","30.8"
"29","79","Danny Woodhead","","","","34","","36","","31.3"
"30","82","Duke Johnson Jr.","BUF","10","","29","","34","","31.3"
"31","86","Rashad Jennings","","","","28","","26","","31.7"
"32","87","DeAngelo Williams","","","","32","","27","","32.2"
"33","84","Chris Ivory","","","","31","","31","","32.2"
"34","104","Jay Ajayi","","","","36","","44","","35.0"
"35","95","Derrick Henry","TEN","13","","33","","25","","35.2"
"36","102","LeGarrette Blount","","","","37","","33","","36.5"
"37","103","T.J. Yeldon","","","","35","","35","","36.7"
"38","113","Isaiah Crowell","","","","38","","39","","40.0"
"39","123","Justin Forsett","","","","40","","48","","42.0"
"40","118","Charles Sims","","","","39","","40","","42.5"
"41","125","Dion Lewis","","","","52","","52","","43.2"
"42","127","Spencer Ware","","","","44","","38","","43.2"
"43","130","Theo Riddick","","","","42","","54","","43.8"
"44","129","Bilal Powell","","","","47","","47","","44.5"
"45","140","Christine Michael","","","","49","","37","","46.2"
"46","138","Tevin Coleman","SF","8","","41","","50","","46.7"
"47","144","Terrance West","","","","50","","45","","48.0"
"48","154","Alfred Morris","","","","45","","41","","49.2"
"49","153","Darren Sproles","","","","46","","51","","49.2"
"50","151","James White","","","","57","","43","","51.0"
"51","160","James Starks","","","","48","","55","","51.7"
"52","159","Devontae Booker","","","","43","","46","","55.0"
"53","175","Jerick McKinnon","KC","5","","58","","49","","56.2"
"54","188","Kenneth Dixon","","","","75","","56","","58.8"
"55","180","DeAndre Washington","","","","53","","42","","59.5"
"56","187","C.J. Prosise","","","","55","","","","52.8"
"57","195","Jordan Howard","","","","60","","","","53.2"
"58","189","Chris Johnson","","","","51","","53","","54.2"
"59","193","Marshawn Lynch","","","","","","","","43.0"
"60","194","Darren McFadden","","","","68","","","","57.8"
"61","200","Paul Perkins","","","","62","","","","58.0"
"62","206","Karlos Williams","","","","69","","","","51.5"
"63","218","Shane Vereen","","","","71","","","","63.0"
"64","211","Charcandrick West","","","","59","","57","","64.2"
"65","216","Javorius Allen","","","","54","","","","56.3"
"66","224","Tim Hightower","","","","66","","","","65.4"
"67","260","Cameron Artis-Payne","","","","67","","","","73.2"
"68","262","C.J. Spiller","","","","73","","","","68.5"
"69","253","Chris Thompson","","","","70","","","","69.0"
"70","229","Robert Kelley","","","","56","","","","40.0"
"71","249","Ronnie Hillman","","","","64","","","","61.0"
