"WR","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","5","DeAndre Hopkins","ARI","12","1","1","","1","","1.0"
"2","8","Davante Adams","LV","","2","2","","2","","2.0"
"3","14","Julio Jones","TB","7","4","4","","3","","3.5"
"4","13","Michael Thomas","NO","9","3","3","","4","","3.5"
"5","16","Tyreek Hill","MIA","5","5","6","","5","","5.5"
"6","18","Odell Beckham Jr.","","","6","5","","6","","6.0"
"7","17","JuJu Smith-Schuster","KC","12","7","7","","7","","6.5"
"8","22","Mike Evans","TB","7 ","9","8","","8","","8.3"
"9","23","Antonio Brown","","","8","9","","9","","8.8"
"10","24","Adam Thielen","MIN","12","10","11","","10","","10.3"
"11","26","Keenan Allen","LAC","12","11","10","","11","","10.8"
"12","35","Stefon Diggs","BUF","6","12","14","","13","","12.8"
"13","34","Amari Cooper","CLE","7","13","13","","12","","12.8"
"14","40","Brandin Cooks","HOU","10","14","15","","14","","14.3"
"15","42","Robert Woods","TEN","11","18","16","","16","","16.5"
"16","43","Julian Edelman","","","16","18","","18","","16.8"
"17","46","Tyler Lockett","SEA","11","15","21","","15","","17.0"
"18","45","T.Y. Hilton","DAL","8","17","12","","21","","17.8"
"19","49","Kenny Golladay","NYG","11","20","17","","22","","19.3"
"20","50","Chris Godwin","TB","7","21","20","","17","","19.5"
"21","51","Cooper Kupp","LAR","9","22","22","","19","","20.5"
"22","53","Calvin Ridley","JAC","10 ","19","24","","24","","22.3"
"23","57","Tyler Boyd","CIN","9","24","23","","26","","24.0"
"24","60","A.J. Green","ARI","12 ","29","19","","25","","24.5"
"25","59","Mike Williams","LAC","12","23","25","","23","","24.5"
"26","63","Alshon Jeffery ","","","25","26","","29","","26.0"
"27","65","Josh Gordon","","","31","30","","20","","26.8"
"28","67","DJ Moore","CAR","7","27","27","","28","","27.8"
"29","69","Jarvis Landry","NO","9","26","28","","32","","29.0"
"30","77","Allen Robinson II","LAR","9","28","29","","30","","30.5"
"31","78","Robbie Anderson","ARI","12","30","32","","31","","31.3"
"32","80","Dede Westbrook","","","36","36","","27","","31.8"
"33","81","William Fuller V","","","33","31","","33","","32.8"
"34","90","Christian Kirk","JAC","10","42","33","","36","","36.0"
"35","86","Sammy Watkins","BAL","8","35","35","","37","","36.0"
"36","88","Emmanuel Sanders","","","37","43","","34","","36.3"
"37","92","Corey Davis","NYJ","4","32","34","","42","","37.3"
"38","91","Sterling Shepard","NYG","11","34","42","","38","","37.5"
"39","93","Marvin Jones Jr.","JAC","10 ","38","37","","39","","38.0"
"40","98","Curtis Samuel","WAS","10","43","40","","35","","39.3"
"41","104","Larry Fitzgerald","","","39","38","","45","","40.5"
"42","109","Dante Pettis","CHI","6","40","41","","47","","42.8"
"43","113","Marquez Valdes-Scantling","KC","12","44","45","","41","","43.0"
"44","115","Courtland Sutton","DEN","10","41","39","","48","","44.0"
"45","119","James Washington","","","50","44","","40","","44.5"
"46","120","Geronimo Allison","","","45","48","","44","","46.5"
"47","127","DeSean Jackson","BAL","8 ","46","52","","46","","47.8"
"48","132","Michael Gallup","DAL","8","48","56","","43","","49.5"
"49","135","Donte Moncrief","","","49","58","","50","","50.5"
"50","139","Tyrell Williams","","","53","46","","51","","50.8"
"51","146","Golden Tate","","","56","49","","53","","53.0"
"52","145","DK Metcalf","SEA","11","52","55","","49","","53.0"
"53","144","Anthony Miller","PIT","7","55","50","","52","","53.0"
"54","142","John Brown","BUF","6","47","60","","54","","53.3"
"55","158","Keke Coutee","IND","6","59","53","","55","","56.3"
"56","165","Jamison Crowder","BUF","6","61","63","","57","","59.5"
"57","170","Deebo Samuel","SF","4","66","61","","59","","62.8"
"58","173","N'Keal Harry","CHI","6","54","47","","","","53.3"
"59","175","Marquise Goodwin","SEA","11","70","77","","56","","65.8"
"60","180","Mohamed Sanu Sr.","","","57","71","","","","59.3"
"61","184","Marquise Brown","ARI","12","62","57","","","","60.3"
"62","185","Mecole Hardman","KC","12","67","54","","","","60.7"
"63","187","Kenny Stills","","","60","66","","","","64.0"
"64","197","Zay Jones","JAC","10","81","65","","","","69.7"
"65","200","Devin Funchess ","","","65","51","","","","58.0"
"66","204","DaeSean Hamilton","","","80","68","","","","70.7"
"67","202","Nelson Agholor","NE","10","73","75","","","","71.7"
"68","205","Albert Wilson","LV","","74","74","","","","72.0"
"69","207","DeVante Parker","NE","10","51","72","","","","61.5"
