"WR","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"70","208","Tre'Quan Smith","NO","9","64","59","","","","61.5"
"71","201","Marqise Lee","","","87","85","","","","72.7"
"72","213","Miles Boykin","PIT","7","82","89","","58","","76.3"
"73","221","Adam Humphries","","","68","70","","","","69.0"
"74","222","J.J. Arcega-Whiteside","","","69","69","","","","69.0"
"75","227","Parris Campbell","IND","6 ","86","62","","","","74.0"
"76","240","Chris Moore","HOU","10","58","137","","","","97.5"
"77","230","A.J. Brown","PHI","10","89","64","","","","76.5"
"78","232","Randall Cobb","GB","11","75","78","","","","76.5"
"79","246","Ted Ginn Jr.","","","63","108","","","","85.5"
"80","236","Demaryius Thomas","","","71","88","","","","79.5"
"81","242","Antonio Callaway","DAL","8 ","","67","","","","67.0"
"82","238","Andy Isabella","BAL","8","83","82","","","","82.5"
"83","256","Rashard Higgins","CAR","7","72","102","","","","87.0"
"84","248","Kelvin Harmon","","","","73","","","","73.0"
"85","253","Diontae Johnson","PIT","7","","76","","","","76.0"
"86","265","Paul Richardson Jr. ","","","76","104","","","","90.0"
"87","249","Willie Snead IV","SF","4","77","94","","","","85.5"
"88","247","Quincy Enunwa ","","","85","86","","","","85.5"
"89","271","Danny Amendola","","","78","105","","","","91.5"
"90","258","Robert Foster","","","","79","","","","79.0"
"91","279","Jake Kumerow","BUF","6","79","129","","","","104.0"
"92","259","Jakobi Meyers","NE","10","","80","","","","80.0"
"93","260","Preston Williams","CAR","7 ","","81","","","","81.0"
"94","261","Cole Beasley","BUF","6","84","91","","","","87.5"
"95","264","Trey Quinn ","","","93","83","","","","88.0"
"96","269","Jalen Hurd","","","","84","","","","84.0"
"97","274","Riley Ridley","","","","87","","","","87.0"
"98","284","Hunter Renfrow","LV","","88","101","","","","94.5"
"99","286","Demarcus Robinson","BAL","8","","90","","","","90.0"
"100","308","Phillip Dorsett II","HOU","10","90","119","","","","104.5"
"101","293","John Ross","","","91","100","","","","95.5"
"102","291","DJ Chark Jr.","DET","5","","92","","","","92.0"
"103","287","Josh Doctson","","","92","97","","","","94.5"
"104","292","Josh Reynolds","DET","5","","93","","","","93.0"
"105","300","David Moore","","","","95","","","","95.0"
"106","302","KeeSean Johnson","BUF","6","","96","","","","96.0"
"107","311","Travis Benjamin","","","","98","","","","98.0"
"108","313","Taylor Gabriel","","","","99","","","","99.0"
"109","322","Taywan Taylor","","","","103","","","","103.0"
"110","330","Chris Conley","TEN","11","","107","","","","107.0"
"111","333","Chris Hogan","","","","109","","","","109.0"
"112","334","Laquon Treadwell","SEA","11","","110","","","","110.0"
"113","336","Kendrick Bourne","NE","10","","111","","","","111.0"
"114","339","Deon Cain","","","","112","","","","112.0"
"115","343","Breshad Perriman","TB","7","","113","","","","113.0"
"116","344","Cordarrelle Patterson","ATL","9","","114","","","","114.0"
"117","346","Michael Crabtree","","","","115","","","","115.0"
"118","349","Chester Rogers ","","","","116","","","","116.0"
"119","351","Jaron Brown","","","","117","","","","117.0"
"120","354","Jordan Matthews","SF","4","","118","","","","118.0"
"121","355","Seth Roberts","","","","120","","","","120.0"
"122","357","Jarius Wright","","","","121","","","","121.0"
"123","358","Tajae Sharpe","","","","122","","","","122.0"
"124","360","Isaiah McKenzie","BUF","6","","123","","","","123.0"
"125","361","Tim Patrick","DEN","10","","124","","","","124.0"
"126","362","Keelan Cole Sr.","LV","","","125","","","","125.0"
"127","368","Zach Pascal","PHI","10","","126","","","","126.0"
"128","370","Aldrick Robinson","","","","127","","","","127.0"
"129","374","Terry McLaurin","WAS","10","","128","","","","128.0"
"130","378","Felton Davis III","","","","130","","","","130.0"
"131","386","Trent Taylor","CIN","9 ","","131","","","","131.0"
"132","390","Quadree Henderson","","","","132","","","","132.0"
"133","391","Gary Jennings Jr. ","","","","133","","","","133.0"
"134","393","Jakeem Grant Sr.","CLE","7","","134","","","","134.0"
"135","396","Dontrelle Inman","","","","135","","","","135.0"
"136","397","Ryan Switzer","","","","136","","","","136.0"
""
""
