"WR","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","1","Antonio Brown","","","","1","","1","","1.0"
"2","2","Odell Beckham Jr.","","","","2","","2","","2.0"
"3","4","Julio Jones","TB","6","","3","","3","","3.0"
"4","8","DeAndre Hopkins","ARI","9","","4","","4","","4.3"
"5","10","A.J. Green","ARI","9","","5","","5","","5.0"
"6","14","Dez Bryant","","","","6","","10","","6.5"
"7","15","Allen Robinson II","LAR","8","","7","","6","","6.8"
"8","16","Jordy Nelson","","","","8","","9","","7.8"
"9","18","Brandon Marshall","","","","9","","8","","9.0"
"10","19","Mike Evans","TB","6","","10","","7","","10.2"
"11","26","Keenan Allen","LAC","","","13","","11","","11.3"
"12","27","Amari Cooper","CLE","13","","11","","12","","11.8"
"13","28","Alshon Jeffery","","","","12","","13","","12.5"
"14","29","Brandin Cooks","HOU","9","","14","","15","","14.3"
"15","30","Sammy Watkins","BAL","8","","15","","14","","14.7"
"16","33","T.Y. Hilton","DAL","7","","16","","17","","16.2"
"17","32","Demaryius Thomas","","","","17","","16","","16.5"
"18","45","Julian Edelman","","","","21","","26","","20.0"
"19","41","Randall Cobb","GB","4","","18","","18","","20.2"
"20","40","Jarvis Landry","NO","5","","20","","20","","20.2"
"21","46","Doug Baldwin","","","","22","","25","","21.0"
"22","50","Kelvin Benjamin","","","","19","","19","","22.7"
"23","49","Eric Decker","","","","25","","23","","22.8"
"24","52","Jeremy Maclin","","","","24","","22","","23.3"
"25","54","Golden Tate","","","","23","","28","","24.8"
"26","55","Donte Moncrief","","","","27","","21","","26.2"
"27","58","Michael Floyd","","","","26","","27","","27.2"
"28","64","Larry Fitzgerald","","","","29","","31","","27.5"
"29","65","Emmanuel Sanders","","","","30","","34","","29.3"
"30","71","John Brown","BUF","10","","32","","33","","32.3"
"31","72","Jordan Matthews","SF","8","","31","","36","","32.3"
"32","74","Allen Hurns","","","","28","","30","","32.5"
"33","75","DeSean Jackson","BAL","8","","34","","35","","33.3"
"34","85","Tyler Lockett","SEA","5","","33","","32","","34.5"
"35","81","Michael Crabtree","","","","37","","38","","34.8"
"36","89","Marvin Jones Jr.","JAC","5","","35","","29","","35.8"
"37","91","Josh Gordon ","","","","39","","24","","37.0"
"38","98","Sterling Shepard","NYG","8","","40","","37","","39.0"
"39","101","DeVante Parker","NE","9","","36","","51","","39.5"
"40","106","Kevin White","NO","5","","38","","39","","40.3"
"41","105","Stefon Diggs","BUF","10","","41","","41","","41.3"
"42","112","Tavon Austin","","","","46","","44","","43.3"
"43","109","Willie Snead IV","SF","8","","43","","42","","43.3"
"44","117","Corey Coleman","","","","45","","52","","45.7"
"45","119","Torrey Smith","","","","48","","45","","46.0"
"46","132","Travis Benjamin","","","","44","","43","","47.2"
"47","131","Vincent Jackson","","","","47","","47","","48.3"
"48","133","Markus Wheaton","","","","42","","48","","49.8"
"49","143","Devin Funchess","","","","50","","40","","52.5"
"50","146","Michael Thomas","NO","5","","51","","53","","53.5"
"51","142","Kamar Aiken","","","","53","","49","","54.3"
"52","152","Ted Ginn Jr.","","","","58","","","","55.3"
"53","155","William Fuller V","","","","54","","50","","55.8"
"54","157","Steve Smith","","","","69","","56","","56.7"
"55","163","Victor Cruz","","","","62","","63","","57.8"
"56","164","Tajae Sharpe","","","","52","","46","","58.7"
"57","167","Mohamed Sanu Sr.","","","","55","","55","","58.8"
"58","166","Mike Wallace","","","","61","","60","","59.7"
"59","181","Pierre Garcon","","","","66","","","","63.0"
"60","179","Tyler Boyd","CIN","9","","60","","54","","63.7"
"61","183","Terrelle Pryor Sr.","","","","63","","61","","64.0"
"62","198","Chris Hogan","","","","64","","57","","65.5"
"63","208","Rishard Matthews","","","","67","","59","","65.5"
"64","207","Phillip Dorsett II","HOU","9","","57","","58","","65.7"
"65","191","Davante Adams","LV","","","82","","","","59.8"
"66","196","Laquon Treadwell","SEA","5","","49","","","","62.2"
"67","201","Josh Doctson","","","","73","","","","64.4"
"68","199","Dorial Green-Beckham","","","","56","","","","65.2"
"69","213","Anquan Boldin","","","","72","","","","68.2"
"70","227","Sammie Coates","","","","59","","","","71.2"
"71","222","Terrance Williams","","","","68","","","","71.6"
"72","212","Kenny Stills","","","","85","","62","","72.0"
"73","217","Danny Amendola","","","","83","","","","62.0"
"74","232","Martavis Bryant","","","","111","","","","70.3"
"75","238","Jermaine Kearse","","","","70","","","","70.3"
"76","245","Kenny Britt","","","","91","","","","74.3"
"77","252","James Jones","","","","78","","","","75.3"
"78","266","Cole Beasley","BUF","10","","92","","","","78.5"
"79","282","Brandon LaFell","","","","87","","","","81.8"
"80","251","Nelson Agholor","NE","9","","74","","","","68.7"
"81","292","Kendall Wright","","","","76","","","","82.0"
"82","244","Breshad Perriman","TB","6","","75","","","","69.0"
"83","257","Jamison Crowder","BUF","10","","88","","","","72.7"
"84","283","J.J. Nelson","","","","101","","","","86.3"
"85","277","Robert Woods","TEN","13","","84","","","","86.7"
"86","268","Tyreek Hill","MIA","8","","112","","","","71.5"
"87","279","Braxton Miller","","","","65","","","","73.0"
"88","287","Marqise Lee","","","","79","","","","73.5"
"89","284","Eli Rogers","","","","71","","","","74.0"
"90","294","Malcolm Mitchell","","","","89","","","","76.5"
"91","290","Adam Thielen","MIN","6","","","","","","78.0"
"92","269","Corey Davis","NYJ","11","","","","","","35.0"
"93","281","Cameron Meredith","","","","","","","","42.0"
"94","288","Mike Williams","LAC","","","","","","","48.0"
"95","325","Jeff Janis","","","","86","","","","85.0"
"96","293","Tyrell Williams","","","","","","","","50.0"
"97","334","Steve Johnson","","","","96","","","","86.0"
"98","342","Jaelen Strong","","","","81","","","","86.0"
"99","345","Rueben Randle","","","","90","","","","86.5"
"100","304","Zay Jones","JAC","5","","","","","","58.0"
"101","306","John Ross","","","","","","","","60.0"
"102","362","Darrius Heyward-Bey","","","","97","","","","91.0"
"103","379","Nate Washington","","","","94","","","","93.0"
"104","369","Dontrelle Inman","","","","99","","","","102.7"
"105","320","Quincy Enunwa","","","","","","","","66.0"
"106","361","Andre Johnson","","","","93","","","","94.5"
"107","330","Robbie Anderson","ARI","9","","","","","","69.0"
"108","332","Taylor Gabriel","","","","","","","","70.0"
"109","372","Paul Richardson Jr.","","","","","","","","97.0"
"110","340","Quinton Patton","","","","77","","","","97.5"
"111","359","Jared Abbrederis","","","","114","","","","98.0"
"112","347","Cooper Kupp","LAR","8","","","","","","75.0"
"113","349","Curtis Samuel","WAS","9","","","","","","76.0"
"114","346","Pharoh Cooper","ARI","9","","80","","","","80.0"
"115","391","Cordarrelle Patterson","ATL","11","","115","","","","101.5"
"116","360","Josh Reynolds","DET","10","","","","","","85.0"
"117","389","Dwayne Harris","","","","100","","","","104.0"
"118","364","JuJu Smith-Schuster","KC","5","","","","","","87.0"
"119","258","Ty Montgomery","NE","9","","","","","","89.0"
"120","381","Brandon Coleman","","","","95","","","","105.5"
"121","376","Jeremy Kerley","","","","","","","","90.0"
"122","402","De'Anthony Thomas","","","","","","","","90.0"
"123","409","Eddie Royal","","","","","","","","93.0"
"124","390","ArDarius Stewart","","","","","","","","97.0"
"125","386","Seth Roberts","","","","98","","","","109.5"
