"QB","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","17","Cam Newton","","","1","1","","1","","1","","1.0"
"2","25","Aaron Rodgers","GB","4","2","2","","2","","2","","2.0"
"3","34","Russell Wilson","DEN","11","3","3","","3","","3","","3.0"
"4","43","Andrew Luck","","","4","4","","4","","4","","4.2"
"5","47","Drew Brees","","","5","5","","5","","5","","4.8"
"6","53","Ben Roethlisberger","","","6","6","","6","","6","","6.2"
"7","62","Carson Palmer","","","8","7","","7","","8","","7.3"
"8","63","Tom Brady","TB","6","7","9","","10","","7","","7.7"
"9","69","Eli Manning","","","9","8","","9","","10","","9.2"
"10","77","Blake Bortles","","","10","10","","8","","9","","10.0"
"11","83","Philip Rivers","","","11","11","","11","","11","","10.8"
"12","97","Derek Carr","LV","","12","19","","12","","12","","12.0"
"13","108","Kirk Cousins","MIN","6","13","13","","14","","14","","14.2"
"14","111","Jameis Winston","NO","5","19","20","","13","","15","","15.0"
"15","114","Tyrod Taylor","NYG","8","14","14","","15","","13","","15.3"
"16","121","Andy Dalton","NO","5","18","15","","23","","17","","16.5"
"17","122","Matthew Stafford","LAR","8","15","27","","16","","16","","17.0"
"18","124","Marcus Mariota","ATL","11","16","24","","18","","18","","17.2"
"19","126","Matt Ryan","IND","10","20","28","","17","","19","","18.5"
"20","139","Dak Prescott","DAL","7","17","16","","29","","20","","19.8"
"21","150","Tony Romo","","","","12","","26","","","","17.0"
"22","161","Brock Osweiler","","","21","23","","20","","24","","23.5"
"23","165","Ryan Tannehill","TEN","13","24","30","","19","","21","","23.8"
"24","177","Ryan Fitzpatrick","","","23","29","","21","","22","","23.8"
"25","178","Alex Smith","","","22","18","","28","","","","24.8"
"26","204","Joe Flacco","NYJ","11","","22","","27","","","","24.6"
"27","173","Robert Griffin III","","","25","25","","24","","23","","25.0"
"28","197","Jay Cutler","","","","26","","22","","","","25.8"
"29","228","Teddy Bridgewater","MIA","8","","17","","38","","","","27.0"
"30","225","Sam Bradford","","","","","","30","","","","28.5"
"31","231","Jared Goff","DET","10","","21","","34","","","","29.0"
"32","264","Carson Wentz","WAS","9","","","","32","","","","30.0"
"33","319","Trevor Siemian","CHI","9","","","","31","","","","31.7"
"34","291","Colin Kaepernick","","","","","","33","","","","32.0"
"35","273","Jimmy Garoppolo","SF","8","","","","25","","","","28.5"
"36","302","Paxton Lynch","","","","","","35","","","","34.0"
"37","351","Mark Sanchez","","","","","","39","","","","36.5"
"38","378","Blaine Gabbert","TB","6","","","","36","","","","36.5"
"39","337","Deshaun Watson","CLE","13","","","","","","","","23.0"
"40","401","Brian Hoyer","NE","9","","","","63","","","","45.7"
"41","368","Mike Glennon","MIA","8","","","","56","","","","42.0"
"42","415","Case Keenum","BUF","10","","","","40","","","","40.0"
"43","424","Cardale Jones","","","","","","44","","","","41.0"
"44","408","Mitch Trubisky","PIT","8","","","","","","","","32.0"
"45","410","Cody Kessler","","","","","","","","","","33.0"
"46","418","Josh McCown","","","","","","41","","","","45.5"
"47","","Brandon Allen","CIN","9","","","","","","","","41.0"
"48","422","Brett Hundley","BAL","8","","","","42","","","","42.0"
"49","450","Landry Jones","","","","","","58","","","","50.0"
"50","423","Trevone Boykin","","","","","","43","","","","43.0"
"51","","Keith Wenning","","","","","","","","","","44.0"
"52","425","Dan Orlovsky","","","","","","45","","","","45.0"
"53","","Matt Simms","","","","","","","","","","45.0"
"54","433","Derek Anderson","","","","","","46","","","","46.0"
"55","442","Geno Smith","SEA","5","","","","51","","","","48.5"
"56","435","AJ McCarron","","","","","","48","","","","48.5"
"57","","McLeod Bethel-Thompson","","","","","","","","","","47.0"
"58","434","Ryan Nassib","","","","","","47","","","","47.0"
"59","","Matt Johnson","","","","","","","","","","48.0"
"60","438","Matt McGloin","","","","","","49","","","","49.0"
"61","439","Matt Schaub","","","","","","50","","","","50.0"
"62","443","Chad Henne","KC","5","","","","52","","","","52.0"
"63","445","Colt McCoy","ARI","9","","","","53","","","","53.0"
"64","446","Luke McCown","","","","","","54","","","","54.0"
"65","447","Matt Cassel","","","","","","55","","","","55.0"
"66","449","Scott Tolzien","","","","","","57","","","","57.0"
"67","451","Kellen Clemens","","","","","","59","","","","59.0"
"68","452","Drew Stanton","","","","","","60","","","","60.0"
"69","453","David Carr","","","","","","61","","","","61.0"
"70","454","Tom Savage","","","","","","62","","","","62.0"
"71","455","Chad Pennington","","","","","","64","","","","64.0"
"72","459","JaMarcus Russell","","","","","","65","","","","65.0"
"73","463","Johnny Manziel","","","","","","66","","","","66.0"
"74","464","Chase Daniel","LAC","","","","","67","","","","67.0"
"75","470","Charlie Batch","","","","","","68","","","","68.0"
""
""
