"QB","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","16","Aaron Rodgers","GB","8","1","","","1","","1","","1.0"
"2","21","Tom Brady","TB","1","2","","","2","","2","","2.0"
"3","31","Drew Brees","","","3","","","3","","3","","3.0"
"4","40","Matt Ryan","IND","11","4","","","4","","4","","4.0"
"5","54","Russell Wilson","DEN","5","5","","","6","","5","","5.5"
"6","69","Cam Newton","","","6","","","10","","9","","8.3"
"7","77","Kirk Cousins","MIN","9","8","","","7","","10","","8.3"
"8","75","Derek Carr","LV","","9","","","8","","6","","8.5"
"9","71","Jameis Winston","NO","5","10","","","5","","8","","8.7"
"10","67","Marcus Mariota","ATL","5","11","","","9","","7","","8.7"
"11","84","Andrew Luck","","","14","","","11","","11","","10.8"
"12","92","Dak Prescott","DAL","6","7","","","15","","14","","11.3"
"13","94","Ben Roethlisberger","","","13","","","13","","12","","12.0"
"14","104","Matthew Stafford","LAR","8","12","","","12","","15","","13.7"
"15","110","Philip Rivers","","","15","","","14","","13","","14.3"
"16","132","Eli Manning","","","16","","","17","","16","","16.7"
"17","145","Andy Dalton","NO","5","18","","","20","","17","","17.8"
"18","143","Carson Wentz","WAS","5","17","","","16","","18","","17.8"
"19","149","Tyrod Taylor","NYG","8","21","","","19","","20","","18.7"
"20","150","Carson Palmer","","","19","","","18","","19","","19.0"
"21","209","Joe Flacco","NYJ","11","20","","","22","","","","22.0"
"22","189","Jay Cutler","","","","","","25","","21","","22.8"
"23","187","Deshaun Watson","CLE","9","","","","21","","22","","23.2"
"24","194","Sam Bradford","","","","","","24","","23","","23.4"
"25","215","Alex Smith","","","","","","30","","","","24.3"
"26","252","Mitch Trubisky","PIT","9","","","","23","","","","23.0"
"27","238","Blake Bortles","","","","","","35","","","","29.0"
"28","298","Josh McCown","","","","","","26","","","","26.0"
"29","284","Brian Hoyer","NE","9","","","","29","","","","27.5"
"30","282","Jared Goff","DET","7","","","","27","","","","27.0"
"31","250","Trevor Siemian","CHI","9","","","","33","","","","30.0"
"32","260","DeShone Kizer","","","","","","40","","","","32.0"
"33","306","Jimmy Garoppolo","SF","11","","","","28","","","","28.0"
"34","305","Patrick Mahomes II","KC","10","","","","31","","","","31.0"
"35","345","Mike Glennon","MIA","1","","","","32","","","","32.0"
"36","348","Tom Savage","","","","","","34","","","","34.0"
"37","357","Matt Barkley","BUF","6","","","","36","","","","36.0"
"38","358","Cody Kessler","","","","","","37","","","","37.0"
"39","355","Brock Osweiler","","","","","","38","","","","38.0"
"40","367","Paxton Lynch","","","","","","39","","","","39.0"
"41","315","Ryan Tannehill","TEN","8","","","","41","","","","41.0"
"42","330","Colin Kaepernick","","","","","","42","","","","42.0"
"43","375","Matt Moore","","","","","","43","","","","43.0"
"44","327","Teddy Bridgewater","MIA","1","","","","44","","","","44.0"
"45","386","Landry Jones","","","","","","45","","","","45.0"
"46","390","Nick Foles","IND","11","","","","46","","","","46.0"
"47","394","Matt Schaub","","","","","","47","","","","47.0"
""
""
