"TE","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","21","Travis Kelce","KC","10","1","1","","1","","1.0"
"2","24","George Kittle","SF","11","2","2","","2","","2.0"
"3","39","Mark Andrews","BAL","7","3","3","","3","","3.3"
"4","51","Zach Ertz","ARI","8","4","4","","4","","3.8"
"5","65","Darren Waller","LV","6","5","5","","5","","5.0"
"6","72","Rob Gronkowski","","","6","8","","6","","6.8"
"7","74","Evan Engram","JAC","8","8","7","","7","","7.0"
"8","87","Hunter Henry","NE","5","9","6","","8","","7.8"
"9","91","Jared Cook","","","7","9","","9","","9.0"
"10","97","Tyler Higbee","LAR","9","12","10","","10","","10.3"
"11","100","Austin Hooper","TEN","4","10","11","","12","","11.3"
"12","113","Hayden Hurst","CIN","9","11","16","","11","","12.0"
"13","119","Noah Fant","SEA","6","13","12","","13","","12.8"
"14","137","Mike Gesicki","MIA","7","16","13","","15","","14.8"
"15","134","T.J. Hockenson","MIN","7","15","15","","14","","15.0"
"16","158","Jonnu Smith","NE","5","19","17","","19","","17.3"
"17","157","Blake Jarwin ","","","14","20","","20","","18.0"
"18","166","Dallas Goedert","PHI","9","","14","","16","","16.7"
"19","167","Jack Doyle","","","18","18","","","","18.3"
"20","180","Chris Herndon IV","","","","22","","17","","18.7"
"21","176","Greg Olsen","","","17","23","","","","22.0"
"22","185","Eric Ebron","","","","19","","","","20.0"
"23","207",".J. Howard","HOU","8 O","","28","","18","","23.0"
"24","199","Ian Thomas","CAR","13","","21","","","","22.5"
"25","232","Kyle Rudolph","TB","13","","27","","","","24.5"
"26","227","Tyler Eifert","","","","24","","","","24.0"
"27","228","Irv Smith Jr.","MIN","7","","25","","","","25.0"
"28","267","David Njoku","CLE","9","","31","","","","28.0"
"29","231","Devin Asiasi","CIN","9","","26","","","","26.0"
"30","247","Dawson Knox","BUF","11","","29","","","","29.0"
"31","256","Cole Kmet","CHI","11","","30","","","","30.0"
"32","268","Will Dissly","SEA","6","","32","","","","32.0"
"33","269","Jace Sternberger","","","","33","","","","33.0"
"34","273","Jimmy Graham","","","","34","","","","34.0"
"35","282","Logan Thomas","WAS","8","","35","","","","35.0"
"36","283","Gerald Everett","LAC","6","","36","","","","36.0"
"37","294","Vance McDonald","","","","37","","","","37.0"
"38","308","Jacob Hollister","SEA","6","","38","","","","38.0"
"39","311","Cameron Brate","TB","13","","39","","","","39.0"
"40","324","Trey Burton","","","","40","","","","40.0"
"41","327","Dan Arnold","JAC","8","","41","","","","41.0"
"42","329","Adam Trautman","NO","6","","42","","","","42.0"
"43","346","Mo Alie-Cox","IND","7","","43","","","","43.0"
""
""
