"RB","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","1","Jonathan Taylor","IND","14 ","","","1","","1","1.0"
"2","2","Christian McCaffrey","SF","9","","","2","","3","2.5"
"3","3","Austin Ekeler","LAC","8","","","3","","4","3.5"
"4","4","Derrick Henry","TEN","6","","","6","","2","4.0"
"5","7","Najee Harris","PIT","9","","","4","","6","5.0"
"6","5","Dalvin Cook","MIN","7","","","5","","5","5.0"
"7","9","Joe Mixon","CIN","10","","","8","","7","7.5"
"8","12","D'Andre Swift","DET","6","","","7","","10","8.5"
"9","11","Alvin Kamara","NO","14","","","9","","9","9.0"
"10","14","Nick Chubb","CLE","9","","","12","","8","10.0"
"11","17","Saquon Barkley","NYG","9","","","10","","12","11.0"
"12","18","Javonte Williams","DEN","9 ","","","11","","13","12.0"
"13","19","Aaron Jones","GB","14","","","14","","11","12.5"
"14","24","Leonard Fournette","TB","11","","","13","","14","13.5"
"15","28","Ezekiel Elliott","DAL","9","","","16","","15","15.5"
"16","27","James Conner","ARI","13","","","15","","16","15.5"
"17","37","Cam Akers","LAR","7","","","19","","17","18.0"
"18","38","David Montgomery","CHI","14","","","18","","18","18.0"
"19","36","Travis Etienne Jr.","JAC","11","","","17","","20","18.5"
"20","44","Breece Hall","NYJ","10 ","","","23","","19","21.0"
"21","47","Elijah Mitchell","SF","9","","","21","","24","22.5"
"22","48","Josh Jacobs","LV","6","","","25","","21","23.0"
"23","50","J.K. Dobbins","BAL","10","","","24","","22","23.0"
"24","51","AJ Dillon","GB","14","","","22","","25","23.5"
"25","58","Antonio Gibson","WAS","14 ","","","27","","23","25.0"
"26","60","Dameon Pierce","HU","6 O","","","20","","33","26.5"
"27","66","Clyde Edwards-Helaire","KC","8","","","31","","26","28.5"
"28","71","Chase Edmonds","DEN","9","","","26","","32","29.0"
"29","80","Damien Harris","NE","10","","","36","","27","31.5"
"30","77","Rashaad Penny","SEA","11 ","","","28","","35","31.5"
"31","83","Miles Sanders","PHI","7","","","35","","28","31.5"
"32","85","Kareem Hunt","CLE","9","","","34","","29","31.5"
"33","84","Cordarrelle Patterson","ATL","14","","","33","","30","31.5"
"34","78","Devin Singletary","BUF","7","","","32","","31","31.5"
"35","79","Tony Pollard","DAL","9","","","30","","34","32.0"
