"TE","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","16","Travis Kelce","KC","8","","","1","","1","1.0"
"2","25","Mark Andrews","BAL","10","","","2","","2","2.0"
"3","31","Kyle Pitts","ATL","14 ","","","3","","3","3.0"
"4","40","George Kittle","SF","9","","","4","","4","4.0"
"5","49","Darren Waller","LV","6","","","5","","5","5.0"
"6","61","Dalton Schultz","DAL","9","","","6","","6","6.0"
"7","74","T.J. Hockenson","MIN","7","","","7","","7","7.0"
"8","81","Dallas Goedert","PHI","7","","","8","","8","8.0"
"9","101","Zach Ertz","ARI","13 ","","","9","","10","9.5"
"10","94","Dawson Knox","BUF","7","","","10","","9","9.5"
"11","109","Pat Freiermuth","PIT","9","","","11","","11","11.0"
"12","114","Cole Kmet","CHI","14","","","12","","12","12.0"
"13","126","Hunter Henry","NE","10","","","13","","14","13.5"
"14","137","Mike Gesicki","MIA","11","","","17","","13","15.0"
"15","152","Irv Smith Jr.","MIN","7","","","14","","18","16.0"
"16","165","Robert Tonyan","GB","14","","","15","","19","17.0"
"17","157","Albert Okwuegbunam","DEN","9","","","19","","15","17.0"
"18","158","David Njoku","CLE","9","","","18","","16","17.0"
"19","175","Tyler Higbee","LAR","7","","","21","","17","19.0"
"20","177","Noah Fant","SEA","11","","","16","","23","19.5"
"21","184","Gerald Everett","LAC","8","","","20","","20","20.0"
"22","200","Isaiah Likely","BAL","10","","","23","","21","22.0"
"23","219","Austin Hooper","TEN","6","","","26","","22","24.0"
"24","221","Evan Engram","JAC","11","","","22","","27","24.5"
"25","222","Hayden Hurst","CIN","10","","","25","","24","24.5"
"26","245","Taysom Hill","NO","14","","","28","","26","27.0"
"27","260","Cameron Brate","TB","11","","","30","","28","29.0"
"28","242","Logan Thomas","WAS","14","","","24","","70","47.0"
"29","253","Kyle Rudolph","TB","11","","","","","25","25.0"
"30","263","Brevin Jordan","HOU","6","","","27","","71","49.0"
"31","282","Dominick Wood-Anderson","","","","","","","29","29.0"
"32","301","Mo Alie-Cox","IND","14","","","29","","69","49.0"
"33","283","Vance McDonald","","","","","","","30","30.0"
"34","304","Jimmy Graham","","","","","","","31","31.0"
"35","325","C.J. Uzomah","NYJ","10","","","31","","80","55.5"
"36","311","Kehinde Oginni Hassan","","","","","","","32","32.0"
"37","329","Jonnu Smith","NE","10","","","32","","77","54.5"
"38","316","Leroy Watson","SF","9","","","","","33","33.0"
"39","332","Daniel Bellinger","NYG","9","","","33","","63","48.0"
"40","","Tre' McKitty","LAC","8","","","","","34","34.0"
"41","342","Adam Trautman","NO","14","","","34","","82","58.0"
"42","","Rhett Ellison","","","","","","","35","35.0"
"43","","Garrett Celek","","","","","","","36","36.0"
"44","","Jason Witten","","","","","","","37","37.0"
"45","","Teagan Quitoriano","HOU","6","","","","","38","38.0"
"46","","Ian Thomas","CAR","13","","","","","39","39.0"
"47","","Nick Guggemos","GB","14","","","","","40","40.0"
"48","","Matt Bushman","KC","8","","","","","41","41.0"
"49","","Trey Burton","","","","","","","42","42.0"
"50","","Feleipe Franks","ATL","14","","","","","43","43.0"
"51","","Temuchin Hodges","","","","","","","44","44.0"
"52","","Connor Heyward","PIT","9","","","","","45","45.0"
"53","","Jake Butt","","","","","","","46","46.0"
"54","","Jake Burt","","","","","","","47","47.0"
"55","","Tim Tebow","","","","","","","48","48.0"
"56","","Ross Dwelley","SF","9","","","","","49","49.0"
"57","","Trevon Wesco","CHI","14","","","","","50","50.0"
"58","","Anthony Firkser","ATL","14","","","","","51","51.0"
"59","","Blake Bell","KC","8","","","","","52","52.0"
"60","","Tommy Tremble","CAR","13","","","","","53","53.0"
"61","","Charlie Kolar","BAL","10","","","","","54","54.0"
"62","","Marcedes Lewis","GB","14","","","","","55","55.0"
"63","","Harrison Bryant","CLE","9","","","","","56","56.0"
"64","","Paul Quessenberry","","","","","","","57","57.0"
"65","","Jalen Wydermyer","IND","14","","","","","58","58.0"
"66","","Jody Fortson","KC","8","","","","","59","59.0"
"67","","Sal Cannella","","","","","","","60","60.0"
"68","","Charlie Woerner","SF","9","","","","","61","61.0"
"69","","Hunter Long","MIA","11","","","","","62","62.0"
"70","","Jelani Woods","IND","14","","","","","65","65.0"
"71","","Tyler Conklin","NYJ","10","","","","","66","66.0"
"72","","Geoff Swaim","TEN","6","","","","","67","67.0"
"73","","Will Dissly","SEA","11 ","","","","","68","68.0"
"74","","Greg Dulcich","DEN","9 ","","","","","72","72.0"
"75","","Trey McBride","ARI","13","","","","","73","73.0"
"76","","Chigoziem Okonkwo","TEN","6","","","","","74","74.0"
"77","","Josiah Deguara","GB","14","","","","","75","75.0"
"78","","Jared Cook","","","","","","","76","76.0"
"79","","O.J. Howard","HOU","6","","","","","78","78.0"
"80","","Jeremy Ruckert","NYJ","10","","","","","79","79.0"
"81","","Cade Otton","TB","11","","","","","81","81.0"
"82","","Foster Moreau","LV","6","","","","","83","83.0"
"83","","Vernon Davis","","","","","","","84","84.0"
"84","","Tony Poljan","","","","","","","85","85.0"
""
""
