"WR","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","6","Michael Thomas","NO","6","1","1","","1","","1.0"
"2","11","Davante Adams","LV","6","2","3","","2","","2.3"
"3","13","Tyreek Hill","MIA","7","3","2","","3","","3.0"
"4","16","Julio Jones","TB","13","4","4","","4","","3.8"
"5","20","DeAndre Hopkins","ARI","8","5","5","","5","","5.0"
"6","23","Chris Godwin","TB","13","6","6","","6","","6.0"
"7","25","Kenny Golladay","NYG","11","8","7","","7","","7.3"
"8","26","Mike Evans","TB","13","7","8","","8","","7.8"
"9","29","Amari Cooper","CLE","9","9","10","","10","","10.5"
"10","33","Adam Thielen","MIN","7","11","15","","9","","11.3"
"11","34","JuJu Smith-Schuster","KC","10","12","12","","13","","12.0"
"12","30","dell Beckham Jr. O","","","10","9","","14","","12.3"
"13","36","Cooper Kupp","LAR","9","13","16","","11","","12.3"
"14","42","Calvin Ridley","JAC","8","16","18","","12","","14.5"
"15","37","A.J. Brown","PHI","9","14","11","","16","","15.3"
"16","38","Allen Robinson II","LAR","9","15","13","","15","","15.5"
"17","45","DJ Moore","CAR","13","18","14","","18","","16.0"
"18","49","Tyler Lockett","SEA","6","17","21","","20","","18.3"
"19","52","Robert Woods","TEN","4","20","22","","19","","19.8"
"20","48","DK Metcalf","SEA","6","19","23","","17","","20.0"
"21","56","Keenan Allen","LAC","6","21","20","","26","","21.0"
"22","55","Courtland Sutton","DEN","5 ","23","17","","27","","23.0"
"23","57","Stefon Diggs","BUF","11","22","24","","23","","23.3"
"24","61","Terry McLaurin","WAS","8","24","28","","22","","24.3"
"25","58","DJ Chark Jr.","DET","5","25","25","","21","","24.5"
"26","63","T.Y. Hilton","DAL","10","28","26","","24","","25.0"
"27","62","DeVante Parker","NE","5","27","19","","29","","27.0"
"28","67","A.J. Green","ARI","8","26","27","","28","","27.8"
"29","69","Marquise Brown","ARI","8","31","33","","25","","28.8"
"30","70","Michael Gallup","DAL","10","30","31","","30","","30.0"
"31","73","Jarvis Landry","NO","6","29","30","","35","","31.3"
"32","78","Tyler Boyd","CIN","9","33","34","","34","","32.3"
"33","77","William Fuller V ","","","35","35","","31","","33.3"
"34","80","Julian Edelman","","","32","32","","36","","33.5"
"35","83","Brandin Cooks","HOU","8","34","37","","32","","34.8"
"36","86","Deebo Samuel","SF","11","38","29","","33","","35.3"
"37","92","Marvin Jones Jr.","JAC","8","36","36","","37","","36.5"
"38","96","CeeDee Lamb","DAL","10","37","42","","39","","38.3"
"39","98","Emmanuel Sanders","","","39","43","","41","","42.3"
"40","108","Jerry Jeudy","DEN","5","41","45","","43","","42.3"
"41","110","Diontae Johnson","PIT","4","44","49","","40","","42.8"
"42","106","Christian Kirk","JAC","8","45","39","","45","","42.8"
"43","102","Darius Slayton","NYG","11","42","41","","42","","43.0"
"44","112","Sterling Shepard","NYG","11","43","44","","46","","44.3"
"45","121","Henry Ruggs III","","","46","55","","44","","46.0"
"46","116","John Brown","BUF","11","49","38","","49","","46.3"
"47","115","Mecole Hardman","KC","10","47","54","","38","","47.5"
"48","126","Jamison Crowder","BUF","11","50","47","","53","","48.3"
"49","123","Justin Jefferson","MIN","7","48","46","","47","","49.3"
"50","138","Preston Williams","CAR","13","53","51","","55","","51.0"
"51","133","Golden Tate","","","40","52","","65","","52.3"
"52","141","DeSean Jackson","BAL","7","52","60","","48","","52.5"
"53","131","Anthony Miller","PIT","4","51","50","","54","","52.5"
"54","142","Sammy Watkins","BAL","7","54","58","","52","","53.0"
"55","144","Mike Williams","LAC","6","","40","","51","","50.0"
"56","150","Robbie Anderson","ARI","8","58","48","","58","","56.0"
"57","169","Allen Lazard","GB","5","57","64","","57","","57.8"
"58","164","Jalen Reagor","MIN","7","","59","","50","","55.3"
"59","163","N'Keal Harry","CHI","11","56","62","","59","","58.8"
"60","161","Breshad Perriman","TB","13","55","56","","63","","58.0"
"61","165","Alshon Jeffery","","","","53","","56","","54.5"
"62","178","Michael Pittman Jr.","IND","7","","61","","64","","62.0"
"63","214","Hunter Renfrow","LV","6","","65","","","","59.5"
"64","174","Curtis Samuel","WAS","8","","57","","62","","59.5"
"65","205","Brandon Aiyuk","SF","11","","76","","61","","66.3"
"66","190","Bryan Edwards","","","","68","","60","","64.0"
"67","216","Larry Fitzgerald","","","","74","","66","","67.7"
"68","209","Denzel Mims","NYJ","10","","63","","","","63.0"
"69","246","Laviska Shenault Jr.","CAR","13","","82","","","","73.0"
"70","217","John Ross","","","","66","","","","66.0"
"71","218","Dede Westbrook ","","","","67","","","","67.0"
"72","223","Parris Campbell","IND","7 ","","75","","67","","71.0"
"73","220","Tee Higgins","CIN","9","","69","","","","69.0"
"74","221","James Washington","","","","70","","","","70.0"
"75","222","Antonio Brown","","","","71","","","","71.0"
"76","224","Kendrick Bourne","NE","5","","72","","","","72.0"
"77","225","Corey Davis","NYJ","10","","73","","","","73.0"
"78","236","Kenny Stills","","","","78","","","","78.0"
"79","239","Josh Gordon","","","","79","","","","79.0"
"80","243","Randall Cobb","GB","5","","80","","","","80.0"
"81","244","Devin Duvernay","BAL","7","","81","","","","81.0"
"82","253","Cole Beasley","BUF","11","","83","","","","83.0"
"83","260","Mohamed Sanu Sr.","","","","84","","","","84.0"
"84","263","Chase Claypool","CHI","11","","85","","","","85.0"
"85","264","Josh Reynolds","DET","5","","86","","","","86.0"
"86","265","Andy Isabella","BAL","7","","87","","","","87.0"
"87","272","Tre'Quan Smith","NO","6","","88","","","","88.0"
"88","279","KJ Hamler","DEN","5","","89","","","","89.0"
"89","280","Chris Conley","TEN","4","","90","","","","90.0"
"90","285","Danny Amendola","","","","92","","","","92.0"
"91","288","Miles Boykin","PIT","4","","93","","","","93.0"
"92","293","Zach Pascal","PHI","9","","94","","","","94.0"
"93","297","Auden Tate","ARI","8 ","","95","","","","95.0"
"94","300","Phillip Dorsett II","HOU","8","","96","","","","96.0"
"95","303","Steven Sims Jr.","PIT","4","","98","","","","98.0"
"96","304","Marquez Valdes-Scantling","KC","10","","99","","","","99.0"
"97","305","Nelson Agholor","NE","5","","100","","","","100.0"
"98","309","Demarcus Robinson","BAL","7","","101","","","","101.0"
"99","310","J.J. Arcega-Whiteside","","","","102","","","","102.0"
"100","314","Van Jefferson","LAR","9","","103","","","","103.0"
"101","315","Adam Humphries","","","","104","","","","104.0"
"102","317","Russell Gage","TB","13","","105","","","","105.0"
"103","323","David Moore","","","","106","","","","106.0"
"104","331","Cordarrelle Patterson","ATL","10","","107","","","","107.0"
"105","333","Scotty Miller","TB","13","","108","","","","108.0"
"106","342","Quintez Cephus","DET","5","","109","","","","109.0"
"107","343","Gabe Davis","BUF","11","","111","","","","111.0"
"108","347","John Hightower","LAC","6","","112","","","","112.0"
""
""
