"TE","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","9","Rob Gronkowski","","","","1","","1","","1.0"
"2","37","Jordan Reed","","","","2","","2","","2.0"
"3","42","Greg Olsen","","","","3","","3","","3.0"
"4","56","Travis Kelce","KC","5","","4","","4","","4.3"
"5","59","Delanie Walker","","","","5","","5","","5.2"
"6","70","Coby Fleener","","","","6","","6","","7.0"
"7","76","Gary Barnidge","","","","10","","7","","8.0"
"8","93","Zach Ertz","ARI","9","","7","","9","","9.0"
"9","92","Antonio Gates","","","","9","","8","","9.0"
"10","90","Tyler Eifert ","","","","19","","12","","9.5"
"11","100","Julius Thomas","","","","8","","11","","10.2"
"12","107","Jimmy Graham","","","","11","","10","","11.7"
"13","120","Martellus Bennett","","","","12","","13","","12.7"
"14","128","Jason Witten","","","","13","","16","","13.8"
"15","147","Dwayne Allen","","","","14","","14","","17.2"
"16","156","Jared Cook","","","","16","","15","","17.7"
"17","162","Zach Miller","","","","21","","17","","18.3"
"18","182","Eric Ebron","","","","15","","","","19.3"
"19","184","Kyle Rudolph","TB","6","","23","","","","20.7"
"20","174","Ladarius Green","","","","20","","","","16.0"
"21","220","Charles Clay","","","","26","","","","24.5"
"22","205","Austin Seferian-Jenkins","","","","17","","","","20.8"
"23","209","Richard Rodgers","LAC","","","33","","","","22.8"
"24","215","Virgil Green","","","","22","","18","","23.4"
"25","214","Clive Walford","","","","24","","","","24.6"
"26","233","Benjamin Watson","","","","34","","","","24.0"
"27","239","Jordan Cameron","","","","29","","","","24.8"
"28","265","Jesse James","CLE","13","","28","","","","27.3"
"29","299","Vance McDonald","","","","36","","","","30.5"
"30","240","Hunter Henry","NE","9","","32","","","","24.7"
"31","275","Cameron Brate","TB","6","","30","","","","27.0"
"32","270","Jacob Tamme","","","","25","","","","27.3"
"33","303","Jace Amaro","","","","18","","","","32.0"
"34","297","Jack Doyle","","","","53","","","","33.0"
"35","305","O.J. Howard","HOU","9","","","","","","15.0"
"36","329","Austin Hooper","TEN","13","","42","","","","33.0"
"37","310","C.J. Fiedorowicz","","","","51","","","","34.0"
"38","370","Dennis Pitta","","","","41","","","","34.5"
"39","331","Will Tye","","","","35","","","","34.5"
"40","317","Luke Willson","","","","40","","","","35.0"
"41","326","Jerell Adams","","","","27","","","","35.5"
"42","327","David Njoku","CLE","13","","","","","","22.0"
"43","396","Brent Celek","","","","37","","","","37.5"
"44","350","Vernon Davis","","","","45","","","","38.5"
"45","354","Evan Engram","JAC","5","","","","","","27.0"
"46","426","Anthony Fasano","","","","38","","","","39.5"
"47","388","Larry Donnell","","","","44","","","","40.0"
"48","353","Tyler Higbee","LAR","8","","31","","","","31.0"
"49","384","Lance Kendricks","","","","47","","","","41.0"
"50","444","Crockett Gillmore","","","","43","","","","43.0"
"51","428","Jeff Heuerman","","","","39","","","","39.0"
"52","466","A.J. Derby","","","","55","","","","47.0"
"53","469","Blake Bell","KC","5","","58","","","","49.0"
"54","468","Marcedes Lewis","GB","4","","57","","","","49.5"
"55","461","Ryan Griffin","CHI","9","","50","","","","47.5"
"56","456","Dion Sims","","","","46","","","","46.0"
"57","","Brandon Pettigrew","","","","","","","","47.0"
"58","458","Darren Fells","","","","48","","","","48.0"
"59","474","Ed Dickson","","","","61","","","","54.5"
"60","460","Garrett Celek","","","","49","","","","49.0"
"61","","Ryan Hewitt","","","","","","","","49.0"
"62","473","Josh Hill","","","","60","","","","55.0"
"63","462","MyCole Pruitt","ATL","11","","52","","","","52.0"
"64","465","Mychal Rivera","","","","54","","","","54.0"
"65","467","Jermaine Gresham","","","","56","","","","56.0"
"66","472","Maxx Williams","ARI","9","","59","","","","59.0"
""
""
