"RB","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","1","Adrian Peterson","","","","1","","1","","1.0"
"2","2","Le'Veon Bell","","","","2","","2","","3.0"
"3","3","Eddie Lacy","","","","4","","3","","3.0"
"4","4","Jamaal Charles","","","","3","","4","","3.3"
"5","5","Marshawn Lynch","","","","5","","5","","4.7"
"6","9","Matt Forte","","","","6","","9","","7.2"
"7","10","C.J. Anderson","","","","8","","6","","7.5"
"8","11","DeMarco Murray","","","","7","","8","","7.7"
"9","15","Jeremy Hill","","","","9","","7","","8.2"
"10","19","LeSean McCoy","","","","10","","10","","9.5"
"11","23","Justin Forsett","","","","11","","11","","11.5"
"12","26","Lamar Miller","","","","15","","12","","13.0"
"13","28","Mark Ingram II","NO","11","","13","","14","","13.2"
"14","31","Frank Gore","","","","12","","13","","14.0"
"15","36","Alfred Morris","","","","16","","16","","15.7"
"16","38","Melvin Gordon III","KC","9","","14","","20","","16.2"
"17","39","Latavius Murray","DEN","7","","18","","15","","16.7"
"18","40","Carlos Hyde","","","","17","","18","","17.3"
"19","46","Andre Ellington","","","","19","","25","","20.3"
"20","48","Jonathan Stewart","","","","20","","23","","21.0"
"21","52","Joseph Randle","","","","22","","24","","21.8"
"22","55","Arian Foster","","","","25","","19","","22.2"
"23","63","T.J. Yeldon","","","","21","","27","","25.0"
"24","65","Todd Gurley II","","","","35","","26","","26.3"
"25","68","Ameer Abdullah","LV","","","23","","22","","26.5"
"26","67","Chris Ivory","","","","28","","21","","26.8"
"27","71","Joique Bell","","","","33","","32","","27.0"
"28","69","LeGarrette Blount","","","","26","","28","","27.2"
"29","72","Doug Martin","","","","24","","17","","27.3"
"30","70","Rashad Jennings","","","","27","","30","","27.3"
"31","76","C.J. Spiller","","","","32","","29","","30.0"
"32","78","Giovani Bernard","TB","6","","29","","36","","30.0"
"33","91","Isaiah Crowell","","","","30","","35","","34.7"
"34","90","Tevin Coleman","SF","10","","31","","37","","34.7"
"35","99","Ryan Mathews","","","","44","","31","","36.3"
"36","97","Alfred Blue","","","","34","","33","","36.3"
"37","102","Tre Mason","","","","40","","38","","37.5"
"38","108","Darren McFadden","","","","47","","34","","38.2"
"39","109","Shane Vereen","","","","36","","40","","39.8"
"40","110","Devonta Freeman","","","","39","","42","","40.3"
"41","121","Bishop Sankey","","","","37","","41","","43.5"
"42","126","Darren Sproles","","","","41","","48","","43.8"
"43","129","DeAngelo Williams","","","","42","","49","","45.0"
"44","134","Reggie Bush","","","","38","","52","","45.2"
"45","148","Danny Woodhead","","","","66","","39","","47.7"
"46","154","Andre Williams","","","","48","","55","","49.8"
"47","161","Ronnie Hillman","","","","54","","43","","50.3"
"48","136","Duke Johnson Jr.","BUF","8","","45","","44","","45.4"
"49","143","Charles Sims","","","","46","","56","","46.4"
"50","160","Knile Davis","","","","49","","46","","48.8"
"51","155","David Johnson","NO","11","","43","","47","","49.4"
"52","170","David Cobb","","","","58","","45","","52.8"
"53","183","Jonas Gray","","","","","","50","","48.5"
"54","188","Montee Ball","","","","50","","","","50.0"
"55","185","Matt Jones","","","","52","","51","","56.8"
"56","197","Terrance West","","","","51","","","","53.3"
"57","194","Fred Jackson","","","","74","","58","","58.2"
"58","201","Denard Robinson","","","","53","","61","","60.0"
"59","214","Christine Michael","","","","60","","54","","59.0"
"60","222","Roy Helu","","","","63","","59","","59.5"
"61","225","James Starks","","","","62","","60","","61.0"
"62","229","Jerick McKinnon","KC","9","","57","","","","62.5"
"63","253","Branden Oliver","","","","61","","","","61.0"
"64","227","Khiry Robinson","","","","73","","57","","65.3"
"65","232","Ahmad Bradshaw","","","","101","","","","67.5"
"66","230","Cameron Artis-Payne","","","","59","","53","","56.0"
"67","239","Stevan Ridley","","","","80","","","","60.5"
"68","254","Lorenzo Taliaferro","","","","77","","","","66.0"
"69","252","Jay Ajayi","","","","56","","","","61.5"
"70","259","Theo Riddick","","","","67","","","","67.3"
"71","278","Chris Johnson","","","","72","","","","67.7"
"72","246","Bobby Rainey","","","","86","","","","69.0"
"73","250","Brandon Bolden","LV","","","55","","","","55.0"
"74","372","Jarryd Hayne","","","","95","","","","75.5"
"75","262","Dan Herron","","","","79","","","","69.0"
"76","282","Lance Dunbar","","","","70","","","","68.0"
"77","280","Trent Richardson","","","","68","","","","68.0"
"78","308","Robert Turbin","","","","83","","","","71.5"
"79","276","Ray Rice","","","","64","","","","68.5"
"80","379","Dion Lewis","","","","99","","","","80.0"
"81","318","De'Anthony Thomas","","","","","","","","63.0"
"82","355","Matt Asiata","","","","92","","","","78.0"
"83","277","Chris Polk","","","","65","","","","65.0"
"84","287","Damien Williams","","","","93","","","","80.0"
"85","285","James White","","","","69","","","","69.0"
"86","290","Jeremy Langford","","","","71","","","","71.0"
"87","295","Javorius Allen","","","","75","","","","75.0"
"88","298","Fozzy Whittaker","","","","76","","","","76.0"
"89","300","Jacquizz Rodgers","","","","78","","","","78.0"
"90","302","Zac Stacy","","","","81","","","","81.0"
"91","307","Josh Robinson","","","","82","","","","82.0"
"92","310","Dri Archer","","","","84","","","","84.0"
"93","323","Benny Cunningham Jr.","","","","85","","","","85.0"
"94","342","Ka'Deem Carey","","","","87","","","","87.0"
