"K","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","94","Stephen Gostkowski","","","1","1","","1","","1","","1.0"
"2","115","Stephen Hauschka","","","2","7","","2","","2","","3.0"
"3","135","Graham Gano","NYG","8","8","2","","3","","5","","4.5"
"4","134","Justin Tucker","BAL","8","5","8","","4","","3","","5.5"
"5","145","Mason Crosby","GB","4","7","16","","9","","6","","6.7"
"6","148","Dan Bailey","","","4","19","","5","","7","","7.2"
"7","158","Chandler Catanzaro","","","14","22","","8","","4","","7.5"
"8","149","Chris Boswell","PIT","8","12","6","","7","","12","","8.2"
"9","169","Brandon McManus","DEN","11","10","14","","10","","8","","9.5"
"10","171","Blair Walsh","","","9","4","","6","","9","","10.2"
"11","168","Adam Vinatieri","","","3","11","","11","","10","","10.2"
"12","176","Cairo Santos","CHI","9","13","23","","12","","13","","11.0"
"13","172","Sebastian Janikowski","","","6","10","","24","","11","","11.7"
"14","236","Roberto Aguayo","","","11","18","","14","","","","16.8"
"15","226","Matt Prater","ARI","9","15","15","","17","","","","17.0"
"16","235","Mike Nugent","","","","13","","22","","","","15.8"
"17","230","Josh Brown","","","","21","","18","","","","16.0"
"18","219","Matt Bryant","","","","17","","16","","","","18.2"
"19","234","Dustin Hopkins","LAC","","","","","13","","","","18.6"
"20","246","Robbie Gould","SF","8","","24","","21","","","","18.6"
"21","247","Connor Barth","","","","3","","15","","","","9.0"
"22","242","Nick Novak","","","","12","","23","","","","20.0"
"23","285","Josh Lambo","","","","20","","20","","","","20.6"
"24","276","Shayne Graham","","","","5","","","","","","5.0"
"25","263","Nick Folk","NE","9","","9","","26","","","","21.0"
"26","272","Dan Carpenter","","","","","","19","","","","21.5"
"27","323","Wil Lutz","NO","5","","","","","","","","14.0"
"28","374","Caleb Sturgis","","","","","","32","","","","26.5"
"29","307","Jason Myers","SEA","5","","","","25","","","","24.0"
"30","335","Phil Dawson","","","","","","27","","","","24.5"
"31","","Randy Bullock","TEN","13","","25","","","","","","25.0"
"32","356","Greg Zuerlein","NYJ","11","","","","29","","","","27.0"
"33","400","Ryan Succop","TB","6","","","","28","","","","28.0"
"34","404","Cody Parkey","","","","","","30","","","","30.0"
"35","427","Andrew Franks","","","","","","31","","","","31.0"
"36","394","Travis Coons","","","","","","33","","","","33.0"
"37","457","Kai Forbath","LAR","8","","","","34","","","","34.0"
"38","471","Rob Bironas","","","","","","35","","","","35.0"
""
""
