"Rank","Player","Team","Bye","POS","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","Christian McCaffrey","SF","6 ","RB1","1","1","","1","1","1.0"
"2","Dalvin Cook","MIN","7","RB2","2","2","","2","2","2.0"
"3","Derrick Henry","TEN","13","RB3","3","3","","3","3","3.0"
"4","Alvin Kamara","NO","6","RB4","4","4","","4","4","4.0"
"5","Ezekiel Elliott","DAL","7","RB5","5","5","","5","5","5.0"
"6","Nick Chubb","CLE","13","RB6","6","6","","6","6","6.0"
"7","Aaron Jones","GB","13","RB7","7","9","","7","10","8.3"
"8","Davante Adams","LV","8","WR1","8","8","","8","9","8.3"
"9","Jonathan Taylor","IND","14","RB8","10","7","","9","8","8.5"
"10","Saquon Barkley","NYG","10","RB9","11","11","","11","7","10.0"
"11","Tyreek Hill","MIA","14","WR2","9","12","","12","11","11.0"
"12","Travis Kelce","KC","12","TE1","13","10","","10","12","11.3"
"13","Patrick Mahomes II","KC","12","QB1","12","14","","16","15","14.3"
"14","Najee Harris","PIT","7","RB10","16","15","","13","13","14.3"
"15","Austin Ekeler","LAC","7","RB11","14","16","","14","14","14.5"
"16","Stefon Diggs","BUF","7","WR3","15","17","","17","16","16.3"
"17","Antonio Gibson","WAS","9","RB12","18","13","","15","21","16.8"
"18","DK Metcalf","SEA","9","WR4","17","18","","19","20","18.5"
"19","Joe Mixon","CIN","10","RB13","21","19","","18","19","19.3"
"20","DeAndre Hopkins","ARI","12","WR5","20","20","","22","17","19.8"
"21","Calvin Ridley","JAC","7","WR6","19","21","","21","18","19.8"
"22","Clyde Edwards-Helaire","KC","12","RB14","23","22","","20","22","21.8"
"23","A.J. Brown","PHI","14","WR7","26","27","","26","24","25.8"
"24","Darren Waller","LV","8","TE2","30","23","","23","28","26.0"
"25","Justin Jefferson","MIN","7","WR8","25","26","","24","31","26.5"
"26","Josh Allen","BUF","7","QB2","22","25","","28","32","26.8"
"27","David Montgomery","CHI","10","RB15","32","28","","25","26","27.8"
"28","Josh Jacobs","LV","8","RB16","28","29","","27","27","27.8"
"29","Chris Carson ","","","RB17","24","30","","29","29","28.0"
"30","George Kittle","SF","6","TE3","35","24","","31","23","28.3"
"31","Keenan Allen","LAC","7","WR9","27","31","","32","25","28.8"
"32","James Robinson","NYJ","6 ","RB18","36","32","","30","33","32.8"
"33","Terry McLaurin","WAS","9","WR10","37","33","","34","30","33.5"
"34","Mike Evans","TB","9","WR11","29","35","","37","34","33.8"
