"QB","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","14","Patrick Mahomes II","KC","10","","1","1","2","2","1","","1.2"
"2","17","Lamar Jackson","BAL","7","","2","2","1","1","2","","1.8"
"3","47","Dak Prescott","DAL","10 ","","4","4","3","3","4","","3.6"
"4","53","Russell Wilson","DEN","5","","3","5","6","5","3","","4.2"
"5","50","Deshaun Watson","CLE","9","","6","3","4","6","6","","4.8"
"6","59","Kyler Murray","ARI","8","","5","6","5","4","5","","5.4"
"7","71","Drew Brees","","","","9","7","8","9","7","","8.2"
"8","81","Tom Brady","TB","13","","10","8","11","7","10","","9.0"
"9","75","Matt Ryan","IND","7","","7","9","9","8","9","","9.0"
"10","82","Josh Allen","BUF","11","","8","11","7","10","11","","9.2"
"11","76","Aaron Rodgers","GB","5","","12","10","10","13","8","","11.0"
"12","94","Carson Wentz","WAS","8","","11","12","12","11","12","","11.6"
"13","99","Matthew Stafford","LAR","9","","13","13","13","12","13","","13.2"
"14","149","Cam Newton","","","","14","15","31","15","17","","14.8"
"15","111","Daniel Jones","NYG","11","","19","14","16","14","14","","15.6"
"16","117","Ben Roethlisberger","","","","15","16","15","16","15","","15.8"
"17","122","Baker Mayfield","LAR","9","","22","18","14","18","16","","17.8"
"18","125","Jared Goff","DET","5","","21","17","17","17","18","","18.0"
"19","143","Joe Burrow","CIN","9 ","","16","20","21","19","19","","18.6"
"20","132","Ryan Tannehill","TEN","4","","27","19","18","20","20","","19.8"
"21","168","Jimmy Garoppolo","SF","11 ","","18","23","20","21","","","20.6"
"22","155","Kirk Cousins","MIN","7","","28","21","19","22","23","","21.8"
"23","160","Philip Rivers","","","","26","22","22","25","21","","24.0"
"24","182","Drew Lock","SEA","6","","24","","23","23","24","","24.2"
"25","181","Gardner Minshew II","PHI","9","","25","","24","24","22","","24.4"
"26","202","Teddy Bridgewater","MIA","7","","23","","26","27","","","24.6"
"27","226","Derek Carr","LV","6","","17","","27","26","","","24.0"
"28","302","Tua Tagovailoa","MIA","7","","20","","34","32","","","28.7"
"29","201","Sam Darnold","CAR","13","","","","25","28","","","26.5"
"30","255","Tyrod Taylor","NYG","11","","","","29","29","","","29.0"
"31","270","Dwayne Haskins","","","","","","30","30","","","30.0"
"32","250","Ryan Fitzpatrick","","","","","","28","33","","","30.5"
"33","306","Mitch Trubisky","PIT","4","","","","35","31","","","33.0"
"34","295","Nick Foles","IND","7","","","","33","34","","","33.5"
"35","287","Jarrett Stidham","LV","6","","","","32","","","","32.0"
"36","","Justin Herbert","LAC","6","","","","","35","","","35.0"
"37","","Jameis Winston","NO","6","","","","","36","","","36.0"
"38","","Taysom Hill","NO","6","","","","","37","","","37.0"
""
""
