"WR","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","3","Antonio Brown","","","","1","","2","","1.2"
"2","4","Julio Jones","TB","1","","2","","1","","1.8"
"3","6","Odell Beckham Jr.","","","","3","","3","","3.0"
"4","9","Mike Evans","TB","1","","4","","4","","4.0"
"5","10","A.J. Green","ARI","8","","5","","5","","5.2"
"6","12","Jordy Nelson","","","","6","","6","","5.8"
"7","17","Michael Thomas","NO","5","","7","","7","","7.2"
"8","19","Dez Bryant","","","","8","","8","","7.8"
"9","22","Brandin Cooks","HOU","7","","10","","9","","9.8"
"10","23","Amari Cooper","CLE","9","","9","","10","","10.2"
"11","25","Doug Baldwin","","","","11","","11","","10.6"
"12","28","T.Y. Hilton","DAL","6","","13","","13","","11.8"
"13","32","DeAndre Hopkins","ARI","8","","12","","14","","13.6"
"14","34","Terrelle Pryor Sr.","","","","15","","15","","14.6"
"15","37","Demaryius Thomas","","","","16","","16","","15.6"
"16","38","Alshon Jeffery","","","","14","","17","","16.2"
"17","41","Keenan Allen","LAC","9","","17","","12","","16.8"
"18","43","Davante Adams","LV","","","18","","20","","18.6"
"19","45","Michael Crabtree","","","","20","","22","","20.2"
"20","48","Allen Robinson II","LAR","8","","19","","23","","20.6"
"21","49","Tyreek Hill","MIA","1","","21","","21","","20.6"
"22","52","Kelvin Benjamin","","","","22","","18","","21.8"
"23","56","Martavis Bryant","","","","24","","19","","23.8"
"24","57","Golden Tate","","","","25","","26","","24.8"
"25","58","Larry Fitzgerald","","","","28","","25","","25.2"
"26","55","Jarvis Landry","NO","5","","23","","31","","25.4"
"27","60","Sammy Watkins","BAL","10","","26","","29","","27.2"
"28","65","Stefon Diggs","BUF","6","","31","","27","","27.8"
"29","64","Emmanuel Sanders","","","","30","","32","","28.4"
"30","74","Brandon Marshall","","","","29","","28","","30.6"
"31","72","Jamison Crowder","BUF","6","","32","","30","","30.6"
"32","80","DeVante Parker","NE","9","","27","","24","","32.6"
"33","91","DeSean Jackson","BAL","10","","41","","34","","35.2"
"34","87","Willie Snead IV","SF","11","","34","","35","","35.2"
"35","88","Pierre Garcon","","","","36","","33","","35.2"
"36","93","Randall Cobb","GB","8","","35","","39","","36.8"
"37","95","Eric Decker","","","","37","","36","","38.0"
"38","97","Donte Moncrief","","","","33","","44","","38.6"
"39","98","Jeremy Maclin","","","","38","","38","","38.6"
"40","107","Tyrell Williams","","","","40","","40","","42.2"
"41","112","Corey Davis","NYJ","11","","44","","45","","43.0"
"42","111","Corey Coleman","","","","39","","41","","43.0"
"43","109","Chris Hogan","","","","53","","37","","43.4"
"44","116","John Brown","BUF","6","","47","","43","","45.2"
"45","117","Adam Thielen","MIN","9","","42","","46","","45.4"
"46","118","Kenny Britt","","","","46","","52","","46.4"
"47","120","Marvin Jones Jr.","JAC","8","","43","","42","","46.6"
"48","121","Mike Wallace","","","","48","","53","","46.8"
"49","126","Rishard Matthews","","","","49","","47","","48.6"
"50","135","Ted Ginn Jr.","","","","51","","48","","50.2"
"51","147","Sterling Shepard","NYG","8","","45","","55","","52.2"
