"WR","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"52","144","Jordan Matthews","SF","11","","54","","49","","52.8"
"53","152","Cole Beasley","BUF","6","","57","","61","","54.8"
"54","151","Zay Jones","JAC","8","","50","","51","","55.6"
"55","160","Cooper Kupp","LAR","8","","55","","50","","58.6"
"56","156","Kevin White","NO","5","","58","","54","","58.6"
"57","159","Taylor Gabriel","","","","60","","59","","58.8"
"58","166","Tyler Lockett","SEA","6","","59","","65","","59.8"
"59","169","John Ross","","","","56","","68","","60.6"
"60","168","Mohamed Sanu Sr.","","","","63","","63","","61.4"
"61","174","Kenny Stills","","","","61","","62","","63.2"
"62","177","Danny Amendola","","","","73","","57","","63.4"
"63","179","Robbie Anderson","ARI","8","","52","","58","","58.3"
"64","203","Julian Edelman","","","","124","","","","61.7"
"65","186","Kenny Golladay","NYG","8","","62","","56","","61.5"
"66","191","Kendall Wright","","","","64","","66","","61.8"
"67","196","Josh Doctson","","","","71","","64","","68.2"
"68","211","Cameron Meredith","","","","123","","","","69.3"
"69","208","J.J. Nelson","","","","68","","","","67.0"
"70","213","Breshad Perriman","TB","1","","65","","","","70.0"
"71","205","Torrey Smith","","","","87","","60","","70.5"
"72","214","Mike Williams","LAC","9","","84","","67","","72.3"
"73","222","Marqise Lee","","","","69","","","","72.0"
"74","231","Tavon Austin","","","","76","","","","73.0"
"75","235","Devin Funchess","","","","80","","","","73.3"
"76","227","Allen Hurns","","","","70","","","","73.3"
"77","239","Malcolm Mitchell","","","","67","","","","69.5"
"78","251","Paul Richardson Jr.","","","","91","","","","78.7"
"79","255","ArDarius Stewart","","","","66","","","","73.5"
"80","262","Curtis Samuel","WAS","5","","77","","","","74.0"
"81","281","Quincy Enunwa","","","","113","","","","87.0"
"82","259","William Fuller V","","","","81","","","","79.7"
"83","300","Victor Cruz","","","","108","","","","88.0"
"84","261","Brandon LaFell","","","","72","","","","79.0"
"85","287","Terrance Williams","","","","101","","","","85.5"
"86","279","Jaron Brown","","","","96","","","","84.5"
"87","286","Brandon Coleman","","","","74","","","","74.0"
"88","276","Chris Conley","TEN","8","","78","","","","81.0"
"89","288","Chris Godwin","TB","1","","75","","","","75.0"
"90","280","Nelson Agholor","NE","9","","97","","","","86.0"
"91","265","Robert Woods","TEN","8","","86","","","","82.5"
"92","294","Cordarrelle Patterson","ATL","5","","79","","","","79.0"
"93","278","Dede Westbrook","","","","85","","","","83.5"
"94","275","Travis Benjamin","","","","99","","","","89.5"
"95","299","Carlos Henderson","","","","82","","","","82.0"
"96","303","Bruce Ellington","","","","83","","","","83.0"
"97","333","Jeremy Kerley","","","","109","","","","97.0"
"98","285","Jermaine Kearse","","","","100","","","","93.5"
"99","316","Laquon Treadwell","SEA","6","","88","","","","88.0"
"100","317","Tyler Boyd","CIN","6","","89","","","","89.0"
"101","319","Geronimo Allison","","","","90","","","","90.0"
"102","326","Josh Gordon","","","","92","","","","92.0"
"103","328","Markus Wheaton","","","","93","","","","93.0"
"104","296","JuJu Smith-Schuster","KC","10","","94","","","","94.0"
"105","329","Braxton Miller","","","","95","","","","95.0"
"106","338","Tajae Sharpe","","","","98","","","","98.0"
"107","346","Michael Floyd","","","","102","","","","102.0"
"108","347","Kamar Aiken","","","","103","","","","103.0"
"109","351","Phillip Dorsett II","HOU","7","","104","","","","104.0"
"110","353","Marquise Goodwin","SEA","6","","105","","","","105.0"
"111","356","Eli Rogers","","","","106","","","","106.0"
"112","362","Dontrelle Inman","","","","107","","","","107.0"
"113","368","Seth Roberts","","","","110","","","","110.0"
"114","372","Adam Humphries","","","","111","","","","111.0"
"115","373","Mack Hollins","LV","","","112","","","","112.0"
"116","379","Brice Butler","","","","114","","","","114.0"
"117","380","Jaelen Strong","","","","115","","","","115.0"
"118","382","Charone Peake","","","","116","","","","116.0"
"119","387","Austin Carr","","","","117","","","","117.0"
"120","393","Chad Hansen","","","","118","","","","118.0"
"121","397","Bennie Fowler III","","","","119","","","","119.0"
"122","401","Josh Reynolds","DET","7","","120","","","","120.0"
"123","402","Malcom Floyd","","","","121","","","","121.0"
"124","403","Justin Hardy","","","","122","","","","122.0"
""
""
