"Rank","Player","Team","Bye","POS","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","Antonio Brown","","","WR1","","1","","1","","1.0"
"2","Odell Beckham Jr.","","","WR2","","3","","2","","2.7"
"3","Todd Gurley II","","","RB1","","2","","3","","3.5"
"4","Julio Jones","TB","6","WR3","","4","","7","","4.3"
"5","David Johnson","NO","5","RB2","","5","","4","","4.5"
"6","Adrian Peterson","","","RB3","","6","","5","","6.3"
"7","Ezekiel Elliott","DAL","7","RB4","","9","","6","","6.8"
"8","DeAndre Hopkins","ARI","9","WR4","","8","","8","","8.2"
"9","Rob Gronkowski","","","TE1","","10","","13","","10.2"
"10","A.J. Green","ARI","9","WR5","","11","","10","","10.5"
"11","Le'Veon Bell","","","RB5","","7","","11","","11.2"
"12","Lamar Miller","","","RB6","","12","","9","","12.0"
"13","Devonta Freeman","","","RB7","","13","","16","","13.2"
"14","Dez Bryant","","","WR6","","14","","19","","15.0"
"15","Allen Robinson II","LAR","8","WR7","","16","","12","","15.0"
"16","Jordy Nelson","","","WR8","","17","","18","","16.7"
"17","Cam Newton","","","QB1","","18","","27","","18.8"
"18","Brandon Marshall","","","WR9","","20","","17","","20.5"
"19","Mike Evans","TB","6","WR10","","21","","15","","21.2"
"20","Eddie Lacy","","","RB8","","19","","14","","21.7"
"21","Mark Ingram II","NO","5","RB9","","25","","22","","22.2"
"22","Jamaal Charles","","","RB10","","15","","25","","22.5"
"23","LeSean McCoy","","","RB11","","27","","20","","23.2"
"24","Doug Martin","","","RB12","","23","","24","","23.5"
"25","Aaron Rodgers","GB","4","QB2","","26","","31","","24.5"
"26","Keenan Allen","LAC","","WR11","","28","","21","","25.2"
"27","Amari Cooper","CLE","13","WR12","","22","","23","","25.2"
"28","Alshon Jeffery","","","WR13","","24","","26","","25.8"
"29","Brandin Cooks","HOU","9","WR14","","29","","30","","29.8"
"30","Sammy Watkins","BAL","8","WR15","","30","","28","","30.3"
"31","C.J. Anderson","","","RB13","","34","","29","","31.3"
"32","Demaryius Thomas","","","WR16","","33","","32","","33.2"
"33","T.Y. Hilton","DAL","7","WR17","","32","","34","","33.8"
"34","Russell Wilson","DEN","11","QB3","","35","","47","","35.5"
"35","Carlos Hyde","","","RB14","","41","","41","","38.0"
"36","Thomas Rawls","","","RB15","","31","","36","","38.8"
"37","Jordan Reed","","","TE2","","43","","43","","39.5"
"38","Matt Forte","","","RB16","","36","","44","","40.0"
"39","Latavius Murray","DEN","11","RB17","","37","","33","","41.5"
"40","Jarvis Landry","NO","5","WR18","","44","","40","","43.2"
"41","Randall Cobb","GB","4","WR19","","38","","35","","43.7"
"42","Greg Olsen","","","TE3","","48","","51","","43.8"
"43","Andrew Luck","","","QB4","","40","","54","","44.2"
"44","DeMarco Murray","","","RB18","","42","","38","","44.7"
"45","Julian Edelman","","","WR20","","45","","56","","44.7"
"46","Doug Baldwin","","","WR21","","47","","53","","45.2"
"47","Drew Brees","","","QB5","","49","","58","","47.3"
"48","Jonathan Stewart","","","RB19","","55","","50","","49.7"
"49","Eric Decker","","","WR22","","54","","49","","50.0"
"50","Kelvin Benjamin","","","WR23","","39","","39","","50.3"
"51","Jeremy Hill","","","RB20","","46","","37","","50.7"
"52","Jeremy Maclin","","","WR24","","52","","48","","51.5"
"53","Ben Roethlisberger","","","QB6","","53","","67","","53.3"
"54","Golden Tate","","","WR25","","50","","62","","55.2"
"55","Donte Moncrief","","","WR26","","60","","42","","58.3"
"56","Travis Kelce","KC","5","TE4","","61","","61","","58.5"
"57","Ryan Mathews","","","RB21","","57","","55","","59.8"
"58","Michael Floyd","","","WR27","","56","","59","","60.8"
"59","Delanie Walker","","","TE5","","62","","70","","61.5"
"60","Melvin Gordon III","KC","5","RB22","","58","","46","","61.7"
"61","Jeremy Langford","","","RB23","","51","","45","","62.2"
"62","Carson Palmer","","","QB7","","67","","77","","62.3"
