"TE","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","20","Rob Gronkowski","","","","1","","1","","1.0"
"2","36","Travis Kelce","KC","10","","2","","2","","2.0"
"3","47","Greg Olsen","","","","3","","3","","3.2"
"4","51","Jordan Reed","","","","4","","4","","4.0"
"5","53","Jimmy Graham","","","","5","","5","","4.8"
"6","68","Tyler Eifert","","","","6","","6","","6.8"
"7","82","Martellus Bennett","","","","7","","7","","7.8"
"8","78","Delanie Walker","","","","8","","8","","8.0"
"9","76","Kyle Rudolph","TB","1","","9","","10","","8.0"
"10","89","Zach Ertz","ARI","8","","10","","9","","9.6"
"11","106","Hunter Henry","NE","9","","12","","11","","11.8"
"12","122","Jack Doyle","","","","14","","12","","12.8"
"13","125","Eric Ebron","","","","15","","13","","12.8"
"14","142","Jason Witten","","","","17","","16","","14.6"
"15","148","O.J. Howard","HOU","7","","13","","14","","15.8"
"16","155","Coby Fleener","","","","18","","20","","17.4"
"17","161","Cameron Brate","TB","1","","21","","15","","18.4"
"18","164","Austin Hooper","TEN","8","","16","","17","","16.3"
"19","170","Julius Thomas","","","","19","","19","","19.8"
"20","173","Antonio Gates","","","","27","","18","","20.6"
"21","181","Evan Engram","JAC","8","","22","","21","","21.6"
"22","199","Jared Cook","","","","25","","","","20.3"
"23","206","Benjamin Watson","","","","11","","","","18.0"
"24","217","Jesse James","CLE","9","","23","","","","22.7"
"25","219","C.J. Fiedorowicz","","","","31","","","","26.0"
"26","230","Vance McDonald","","","","26","","","","25.3"
"27","234","David Njoku","CLE","9","","24","","","","25.7"
"28","247","Gerald Everett","LAC","9","","20","","","","23.5"
"29","236","Charles Clay","","","","34","","","","27.7"
"30","256","Dwayne Allen","","","","30","","","","28.3"
"31","283","Austin Seferian-Jenkins","","","","28","","","","29.5"
"32","269","Zach Miller","","","","37","","","","32.5"
"33","307","Jermaine Gresham","","","","29","","","","29.0"
"34","314","Tyler Higbee","LAR","8","","32","","","","32.0"
"35","322","George Kittle","SF","11","","33","","","","33.0"
"36","336","Ladarius Green","","","","35","","","","35.0"
"37","337","Erik Swoope","","","","36","","","","36.0"
"38","349","Dennis Pitta","","","","38","","","","38.0"
"39","366","Vernon Davis","","","","39","","","","39.0"
"40","371","Seth DeValve","","","","40","","","","40.0"
"41","376","Adam Shaheen","MIA","1","","41","","","","41.0"
"42","385","Jerell Adams","","","","42","","","","42.0"
"43","388","Maxx Williams","ARI","8","","43","","","","43.0"
"44","391","Jake Butt","","","","44","","","","44.0"
"45","395","Jacob Hollister","SEA","6","","45","","","","45.0"
"46","396","Lance Kendricks","","","","46","","","","46.0"
""
""
