"RB","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","1","Christian McCaffrey","SF","6 ","1","1","","1","1","1.0"
"2","2","Dalvin Cook","MIN","7","2","2","","2","2","2.0"
"3","3","Derrick Henry","TEN","13","3","3","","3","3","3.0"
"4","4","Alvin Kamara","NO","6","4","4","","4","4","4.0"
"5","5","Ezekiel Elliott","DAL","7","5","5","","5","5","5.0"
"6","6","Nick Chubb","CLE","13","6","6","","6","6","6.0"
"7","7","Aaron Jones","GB","13","7","8","","7","9","7.3"
"8","9","Jonathan Taylor","IND","14","8","7","","8","8","7.7"
"9","10","Saquon Barkley","NYG","10","9","9","","9","7","9.0"
"10","14","Najee Harris","PIT","7","11","11","","10","10","10.7"
"11","15","Austin Ekeler","LAC","7","10","12","","11","11","11.0"
"12","17","Antonio Gibson","WAS","9","12","10","","12","13","11.3"
"13","19","Joe Mixon","CIN","10","13","13","","13","12","13.0"
"14","22","Clyde Edwards-Helaire","KC","12","14","14","","14","14","14.0"
"15","27","David Montgomery","CHI","10","17","15","","15","15","15.7"
"16","28","Josh Jacobs","LV","8","16","16","","16","16","16.0"
"17","29","Chris Carson ","","","15","17","","17","17","16.3"
"18","32","James Robinson","NYJ","6 ","19","18","","18","18","18.3"
"19","35","Miles Sanders","PHI","14","18","19","","19","20","18.7"
"20","39","D'Andre Swift","DET","9","20","20","","20","19","20.0"
"21","45","Myles Gaskin","MIA","14","21","21","","22","22","21.3"
"22","52","Mike Davis","","","24","23","","23","26","23.3"
"23","56","Raheem Mostert","MIA","14 ","22","24","","26","24","24.0"
"24","49","Kareem Hunt","CLE","13","23","22","","28","21","24.3"
"25","58","Darrell Henderson Jr.","","","28","26","","21","25","25.0"
"26","63","Damien Harris","NE","14","27","27","","25","29","26.3"
"27","61","Javonte Williams","DEN","11","31","25","","24","28","26.7"
"28","64","Gus Edwards","BAL","8 ","26","28","","27","30","27.0"
"29","62","Chase Edmonds","DEN","11","25","29","","29","23","27.7"
"30","70","Melvin Gordon III","KC","12","30","30","","31","27","30.3"
"31","78","Trey Sermon","PHI","14","32","34","","30","32","32.0"
"32","76","Ronald Jones II","KC","12","33","31","","32","31","32.0"
"33","79","Leonard Fournette","TB","9","29","32","","36","33","32.3"
"34","92","James Conner","ARI","12","34","33","","38","36","35.0"
"35","89","AJ Dillon","GB","13","39","35","","33","35","35.7"
"36","90","Zack Moss","IND","14","35","38","","34","34","35.7"
"37","99","Devin Singletary","BUF","7","36","36","","37","41","36.3"
"38","95","Michael Carter","NYJ","6","38","37","","35","37","36.7"
"39","105","Sony Michel","","","37","42","","39","39","39.3"
"40","111","Jamaal Williams","DET","9","41","40","","40","42","40.3"
"41","109","Kenyan Drake","BAL","8 ","40","39","","43","40","40.7"
"42","112","David Johnson","NO","6","42","41","","41","38","41.3"
"43","126","Tony Pollard","DAL","7","44","43","","42","46","43.0"
"44","140","Alexander Mattison","MIN","7","48","45","","45","50","46.0"
"45","143","J.D. McKissic","WAS","9","43","46","","50","52","46.3"
"46","136","Nyheim Hines","BUF","7","47","44","","51","44","47.3"
"47","146","Tevin Coleman","SF","6","50","47","","48","49","48.3"
"48","144","Rhamondre Stevenson","NE","14","52","53","","46","45","50.3"
"49","155","Phillip Lindsay","","","45","80","","44","43","56.3"
"50","156","Latavius Murray","DEN","11","49","59","","49","48","52.3"
"51","165","Chuba Hubbard","CAR","13","","48","","47","47","47.5"
"52","170","James White ","","","51","50","","63","62","54.7"
"53","174","Rashaad Penny","SEA","9","","49","","52","51","50.5"
"54","169","Mark Ingram II","NO","6","46","64","","60","58","56.7"
"55","183","Giovani Bernard","TB","9","","56","","53","61","54.5"
"56","186","Kenneth Gainwell","PHI","14","","60","","56","54","58.0"
"57","192","Tony Jones Jr.","SEA","9","","58","","59","57","58.5"
"58","205","Ty'Son Williams","ARI","12","","51","","","56","51.0"
"59","202","Damien Williams","","","","52","","66","70","59.0"
"60","191","Marlon Mack","DEN","11","","54","","64","55","59.0"
"61","209","Darrynton Evans","CHI","10 ","","70","","54","146","62.0"
"62","235","Anthony McFarland Jr.","PIT","7","","55","","","180","55.0"
"63","198","Darrel Williams","ARI","12","","68","","55","59","61.5"
"64","214","Ty Johnson","NYJ","6","","57","","","64","57.0"
"65","216","Wayne Gallman Jr.","SEA","9","","79","","57","123","68.0"
"66","199","Devontae Booker","","","","78","","58","53","68.0"
"67","227","Salvon Ahmed","MIA","14","","61","","","71","61.0"
"68","207","Malcolm Brown","LAR","11","","73","","61","68","67.0"
"69","247","Jaret Patterson","WAS","9","","62","","","129","62.0"
"70","218","J.J. Taylor","NE","14","","75","","62","132","68.5"
"71","248","Elijah Mitchell","SF","6","","63","","","183","63.0"
"72","253","Benny Snell Jr.","PIT","7","","65","","","164","65.0"
"73","238","Justin Jackson","DET","9","","82","","65","135","73.5"
"74","254","Javian Hawkins","TEN","13","","66","","","198","66.0"
"75","255","Brian Hill","","","","67","","","189","67.0"
"76","229","Todd Gurley II","","","","69","","","66","69.0"
"77","259","Joshua Kelley","LAC","7","","71","","","177","71.0"
"78","243","Tarik Cohen","","","","72","","","73","72.0"
"79","228","Carlos Hyde ","","","","76","","","60","76.0"
"80","244","Boston Scott","PHI","14","","77","","","67","77.0"
"81","290","La'Mical Perine","MIA","14","","81","","","193","81.0"
"82","293","Qadree Ollison","DAL","7","","83","","","161","83.0"
