"RB","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","1","Todd Gurley II","","","1","1","1","1","","1.2"
"2","2","Le'Veon Bell ","","","2","2","3","2","","2.0"
"3","3","David Johnson","NO","6","4","4","2","3","","3.3"
"4","4","Ezekiel Elliott","DAL","8","3","3","4","4","","3.5"
"5","7","Alvin Kamara","NO","6","6","5","5","6","","5.5"
"6","6","Saquon Barkley","NYG","9","5","6","6","5","","5.5"
"7","8","Leonard Fournette","TB","5","7","7","8","7","","7.7"
"8","9","Kareem Hunt","CLE","11","8","8","7","9","","7.8"
"9","11","Melvin Gordon III","KC","12","9","9","9","8","","8.5"
"10","13","Dalvin Cook","MIN","10","10","10","11","10","","10.3"
"11","15","Christian McCaffrey","SF","11","11","13","10","11","","11.3"
"12","17","Devonta Freeman","","","12","12","12","13","","12.2"
"13","20","Jordan Howard","","","13","11","14","12","","13.0"
"14","26","LeSean McCoy","","","15","14","15","17","","14.2"
"15","23","Joe Mixon","CIN","9","14","15","13","14","","14.7"
"16","31","Alex Collins ","","","17","19","17","16","","17.5"
"17","33","Kenyan Drake","BAL","10","19","18","16","20","","18.0"
"18","35","Derrick Henry","TEN","8","20","16","20","15","","18.5"
"19","37","Jay Ajayi ","","","18","17","19","22","","19.7"
"20","40","Royce Freeman","HOU","10","22","23","18","18","","20.3"
"21","45","Lamar Miller","","","21","22","21","21","","21.0"
"22","51","Mark Ingram II","NO","6 ","26","21","22","24","","23.2"
"23","57","Marshawn Lynch ","","","23","27","28","23","","25.3"
"24","61","Dion Lewis","","","31","25","23","30","","27.7"
"25","58","Carlos Hyde","","","28","24","24","25","","27.8"
"26","63","Tevin Coleman","SF","11","30","29","29","32","","28.7"
"27","62","Kerryon Johnson ","","","25","31","30","27","","28.8"
"28","67","Jamaal Williams","DET","6","24","34","33","26","","30.0"
"29","72","Sony Michel","","","27","26","32","35","","30.5"
"30","69","Rex Burkhead","HOU","10","29","36","27","28","","30.5"
"31","79","Rashaad Penny","SEA","7","32","20","36","33","","30.8"
"32","92","Chris Thompson","","","42","39","25","40","","34.8"
"33","82","Chris Carson","","","34","42","26","29","","34.8"
"34","89","Isaiah Crowell ","","","40","33","31","34","","34.8"
"35","90","Tarik Cohen","","","37","30","35","41","","35.3"
"36","96","Marlon Mack","DEN","10","36","32","38","37","","35.5"
"37","99","Ronald Jones II","KC","12","41","28","40","39","","36.5"
"38","97","Peyton Barber","","","35","48","41","31","","39.3"
"39","106","Duke Johnson Jr.","BUF","11","38","37","34","49","","39.7"
"40","102","Adrian Peterson","","","33","40","49","36","","41.2"
"41","112","Nick Chubb","CLE","11","46","35","44","45","","43.0"
"42","114","C.J. Anderson","","","48","38","39","44","","43.7"
"43","111","Aaron Jones","GB","7 ","45","41","43","38","","44.0"
"44","117","James White","","","43","55","42","47","","44.7"
"45","124","Devontae Booker","","","49","43","46","54","","47.2"
"46","133","Ty Montgomery","NE","11","54","45","47","50","","48.8"
"47","130","Latavius Murray","DEN","10","44","44","53","43","","49.0"
"48","139","Bilal Powell ","","","52","50","54","51","","50.3"
"49","125","Matt Breida","NYG","9 ","51","53","48","52","","50.5"
"50","132","Corey Clement","ARI","9","55","49","51","46","","50.5"
"51","144","Giovani Bernard","TB","5","47","52","50","57","","50.8"
"52","141","LeGarrette Blount","","","53","47","57","42","","51.2"
"53","122","Alfred Morris","","","39","59","60","48","","52.3"
"54","156","Doug Martin","","","58","51","56","53","","56.7"
"55","168","D'Onta Foreman","CAR","4","65","46","59","59","","58.5"
"56","164","Austin Ekeler","LAC","8","64","62","55","61","","58.7"
"57","153","James Conner","ARI","9","56","64","62","56","","60.0"
"58","183","Frank Gore ","","","66","58","68","62","","62.0"
"59","187","Theo Riddick","","","63","57","45","","","53.8"
"60","181","Spencer Ware","","","62","66","66","64","","64.3"
