"TE","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","12","Rob Gronkowski","","","","1","","1","","1.0"
"2","25","Jimmy Graham","","","","2","","2","","2.0"
"3","43","Greg Olsen","","","","3","","3","","3.0"
"4","49","Travis Kelce","KC","9","","4","","4","","4.0"
"5","61","Martellus Bennett","","","","5","","5","","5.3"
"6","74","Jason Witten","","","","6","","8","","6.8"
"7","86","Jordan Cameron","","","","9","","6","","8.2"
"8","105","Delanie Walker","","","","11","","10","","10.2"
"9","107","Julius Thomas","","","","12","","12","","11.2"
"10","122","Dwayne Allen","","","","7","","14","","11.5"
"11","112","Zach Ertz","ARI","9","","10","","13","","11.7"
"12","119","Owen Daniels","","","","14","","7","","12.2"
"13","124","Antonio Gates","","","","8","","15","","13.2"
"14","137","Tyler Eifert","","","","15","","9","","14.5"
"15","147","Kyle Rudolph","TB","6","","17","","11","","15.2"
"16","149","Coby Fleener","","","","18","","","","13.8"
"17","150","Vernon Davis","","","","16","","17","","16.8"
"18","166","Heath Miller","","","","20","","","","16.2"
"19","178","Richard Rodgers","LAC","","","21","","18","","20.2"
"20","193","Josh Hill","","","","13","","16","","19.2"
"21","186","Charles Clay","","","","23","","","","18.3"
"22","204","Larry Donnell","","","","22","","","","20.8"
"23","216","Austin Seferian-Jenkins","","","","24","","","","23.2"
"24","215","Eric Ebron","","","","19","","","","21.8"
"25","217","Jared Cook","","","","32","","","","22.3"
"26","224","Jordan Reed","","","","25","","","","24.8"
"27","243","Ladarius Green","","","","26","","","","25.0"
"28","248","Virgil Green","","","","31","","","","27.0"
"29","297","Maxx Williams","ARI","9","","27","","","","27.0"
"30","279","Mychal Rivera","","","","38","","","","31.7"
"31","306","Scott Chandler","","","","28","","","","28.0"
"32","309","Benjamin Watson","","","","29","","","","29.0"
"33","314","Andrew Quarless","","","","30","","","","30.0"
"34","330","Garrett Graham","","","","33","","","","33.0"
"35","332","Clive Walford","","","","34","","","","34.0"
"36","337","Gavin Escobar","","","","35","","","","35.0"
"37","338","Jacob Tamme","","","","36","","","","36.0"
"38","339","Jace Amaro","","","","37","","","","37.0"
"39","343","James Casey","","","","39","","","","39.0"
"40","346","Lance Kendricks","","","","40","","","","40.0"
"41","351","Dion Sims","","","","41","","","","41.0"
"42","353","Brent Celek","","","","42","","","","42.0"
"43","354","Marcedes Lewis","GB","7","","43","","","","43.0"
"44","356","Crockett Gillmore","","","","44","","","","44.0"
"45","374","Jeff Cumberland","","","","45","","","","45.0"
"46","382","Joseph Fauria","","","","46","","","","46.0"
"47","386","Tim Wright","","","","47","","","","47.0"
"48","411","Gary Barnidge","","","","48","","","","48.0"
"49","413","Rob Housler","","","","49","","","","49.0"
"50","418","Tyler Kroft","SF","10","","50","","","","50.0"
"51","419","Brandon Pettigrew","","","","51","","","","51.0"
"52","425","Dan Gronkowski","","","","53","","","","53.0"
""
""
