"WR","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","6","Antonio Brown","","","","1","","1","","1.0"
"2","7","Dez Bryant","","","","2","","2","","2.3"
"3","14","Demaryius Thomas","","","","3","","4","","3.5"
"4","16","Julio Jones","TB","6","","5","","3","","4.3"
"5","17","Odell Beckham Jr.","","","","4","","5","","4.3"
"6","18","Calvin Johnson","","","","6","","6","","5.5"
"7","21","A.J. Green","ARI","9","","7","","8","","7.5"
"8","20","Randall Cobb","GB","7","","8","","7","","7.8"
"9","22","T.Y. Hilton","DAL","6","","9","","9","","9.5"
"10","24","Alshon Jeffery","","","","10","","12","","10.3"
"11","27","Mike Evans","TB","6","","11","","13","","11.8"
"12","30","Brandin Cooks","HOU","9","","12","","10","","12.5"
"13","32","Emmanuel Sanders","","","","13","","16","","13.2"
"14","37","Jordan Matthews","SF","10","","15","","11","","14.2"
"15","33","DeAndre Hopkins","ARI","9","","14","","14","","14.2"
"16","41","Andre Johnson","","","","17","","17","","18.0"
"17","42","Amari Cooper","CLE","11","","16","","19","","19.0"
"18","45","Julian Edelman","","","","21","","24","","19.2"
"19","47","Golden Tate","","","","18","","20","","20.0"
"20","50","Keenan Allen","LAC","","","20","","23","","21.7"
"21","53","DeSean Jackson","BAL","9","","22","","30","","22.2"
"22","51","Jeremy Maclin","","","","24","","18","","22.2"
"23","59","Brandon Marshall","","","","23","","22","","23.8"
"24","57","Sammy Watkins","BAL","9","","19","","26","","24.0"
"25","60","Jarvis Landry","NO","11","","25","","21","","24.8"
"26","62","Davante Adams","LV","","","28","","15","","25.2"
"27","66","Vincent Jackson","","","","26","","32","","27.5"
"28","75","Martavis Bryant","","","","27","","28","","30.8"
"29","82","Nelson Agholor","NE","4","","30","","25","","31.5"
"30","79","Allen Robinson II","LAR","","","31","","27","","31.7"
"31","81","Mike Wallace","","","","29","","35","","32.0"
"32","85","Steve Smith","","","","36","","33","","33.8"
"33","89","Charles Johnson","","","","33","","29","","36.0"
"34","92","Larry Fitzgerald","","","","35","","36","","36.0"
"35","93","Roddy White","","","","34","","42","","36.3"
"36","96","John Brown","BUF","8","","42","","31","","37.8"
"37","98","Victor Cruz","","","","32","","34","","38.3"
"38","101","Eric Decker","","","","37","","41","","40.2"
"39","103","Torrey Smith","","","","38","","50","","40.7"
"40","104","Anquan Boldin","","","","40","","45","","40.7"
"41","115","Michael Floyd","","","","45","","51","","44.2"
"42","114","Marques Colston","","","","41","","48","","44.2"
"43","116","Devin Funchess","","","","43","","38","","45.2"
"44","120","Kendall Wright","","","","46","","46","","46.5"
"45","118","Pierre Garcon","","","","44","","49","","47.0"
"46","145","Jordy Nelson","","","","79","","","","32.8"
"47","130","Terrance Williams","","","","39","","40","","49.3"
"48","139","Brandon LaFell","","","","59","","52","","44.4"
"49","146","Eddie Royal","","","","53","","39","","50.3"
"50","141","DeVante Parker","NE","4","","47","","47","","52.0"
"51","156","Michael Crabtree","","","","52","","57","","54.0"
"52","153","Percy Harvin","","","","49","","59","","54.5"
"53","157","Breshad Perriman","TB","6","","51","","54","","55.3"
"54","163","Cody Latimer","","","","54","","64","","57.5"
"55","168","Doug Baldwin","","","","50","","","","54.0"
"56","181","Markus Wheaton","","","","86","","37","","59.5"
"57","179","Brian Quick","","","","61","","44","","59.3"
"58","171","Steve Johnson","","","","56","","43","","55.8"
"59","180","Kelvin Benjamin","","","","112","","","","53.3"
"60","175","Dorial Green-Beckham","","","","62","","58","","60.7"
"61","177","Tyler Lockett","SEA","9","","74","","60","","58.8"
"62","187","Kenny Stills","","","","48","","","","57.5"
"63","191","Kevin White","NO","11","","78","","","","51.3"
"64","202","Malcom Floyd","","","","55","","","","62.0"
"65","192","Brandon Coleman","","","","60","","53","","62.2"
"66","195","Marvin Jones Jr.","JAC","8","","64","","55","","62.8"
"67","196","Rueben Randle","","","","69","","62","","63.2"
"68","199","Donte Moncrief","","","","65","","","","60.0"
"69","209","Phillip Dorsett II","HOU","9","","68","","65","","65.0"
"70","205","James Jones","","","","57","","63","","57.3"
"71","208","Ty Montgomery","NE","4","","58","","56","","60.0"
"72","219","Reggie Wayne","","","","76","","","","64.5"
"73","226","Mohamed Sanu Sr.","","","","66","","","","61.3"
"74","236","Cordarrelle Patterson","ATL","10","","63","","","","62.3"
"75","238","Cecil Shorts","","","","70","","","","62.5"
"76","241","Jaelen Strong","","","","87","","","","67.0"
"77","234","Dwayne Bowe","","","","84","","","","70.0"
"78","233","Wes Welker","","","","116","","","","82.0"
"79","237","Jeff Janis","","","","109","","61","","80.3"
"80","264","Cole Beasley","BUF","8","","71","","","","70.5"
"81","261","Tavon Austin","","","","83","","","","75.0"
"82","245","Allen Hurns","","","","88","","66","","76.7"
"83","265","Danny Amendola","","","","91","","","","78.0"
"84","260","Stedman Bailey","","","","67","","","","67.0"
"85","257","Kenny Britt","","","","72","","","","73.5"
"86","267","Greg Jennings","","","","94","","","","80.7"
"87","268","Sammie Coates","","","","73","","","","73.0"
"88","266","Andrew Hawkins","","","","85","","","","79.0"
"89","326","Robert Woods","TEN","4","","103","","","","88.0"
"90","263","Leonard Hankerson","","","","75","","","","76.0"
"91","359","Devin Hester","","","","111","","","","93.0"
"92","274","Aaron Dobson","","","","77","","","","77.0"
"93","281","Taylor Gabriel","","","","80","","","","80.0"
"94","293","Riley Cooper","","","","81","","","","81.0"
"95","294","Justin Hardy","","","","82","","","","82.0"
"96","303","Jermaine Kearse","","","","89","","","","89.0"
"97","304","Marqise Lee","","","","90","","","","90.0"
"98","311","Devin Smith","","","","92","","","","92.0"
"99","313","Kamar Aiken","","","","93","","","","93.0"
"100","316","Jamison Crowder","BUF","8","","95","","","","95.0"
"101","318","De'Anthony Thomas","","","","96","","","","96.0"
"102","319","Nick Toon","","","","97","","","","97.0"
"103","320","Marlon Brown","","","","98","","","","98.0"
"104","321","Harry Douglas","","","","99","","","","99.0"
"105","322","Chris Conley","TEN","4","","100","","","","100.0"
"106","324","Brian Hartline","","","","101","","","","101.0"
"107","325","Josh Gordon","","","","102","","","","102.0"
"108","328","Justin Hunter","","","","104","","","","104.0"
"109","335","Jarius Wright","","","","105","","","","105.0"
"110","336","Hakeem Nicks","","","","106","","","","106.0"
"111","340","Marquess Wilson","","","","107","","","","107.0"
"112","344","Corey Brown","","","","108","","","","108.0"
"113","345","Nate Washington","","","","110","","","","110.0"
"114","360","Jerricho Cotchery","","","","113","","","","113.0"
"115","366","Chris Hogan","","","","114","","","","114.0"
"116","369","Rashad Ross","","","","115","","","","115.0"
"117","371","Ricardo Lockette","","","","117","","","","117.0"
"118","376","Andre Caldwell","","","","118","","","","118.0"
"119","380","J.J. Nelson","","","","119","","","","119.0"
"120","389","Ted Ginn Jr.","","","","120","","","","120.0"
"121","393","Andre Roberts","CAR","5","","121","","","","121.0"
"122","403","Josh Huff","","","","122","","","","122.0"
"123","404","Deonte Thompson","","","","123","","","","123.0"
"124","407","Miles Austin","","","","124","","","","124.0"
"125","422","Lance Moore","","","","125","","","","125.0"
"126","423","Greg Salas","","","","126","","","","126.0"
"127","424","Corey Fuller","","","","127","","","","127.0"
""
""
