"QB","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","8","Andrew Luck","","","2","1","","1","","1","","1.3"
"2","13","Aaron Rodgers","GB","7","1","2","","2","","2","","1.7"
"3","29","Peyton Manning","","","3","5","","3","","3","","3.5"
"4","34","Russell Wilson","DEN","7","4","3","","5","","6","","4.3"
"5","35","Drew Brees","","","6","4","","4","","4","","4.5"
"6","44","Ben Roethlisberger","","","7","6","","6","","5","","6.7"
"7","54","Matt Ryan","IND","10","8","8","","8","","8","","7.5"
"8","56","Tony Romo","","","9","7","","7","","9","","8.0"
"9","58","Tom Brady","TB","6","5","9","","11","","7","","8.7"
"10","73","Matthew Stafford","LAR","","13","13","","9","","11","","10.5"
"11","84","Cam Newton","","","10","11","","14","","15","","12.2"
"12","83","Eli Manning","","","14","10","","10","","13","","12.2"
"13","87","Ryan Tannehill","TEN","4","11","12","","18","","12","","12.5"
"14","95","Philip Rivers","","","15","14","","12","","14","","13.8"
"15","100","Sam Bradford","","","12","15","","13","","10","","14.2"
"16","117","Teddy Bridgewater","MIA","5","16","16","","15","","16","","16.3"
"17","138","Joe Flacco","NYJ","5","18","27","","17","","18","","18.7"
"18","131","Colin Kaepernick","","","17","23","","16","","19","","19.0"
"19","151","Jay Cutler","","","22","28","","20","","21","","20.5"
"20","142","Carson Palmer","","","24","26","","19","","17","","20.5"
"21","158","Marcus Mariota","ATL","10","19","21","","21","","22","","21.8"
"22","164","Alex Smith","","","23","17","","22","","","","21.2"
"23","167","Jameis Winston","NO","11","21","20","","23","","","","22.2"
"24","173","Derek Carr","LV","","20","18","","26","","","","22.6"
"25","184","Nick Foles","IND","10","","19","","27","","","","23.0"
"26","190","Andy Dalton","NO","11","","25","","24","","","","23.3"
"27","218","Tyrod Taylor","NYG","11","","","","28","","20","","25.7"
"28","223","Blake Bortles","","","","22","","38","","","","29.0"
"29","228","Kirk Cousins","MIN","5","","","","25","","","","26.5"
"30","244","Robert Griffin III","","","","24","","31","","","","27.5"
"31","270","Ryan Mallett","","","","","","29","","","","29.0"
"32","272","Ryan Fitzpatrick","","","","","","30","","","","30.0"
"33","289","Brian Hoyer","NE","4","","","","32","","","","32.0"
"34","291","Josh McCown","","","","","","33","","","","33.0"
"35","296","Mark Sanchez","","","","","","34","","","","34.0"
"36","299","Johnny Manziel","","","","","","35","","","","35.0"
"37","301","Brandon Weeden","","","","","","36","","","","36.0"
"38","305","Brock Osweiler","","","","","","37","","","","37.0"
"39","315","Geno Smith","SEA","9","","","","39","","","","39.0"
"40","317","Jimmy Garoppolo","SF","10","","","","40","","","","40.0"
"41","327","Jimmy Clausen","","","","","","41","","","","41.0"
"42","331","E.J. Manuel","","","","","","42","","","","42.0"
"43","333","Tim Tebow","","","","","","43","","","","43.0"
"44","334","Matt Cassel","","","","","","44","","","","44.0"
"45","358","Blaine Gabbert","TB","6","","","","45","","","","45.0"
"46","362","Drew Stanton","","","","","","46","","","","46.0"
"47","363","AJ McCarron","","","","","","47","","","","47.0"
"48","367","Derek Anderson","","","","","","48","","","","48.0"
"49","368","Shaun Hill","","","","","","49","","","","49.0"
"50","388","Matt Hasselbeck","","","","","","50","","","","50.0"
"51","390","Ryan Nassib","","","","","","51","","","","51.0"
"52","391","Luke McCown","","","","","","52","","","","52.0"
"53","392","Matt McGloin","","","","","","53","","","","53.0"
"54","394","Kellen Clemens","","","","","","54","","","","54.0"
"55","395","Colt McCoy","ARI","9","","","","55","","","","55.0"
"56","396","Vince Young","","","","","","56","","","","56.0"
"57","397","Sean Renfree","","","","","","57","","","","57.0"
"58","399","Matt Schaub","","","","","","58","","","","58.0"
"59","400","Matt Moore","","","","","","59","","","","59.0"
"60","402","Michael Vick","","","","","","60","","","","60.0"
"61","405","Tarvaris Jackson","","","","","","61","","","","61.0"
"62","406","Scott Tolzien","","","","","","62","","","","62.0"
"63","408","Mike Glennon","MIA","5","","","","63","","","","63.0"
"64","410","T.J. Yates","","","","","","64","","","","64.0"
"65","421","Landry Jones","","","","","","65","","","","65.0"
"66","426","Dan Orlovsky","","","","","","66","","","","66.0"
""
""
