"WR","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"31","71","Julian Edelman ","","","32","31","30","31","","31.8"
"32","77","William Fuller V ","","","36","33","28","28","","32.2"
"33","80","Sammy Watkins","BAL","10","28","28","39","33","","33.7"
"34","86","Robert Woods","TEN","8","35","30","38","44","","34.2"
"35","85","Devin Funchess","","","34","26","37","35","","35.0"
"36","87","Cooper Kupp","LAR","12 ","37","36","36","37","","35.3"
"37","84","Jordy Nelson","","","30","34","40","36","","35.7"
"38","98","Pierre Garcon ","","","43","35","34","45","","36.3"
"39","95","Robbie Anderson","ARI","9","38","42","35","34","","38.3"
"40","104","Randall Cobb","GB","7","41","39","41","40","","39.3"
"41","105","Jamison Crowder","BUF","11","46","41","32","43","","40.2"
"42","103","Nelson Agholor","NE","11","39","44","42","38","","41.3"
"43","108","Sterling Shepard","NYG","9","45","43","44","46","","43.5"
"44","113","Kelvin Benjamin","","","47","45","43","41","","44.7"
"45","115","Kenny Stills","","","44","52","45","42","","45.5"
"46","119","DeVante Parker","NE","11","40","40","46","57","","46.0"
"47","118","Calvin Ridley","JAC","9","48","46","52","48","","48.5"
"48","121","Allen Hurns","","","52","47","47","50","","49.5"
"49","128","DJ Moore","CAR","4","54","49","50","47","","51.5"
"50","123","Mike Williams","LAC","8","49","59","48","39","","51.8"
"51","143","Kenny Golladay","NYG","9","55","55","55","49","","54.3"
"52","142","Michael Gallup","DAL","8","60","57","49","52","","54.5"
"53","145","Josh Doctson","","","50","58","56","63","","56.5"
"54","151","Mohamed Sanu Sr.","","","53","60","67","59","","56.8"
"55","148","Tyler Lockett","SEA","7","57","61","60","55","","57.5"
"56","165","Rishard Matthews","","","62","54","62","70","","60.2"
"57","158","John Brown","BUF","11","64","75","57","51","","62.2"
"58","162","Anthony Miller","PIT","7","66","63","59","60","","62.8"
"59","131","Keelan Cole Sr.","LV","","42","67","53","53","","52.2"
"60","169","Dede Westbrook","","","69","62","54","64","","64.5"
"61","178","Cameron Meredith ","","","68","53","51","54","","57.8"
"62","189","DeSean Jackson","BAL","10","56","56","65","","","58.2"
"63","182","Courtland Sutton","DEN","10","76","68","72","68","","70.3"
"64","161","Chris Godwin","TB","5","67","71","58","56","","62.4"
"65","199","Ted Ginn Jr.","","","51","66","84","","","62.8"
"66","197","Martavis Bryant ","","","72","51","69","65","","63.0"
"67","175","Tyrell Williams","","","63","72","66","67","","65.0"
"68","174","Geronimo Allison ","","","65","69","70","61","","65.2"
"69","214","Dez Bryant ","","","59","48","64","","","53.5"
"70","202","Paul Richardson Jr. ","","","71","65","61","","","66.6"
"71","204","John Ross","","","61","88","63","58","","67.4"
"72","219","Marqise Lee ","","","58","50","68","","","56.0"
"73","209","Christian Kirk","JAC","9 ","70","64","71","69","","69.0"
"74","217","Danny Amendola","","","75","80","74","66","","70.2"
"75","216","Donte Moncrief","","","78","74","80","62","","73.5"
"76","243","Cole Beasley","BUF","11","73","79","88","","","75.3"
"77","233","James Washington","","","77","70","79","","","75.3"
"78","253","Mike Wallace ","","","81","101","81","","","81.8"
"79","264","Terrance Williams","","","74","98","99","","","84.8"
"80","276","Jermaine Kearse","","","87","94","93","","","86.8"
"81","239","Phillip Dorsett II","HOU","10","83","73","73","","","76.3"
"82","265","Ryan Grant ","","","80","87","75","","","80.7"
"83","247","Tre'Quan Smith","NO","6","79","93","78","","","83.3"
"84","257","Quincy Enunwa","","","88","96","76","","","86.7"
"85","255","Brandon Marshall","","","85","92","83","","","86.7"
"86","259","Taywan Taylor","","","86","102","77","","","88.3"
"87","271","Travis Benjamin","","","84","83","103","","","90.0"
"88","269","Cordarrelle Patterson","ATL","8","82","105","89","","","92.0"
"89","277","Terrelle Pryor Sr.","","","","82","85","","","83.5"
"90","282","Albert Wilson","LV"," ","","84","87","","","85.5"
"91","284","Antonio Callaway","DAL","8","89","112","90","","","97.0"
"92","289","Tavon Austin","","","","76","97","","","86.5"
"93","288","Zay Jones","JAC","9","","78","95","","","86.5"
"94","290","Kevin White","N","6 O","","85","92","","","88.5"
"95","292","Corey Coleman","","","","86","91","","","88.5"
"96","286","Dante Pettis","CHI","5 ","","99","86","","","92.5"
"97","308","Willie Snead IV","SF","11","","81","114","","","97.5"
"98","306","Jordan Matthews","SF","11","","77","","","","77.0"
"99","314","J'Mon Moore","","","","104","96","","","100.0"
"100","321","Adam Humphries","","","90","120","111","","","107.0"
"101","310","Jaron Brown","","","","97","105","","","101.0"
"102","317","Laquon Treadwell","SEA","7","","109","94","","","101.5"
"103","316","DJ Chark Jr.","DET","6","","103","101","","","102.0"
"104","322","Pharoh Cooper","ARI","9","","90","","","","90.0"
"105","323","Keke Coutee","IND","9","","91","118","","","104.5"
"106","327","Torrey Smith","","","","115","98","","","106.5"
"107","329","Trent Taylor","CIN","9","","107","106","","","106.5"
"108","326","Chester Rogers","","","","95","","","","95.0"
"109","380","Jake Kumerow","BUF","11","","","100","","","100.0"
"110","332","Brandon Zylstra","DET","6","","100","","","","100.0"
"111","342","Chad Williams","","","","111","108","","","109.5"
"112","341","J.J. Nelson","","","","110","109","","","109.5"
"113","344","Rashard Higgins","CAR","4","","121","102","","","111.5"
"114","384","Bruce Ellington","","","","","104","","","104.0"
"115","348","Curtis Samuel","WAS","4","","108","115","","","111.5"
"116","351","Brice Butler","","","","113","112","","","112.5"
"117","359","Jeremy Maclin ","","","","116","110","","","113.0"
"118","361","Tyler Boyd","CIN","9","","123","107","","","115.0"
"119","358","Taylor Gabriel","","","","114","113","","","113.5"
"120","414","Marquez Valdes-Scantling","KC","12","","","116","","","116.0"
"121","371","Cody Latimer","","","","117","","","","117.0"
"122","409","DaeSean Hamilton","","","","130","117","","","123.5"
"123","376","Brandon LaFell ","","","","118","","","","118.0"
"124","377","Malcolm Mitchell","","","","119","","","","119.0"
"125","379","Equanimeous St. Brown","CHI","5","","122","","","","122.0"
"126","381","Javon Wims","ARI","9","","124","","","","124.0"
"127","385","Kendall Wright","","","","125","","","","125.0"
"128","392","David Moore","","","","126","","","","126.0"
"129","400","Deonte Thompson","","","","127","","","","127.0"
"130","405","Bennie Fowler III","","","","128","","","","128.0"
"131","406","Seth Roberts","","","","129","","","","129.0"
""
""
