"WR","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","5","Antonio Brown","","","1","1","1","1","","1.0"
"2","10","DeAndre Hopkins","ARI","9","2","2","2","2","","2.0"
"3","12","dell Beckham Jr. O","","","3","3","3","3","","3.0"
"4","14","Julio Jones","TB","5","4","4","4","4","","4.0"
"5","16","Michael Thomas","NO","6","6","6","5","5","","5.3"
"6","18","Davante Adams","LV","","5","5","7","6","","6.2"
"7","19","Keenan Allen","LAC","8","7","7","6","7","","6.7"
"8","22","A.J. Green","ARI","9 ","8","8","8","8","","7.8"
"9","25","Mike Evans","TB","5","10","9","9","9","","9.3"
"10","27","Tyreek Hill","MIA","11","9","10","10","10","","10.3"
"11","29","Stefon Diggs","BUF","11","11","12","13","11","","12.0"
"12","30","T.Y. Hilton","DAL","8","12","13","11","12","","12.2"
"13","32","Adam Thielen","MIN","10","14","11","12","15","","12.5"
"14","34","Amari Cooper","CLE","11","13","15","14","13","","14.5"
"15","38","Doug Baldwin","","","18","14","17","14","","15.5"
"16","42","Larry Fitzgerald","","","19","17","16","17","","16.5"
"17","41","JuJu Smith-Schuster","KC","12","15","18","18","16","","16.7"
"18","43","Jarvis Landry","NO","6","17","19","15","22","","18.3"
"19","46","Brandin Cooks","HOU","10","16","16","20","20","","19.8"
"20","47","Demaryius Thomas ","","","21","21","21","21","","19.8"
"21","50","Josh Gordon ","","","24","22","23","18","","21.3"
"22","52","Allen Robinson II","LAR","12","23","20","22","24","","22.2"
"23","54","Golden Tate","","","25","23","19","27","","22.5"
"24","53","Marvin Jones Jr.","JAC","9 ","20","24","25","25","","23.5"
"25","55","Chris Hogan","","","22","32","24","19","","24.7"
"26","65","Corey Davis","NYJ","11","27","29","27","26","","28.0"
"27","68","Michael Crabtree","","","31","27","31","32","","28.7"
"28","73","Alshon Jeffery","","","26","25","33","30","","29.3"
"29","64","Marquise Goodwin","SEA","7","29","37","26","23","","30.5"
"30","75","Emmanuel Sanders ","","","33","38","29","29","","31.7"
