"K","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","100","Stephen Gostkowski","","","1","","","1","","2","","1.3"
"2","105","Justin Tucker","BAL","10","2","","","2","","1","","1.8"
"3","108","Matt Bryant","","","3","","","3","","3","","2.8"
"4","124","Dan Bailey","","","5","","","4","","4","","4.3"
"5","138","Mason Crosby","GB","8","6","","","5","","6","","5.8"
"6","158","Adam Vinatieri","","","4","","","6","","11","","8.3"
"7","154","Wil Lutz","NO","5","16","","","8","","5","","9.3"
"8","167","Sebastian Janikowski","","","8","","","14","","9","","9.7"
"9","163","Cairo Santos","CHI","9","14","","","13","","7","","10.2"
"10","180","Matt Prater","ARI","8","7","","","9","","10","","11.0"
"11","172","Chris Boswell","PIT","9","12","","","10","","13","","11.8"
"12","157","Graham Gano","NYG","8","","","","7","","14","","9.6"
"13","185","Dustin Hopkins","LAC","9","11","","","11","","15","","13.0"
"14","201","Blair Walsh","","","10","","","12","","8","","13.2"
"15","195","Brandon McManus","DEN","5","","","","17","","12","","14.8"
"16","197","Stephen Hauschka","","","","","","16","","","","13.0"
"17","220","Caleb Sturgis","","","15","","","15","","","","16.0"
"18","224","Chandler Catanzaro","","","","","","26","","","","15.7"
"19","253","Phil Dawson","","","","","","18","","","","18.7"
"20","254","Josh Lambo","","","","","","23","","","","19.0"
"21","248","Nick Novak","","","","","","19","","","","19.3"
"22","","Harrison Butker","KC","10","9","","","","","","","9.0"
"23","258","Kai Forbath","LAR","8","","","","24","","","","21.3"
"24","","Younghoe Koo","ATL","5","13","","","","","","","13.0"
"25","274","Nick Folk","NE","9","","","","31","","","","23.3"
"26","339","Ryan Succop","TB","1","","","","22","","","","22.5"
"27","301","Aldrick Rosas","","","","","","20","","","","20.0"
"28","332","Zane Gonzalez","CAR","11","","","","21","","","","21.0"
"29","311","Mike Nugent","","","","","","","","","","22.0"
"30","324","Roberto Aguayo","","","","","","25","","","","25.0"
"31","325","Robbie Gould","SF","11","","","","28","","","","26.0"
"32","342","Greg Zuerlein","NYJ","11","","","","27","","","","27.0"
"33","381","Cody Parkey","","","","","","29","","","","29.0"
"34","383","Andrew Franks","","","","","","30","","","","30.0"
"35","389","Connor Barth","","","","","","32","","","","32.0"
"36","398","Randy Bullock","TEN","8","","","","33","","","","33.0"
"37","343","Jason Myers","SEA","6","","","","34","","","","34.0"
"38","404","Devon Bell","","","","","","35","","","","35.0"
""
""
