"K","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","129","Justin Tucker","BAL","7","2","1","","2","1","1","","1.2"
"2","130","Harrison Butker","KC","10","1","2","","1","2","2","","1.8"
"3","148","Wil Lutz","NO","6","3","3","","3","3","4","","3.0"
"4","159","Greg Zuerlein","NYJ","10","5","4","","4","4","3","","4.2"
"5","175","Robbie Gould","SF","11","6","5","","6","6","5","","5.4"
"6","196","Zane Gonzalez","CAR","13","8","7","","7","5","7","","7.2"
"7","198","Matt Prater","ARI","8","4","6","","8","12","10","","7.6"
"8","191","Younghoe Koo","ATL","10","10","18","","16","7","6","","9.8"
"9","197","Jake Elliott","PHI","9","9","11","","11","11","8","","10.2"
"10","230","Matt Gay","LAR","9","13","10","","5","14","9","","11.0"
"11","208","Mason Crosby","GB","5","12","9","","12","13","14","","12.0"
"12","200","Dan Bailey","","","15","16","","15","8","12","","13.0"
"13","193","Ka'imi Fairbairn","HOU","8","17","14","","9","15","11","","13.4"
"14","233","Jason Myers","SEA","6","22","19","","18","10","13","","16.2"
"15","284","Chris Boswell","PIT","4","7","15","","19","17","","","16.4"
"16","296","Stephen Gostkowski","","","14","12","","22","16","","","16.6"
"17","334","Ryan Succop","TB","13","16","20","","32","9","","","16.8"
"18","261","Michael Badgley","DET","5","37","8","","10","","","","17.6"
"19","212","Brandon McManus","DEN","5","18","17","","13","22","","","18.0"
"20","301","Josh Lambo ","","","20","13","","24","19","","","18.6"
"21","277","Joey Slye","WAS","8","","21","","17","21","","","19.8"
"22","340","Rodrigo Blankenship","","","11","","","35","20","","","22.0"
"23","271","Austin Seibert","","","19","","","14","","","","16.5"
"24","291","Stephen Hauschka","","","27","","","21","","","","24.3"
"25","298","Jason Sanders","MIA","7","28","","","23","","","","24.3"
"26","322","Daniel Carlson","LV","6","26","","","30","","","","24.7"
"27","289","Randy Bullock","TEN","4","","","","20","","","","20.5"
"28","318","Dustin Hopkins","LAC","6","21","","","27","","","","24.0"
"29","336","Tyler Bass","BUF","11","38","","","34","18","","","30.0"
"30","312","Sam Ficken","DET","5","32","","","26","","","","29.0"
"31","321","Eddy Pineiro","CAR","13","29","","","29","","","","29.0"
"32","","Chase McLaughlin","IND","7","","","","","","","","23.0"
"33","","Justin Rohrwasser","","","23","","","","","","","23.0"
"34","","Nick Folk","NE","5","24","","","","","","","24.0"
"35","","Adam Vinatieri","","","25","","","","","","","25.0"
"36","307","Sam Sloman","","","","","","25","","","","25.0"
"37","320","Aldrick Rosas","","","43","","","28","","","","35.5"
"38","","Sebastian Janikowski","","","30","","","","","","","30.0"
"39","","Cody Parkey","","","31","","","","","","","31.0"
"40","328","Elliott Fry","","","","","","31","","","","31.0"
"41","","Kai Forbath","LAR","9","33","","","","","","","33.0"
"42","335","Graham Gano","NYG","11","36","","","33","","","","34.5"
"43","","Mike Nugent","","","34","","","","","","","34.0"
"44","","Matt Bryant","","","35","","","","","","","35.0"
"45","","Phil Dawson","","","39","","","","","","","39.0"
"46","","Cairo Santos","CHI","11","40","","","","","","","40.0"
"47","","Giorgio Tavecchio","","","41","","","","","","","41.0"
"48","","Matt McCrane","","","42","","","","","","","42.0"
"49","","Brett Maher","DAL","10","44","","","","","","","44.0"
"50","","Chandler Catanzaro","","","45","","","","","","","45.0"
"51","","Caleb Sturgis","","","46","","","","","","","46.0"
""
""
