"WR","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"213","","Britain Covey","PHI","7","","","","","202","202.0"
"214","","Tre'Quan Smith","NO","14","","","","","203","203.0"
"215","","Adam Humphries","","","","","","","205","205.0"
"216","","Ashton Dulin","IND","14","","","","","208","208.0"
"217","","Nick Westbrook-Ikhine","TEN","6","","","","","209","209.0"
"218","","Kawaan Baker","NO","14","","","","","210","210.0"
"219","","Marquez Stevenson","CLE","9","","","","","214","214.0"
"220","","Calvin Austin III","PIT","9","","","","","217","217.0"
"221","","Khalil Shakir","BUF","7","","","","","219","219.0"
"222","","Tyquan Thornton","NE","10","","","","","221","221.0"
"223","","John Metchie III","HU","6 O","","","","","222","222.0"
"224","","DJ Turner","LV","6","","","","","225","225.0"
"225","","Andre Roberts","CAR","13","","","","","226","226.0"
"226","","Xavier Ubosi","","","","","","","228","228.0"
"227","","Jauan Jennings","SF","9","","","","","230","230.0"
"228","","Justyn Ross","KC","8 ","","","","","231","231.0"
"229","","Kyle Williams","","","","","","","232","232.0"
"230","","Jalen Guyton","LAC","8 ","","","","","233","233.0"
"231","","Kevin Shaa","","","","","","","234","234.0"
""
""
