"RB","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","1","Christian McCaffrey","SF","11","1","1","","1","","1.0"
"2","2","Saquon Barkley","NYG","11 ","2","3","","2","","2.3"
"3","3","Ezekiel Elliott","DAL","10","3","2","","3","","2.8"
"4","4","Derrick Henry","TEN","4","4","5","","4","","4.8"
"5","5","Dalvin Cook","MIN","7","5","4","","7","","5.3"
"6","7","Alvin Kamara","NO","6","6","6","","6","","5.5"
"7","9","Clyde Edwards-Helaire","KC","10","7","12","","5","","7.8"
"8","12","Josh Jacobs","LV","6","10","9","","8","","8.8"
"9","8","Nick Chubb","CLE","9","9","8","","9","","9.0"
"10","10","Joe Mixon","CIN","9","11","7","","10","","9.8"
"11","15","Aaron Jones","GB","5","8","11","","13","","11.0"
"12","22","Austin Ekeler","LAC","6","12","14","","14","","12.3"
"13","18","Kenyan Drake","BAL","7","14","10","","12","","12.5"
"14","19","Miles Sanders","PHI","9","13","13","","11","","12.5"
"15","27","Todd Gurley II","","","15","15","","18","","16.0"
"16","28","Chris Carson","","","18","16","","16","","16.8"
"17","35","James Conner","ARI","8","16","23","","15","","17.3"
"18","31","David Johnson","NO","6","19","19","","17","","18.5"
"19","32","Jonathan Taylor","IND","7","20","18","","19","","19.8"
"20","44","Le'Veon Bell","","","23","22","","21","","21.0"
"21","41","Melvin Gordon III","KC","10","24","20","","20","","21.0"
"22","43","Mark Ingram II","NO","6","22","21","","22","","21.5"
"23","46","Raheem Mostert","MIA","7 ","17","25","","23","","22.0"
"24","40","Leonard Fournette","TB","13","21","17","","25","","22.0"
"25","54","Devin Singletary","BUF","11","26","26","","24","","25.5"
"26","60","Cam Akers","LAR","9","25","28","","29","","26.5"
"27","64","David Montgomery","CHI","11","28","24","","26","","27.3"
"28","66","Kareem Hunt","CLE","9","27","30","","27","","27.8"
"29","68","D'Andre Swift","DET","5","29","27","","30","","29.0"
"30","84","J.K. Dobbins","BAL","7","30","38","","31","","31.8"
"31","79","Ronald Jones II","KC","10","35","35","","28","","33.0"
"32","85","Jordan Howard","","","31","31","","33","","33.0"
"33","88","Marlon Mack","DEN","5 ","36","33","","32","","34.0"
"34","89","Kerryon Johnson","","","34","32","","34","","35.0"
"35","93","Phillip Lindsay","","","38","34","","36","","35.3"
"36","90","Sony Michel","","","40","29","","35","","36.8"
