"K","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","120","Justin Tucker","BAL","10","1","1","","","1","","1","1.0"
"2","129","Evan McPherson","CIN","10","2","2","","","3","","2","4.0"
"3","149","Tyler Bass","BUF","7","8","3","","","4","","6","4.5"
"4","140","Daniel Carlson","LV","6","5","4","","","2","","4","4.8"
"5","155","Harrison Butker","KC","8","4","6","","","6","","3","5.0"
"6","148","Matt Gay","LAR","7","3","5","","","5","","5","6.0"
"7","169","Matt Prater","ARI","13","9","15","","","7","","7","9.3"
"8","197","Younghoe Koo","ATL","14","11","11","","","14","","9","9.5"
"9","249","Greg Joseph","MIN","7","10","7","","","8","","36","10.5"
"10","218","Nick Folk","NE","10","7","12","","","19","","11","12.0"
"11","232","Robbie Gould","SF","9","12","8","","","15","","14","12.0"
"12","201","Ryan Succop","TB","11","14","19","","","11","","12","12.3"
"13","180","Brandon McManus","DEN","9","6","20","","","9","","8","12.3"
"14","284","Chris Boswell","PIT","9","15","10","","","17","","35","13.5"
"15","209","Wil Lutz","NO","14","19","14","","","12","","13","16.0"
"16","264","Jake Elliott","PHI","7","18","18","","","13","","33","16.3"
"17","240","Cade York","CLE","9","16","13","","","18","","16","15.7"
"18","213","Rodrigo Blankenship","","","17","17","","","16","","10","17.5"
"19","","Mason Crosby","GB","14","20","","","","","","22","13.5"
"20","","Greg Zuerlein","NYJ","10","","9","","","","","43","9.0"
"21","216","Dustin Hopkins","LAC","8","","21","","","10","","15","17.7"
"22","","Graham Gano","NYG","9","13","","","","","","40","19.0"
"23","322","Jason Sanders","MIA","11","","16","","","20","","28","19.0"
"24","","Randy Bullock","TEN","6","","","","","","","49","15.0"
"25","","Austin Seibert","","","","","","","","","46","18.0"
"26","","Cairo Santos","CHI","14","","","","","","","44","23.0"
"27","","Brett Maher","DAL","9","","","","","","","32","24.0"
""
""
