"DST","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","84","Chicago Bears (6)","","","1","1","1","1","1","1","","1.0"
"2","111","Los Angeles Rams (9)","","","3","2","2","2","2","2","","2.2"
"3","125","Jacksonville Jaguars (10)","","","2","3","4","5","4","3","","3.7"
"4","126","Minnesota Vikings (12)","","","6","4","6","4","5","5","","5.0"
"5","133","Baltimore Ravens (8)","","","13","5","5","3","3","4","","5.2"
"6","156","New England Patriots (10)","","","9","7","7","8","10","9","","8.7"
"7","157","Houston Texans (10)","","","16","8","8","7","9","13","","9.0"
"8","162","Cleveland Browns (7)","","","10","6","10","13","7","6","","9.3"
"9","155","Denver Broncos (10)","","","11","20","9","11","8","8","","9.7"
"10","168","Los Angeles Chargers (12)","","","8","","3","6","6","","","6.0"
"11","176","New Orleans Saints (9)","","","4","12","12","9","12","","","10.5"
"12","163","Dallas Cowboys (8)","","","15","15","13","10","11","7","","12.3"
"13","161","Buffalo Bills (6)","","","5","23","16","12","16","12","","13.0"
"14","179","Philadelphia Eagles (10)","","","7","17","17","19","14","10","","14.2"
"15","192","Pittsburgh Steelers (7)","","","14","14","14","14","17","","","14.5"
"16","172","Seattle Seahawks (11)","","","17","21","11","15","13","11","","15.3"
"17","188","Kansas City Chiefs (12)","","","18","19","15","16","15","","","16.3"
"18","220","Green Bay Packers (11)","","","21","10","23","22","24","","","20.7"
"19","223","Tennessee Titans (11)","","","12","22","19","21","21","","","21.3"
"20","215","Indianapolis Colts (6)","","","20","24","20","20","22","","","21.3"
"21","254","San Francisco 49ers (4)","","","23","18","24","17","19","","","20.8"
"22","266","Atlanta Falcons (9)","","","26","11","18","27","","","","21.4"
"23","278","Carolina Panthers (7)","","","19","9","22","23","25","","","21.6"
"24","285","New York Jets (4)","","","25","","21","25","18","","","22.0"
"25","298","Detroit Lions (5)","","","30","13","25","26","20","","","22.8"
"26","237","Washington Commanders (10)","","","32","","26","24","23","","","24.4"
"27","325","New York Giants (11)","","","27","16","27","30","","","","25.0"
"28","277","Las Vegas Raiders ()","","","22","","","29","","","","24.7"
"29","276","Arizona Cardinals (12)","","","31","","","18","","","","24.5"
"30","307","Miami Dolphins (5)","","","24","","","28","","","","26.0"
"31","392","Tampa Bay Buccaneers (7)","","","28","","","31","","","","29.5"
"32","299","Cincinnati Bengals (9)","","","29","","","","","","","29.0"
""
""
