"RB","Overall","Player","Team","Bye","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","1","Saquon Barkley","NYG","11","1","1","","1","","1.0"
"2","2","Christian McCaffrey","SF","4","3","2","","2","","2.5"
"3","3","Alvin Kamara","NO","9","2","3","","3","","2.5"
"4","4","Ezekiel Elliott","DAL","8","4","4","","4","","4.0"
"5","6","James Conner","ARI","12","5","7","","5","","5.5"
"6","7","Le'Veon Bell","","","6","6","","7","","6.3"
"7","9","David Johnson","NO","9","7","5","","10","","7.3"
"8","10","Nick Chubb","CLE","7","9","9","","6","","8.0"
"9","11","Todd Gurley II","","","8","8","","9","","8.5"
"10","15","Dalvin Cook","MIN","12","10","11","","8","","10.0"
"11","19","Joe Mixon","CIN","9","11","10","","11","","10.5"
"12","21","Leonard Fournette","TB","7","12","12","","12","","12.0"
"13","25","Damien Williams","","","13","14","","14","","13.8"
"14","27","Kerryon Johnson","","","15","15","","16","","14.8"
"15","28","Aaron Jones","GB","11","14","13","","15","","15.0"
"16","30","Chris Carson ","","","19","20","","13","","16.8"
"17","32","Josh Jacobs","LV","","18","18","","17","","17.5"
"18","33","Devonta Freeman","","","17","19","","19","","17.8"
"19","36","Derrick Henry","TEN","11","16","16","","21","","18.8"
"20","39","Marlon Mack","DEN","10","20","17","","24","","20.5"
"21","38","David Montgomery","CHI","6","24","21","","18","","20.5"
"22","41","Mark Ingram II","NO","9","23","22","","22","","21.8"
"23","44","Sony Michel","","","22","26","","20","","22.8"
"24","48","Melvin Gordon III","KC","12","21","27","","23","","23.8"
"25","52","Phillip Lindsay","","","25","24","","26","","25.0"
"26","56","Tevin Coleman","SF","4","27","25","","25","","26.3"
"27","58","Austin Ekeler","LAC","12","30","23","","28","","27.5"
"28","64","James White","","","26","29","","31","","29.0"
"29","68","Miles Sanders","PHI","10","34","30","","27","","30.5"
"30","74","Kenyan Drake","BAL","8","35","31","","33","","31.3"
"31","70","Duke Johnson Jr.","BUF","6","33","36","","29","","31.3"
"32","73","Derrius Guice ","","","28","35","","30","","31.5"
"33","76","Tarik Cohen","","","29","28","","38","","31.8"
"34","83","Latavius Murray","DEN","10","38","34","","32","","34.5"
"35","87","Jordan Howard","","","32","32","","42","","36.8"
"36","94","LeSean McCoy","","","37","38","","39","","38.3"
"37","97","Matt Breida","NYG","11","42","41","","36","","38.5"
"38","100","Rashaad Penny","SEA","11 ","36","42","","40","","39.0"
"39","99","Devin Singletary","BUF","6","39","46","","37","","39.5"
"40","102","Darrell Henderson Jr.","","","46","33","","41","","40.0"
"41","107","Peyton Barber","","","41","45","","46","","42.3"
"42","112","Royce Freeman","HOU","10","45","37","","44","","42.8"
"43","110","Kareem Hunt","CLE","7","40","39","","43","","42.8"
"44","114","Tony Pollard","DAL","8","44","50","","34","","43.0"
"45","121","Darwin Thompson","SEA","11","48","55","","35","","45.3"
"46","123","Adrian Peterson","","","43","49","","45","","45.8"
"47","128","Justin Jackson","DET","5","50","40","","48","","47.0"
"48","130","Kalen Ballage ","","","49","43","","49","","47.3"
"49","131","Dion Lewis","","","51","44","","55","","48.0"
"50","137","Jaylen Samuels","","","47","52","","50","","49.0"
"51","148","Justice Hill","BAL","8","53","56","","47","","52.3"
"52","149","Ronald Jones II","KC","12","52","47","","56","","52.5"
"53","151","Carlos Hyde","","","55","51","","52","","52.5"
"54","153","Alexander Mattison","MIN","12","56","54","","51","","54.3"
"55","159","Damien Harris","NE","10","60","48","","54","","54.8"
"56","164","Ito Smith ","","","54","57","","57","","56.5"
"57","183","Nyheim Hines","BUF","6","57","53","","","","56.7"
"58","189","C.J. Anderson","","","58","58","","","","59.0"
"59","190","Chris Thompson","","","61","67","","","","59.7"
"60","193","Jamaal Williams","DET","5","62","59","","","","61.3"
"61","196","Jalen Richard","","","69","65","","","","62.7"
"62","199","Dare Ogunbowale","HOU","10","70","69","","53","","64.0"
"63","198","Malcolm Brown","LAR","9","64","72","","58","","64.7"
"64","209","Ty Montgomery","NE","10","59","76","","","","65.7"
"65","212","Frank Gore","","","63","78","","","","66.7"
"66","225","Giovani Bernard","TB","7","65","62","","","","63.5"
"67","231","Gus Edwards","BAL","8","67","63","","","","65.0"
"68","235","Mike Davis","","","71","64","","","","67.5"
"69","239","Chase Edmonds","DEN","10","68","68","","","","68.0"
"70","244","Darrel Williams","ARI","12 ","","60","","","","60.0"
"71","250","Trayveon Williams","CIN","9","","61","","","","61.0"
"72","245","T.J. Yeldon","","","75","66","","","","70.5"
"73","255","Ryquell Armstead","","","73","70","","","","71.5"
"74","263","Dontrell Hilliard","TEN","11","76","71","","","","73.5"
"75","289","Damarea Crockett","DEN","10","72","","","","","72.0"
"76","280","Alfred Morris","","","","73","","","","73.0"
"77","281","Brian Hill","","","","74","","","","74.0"
"78","301","Wayne Gallman Jr.","SEA","11","74","96","","","","85.0"
"79","283","Qadree Ollison","DAL","8","","75","","","","75.0"
"80","288","Dexter Williams","","","","77","","","","77.0"
"81","318","Alfred Blue","","","77","87","","","","82.0"
"82","312","Rex Burkhead","HOU","10","78","85","","","","81.5"
"83","297","Myles Gaskin","MIA","5","","79","","","","79.0"
"84","303","Jay Ajayi","","","","80","","","","80.0"
"85","306","Bruce Anderson III","","","","81","","","","81.0"
"86","309","Theo Riddick","","","","82","","","","82.0"
"87","316","Benny Snell Jr.","PIT","7","","83","","","","83.0"
"88","321","Doug Martin","","","","84","","","","84.0"
"89","328","Corey Clement","ARI","12","","86","","","","86.0"
"90","329","Alex Collins","","","","88","","","","88.0"
"91","332","Devontae Booker","","","","89","","","","89.0"
"92","335","","","","","91","","","","91.0"
"93","340","Zach Zenner","","","","92","","","","92.0"
"94","342","Spencer Ware","","","","93","","","","93.0"
"95","345","Bilal Powell","","","","94","","","","94.0"
"96","347","Cameron Artis-Payne","","","","95","","","","95.0"
"97","352","Wendell Smallwood","","","","97","","","","97.0"
"98","353","Kyle Juszczyk","SF","4","","98","","","","98.0"
"99","363","Jordan Wilkins","","","","99","","","","99.0"
"100","365","Kapri Bibbs","","","","100","","","","100.0"
"101","366","James Develin ","","","","101","","","","101.0"
"102","373","Chris Ivory","","","","102","","","","102.0"
"103","379","Ty Johnson","NYJ","4","","103","","","","103.0"
"104","383","Darren Sproles ","","","","104","","","","104.0"
"105","388","C.J. Prosise ","","","","105","","","","105.0"
"106","389","De'Angelo Henderson Sr.","","","","106","","","","106.0"
"107","394","Mark Walton","","","","107","","","","107.0"
"108","398","Andre Ellington","","","","108","","","","108.0"
"109","402","Bryce Love","","","","111","","","","111.0"
"110","403","D'Onta Foreman","CAR","7","","112","","","","112.0"
""
""
