"K","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","115","Justin Tucker","BAL","8","2","1","1","1","1","2","1","1.4"
"2","121","Harrison Butker","KC","12","1","2","2","2","2","1","2","1.8"
"3","133","Younghoe Koo","ATL","6","4","3","3","3","4","3","3","3.2"
"4","145","Tyler Bass","BUF","7","9","4","4","4","3","4","4","4.2"
"5","164","Ryan Succop","TB","9","11","7","5","8","5","5","7","6.8"
"6","166","Greg Zuerlein","NYJ","6","10","5","7","7","6","7","8","6.8"
"7","158","Jason Sanders","MIA","14","6","10","8","6","8","8","5","7.6"
"8","157","Rodrigo Blankenship","","","12","13","10","5","7","6","6","8.0"
"9","188","Daniel Carlson","LV","8","","20","6","10","11","14","15","12.2"
"10","176","Mason Crosby","GB","13","14","12","11","13","13","9","12","12.2"
"11","224","Wil Lutz","N","6 O","","6","","11","","11","57","9.5"
"12","189","Jason Myers","SEA","9","3","18","9","17","12","15","11","12.8"
"13","197","Matt Gay","LAR","11","7","14","13","18","9","12","14","13.2"
"14","208","Brandon McManus","DEN","11","8","15","","9","16","13","13","13.4"
"15","203","Matt Prater","ARI","12","13","19","","16","10","10","10","14.8"
"16","185","Robbie Gould","SF","6","15","9","12","19","15","16","9","15.0"
"17","344","Chris Boswell","PIT","7","17","11","","20","14","","47","15.4"
"18","348","Graham Gano","NYG","10","5","","","21","17","","44","15.8"
"19","257","Evan McPherson","CIN","10","18","16","","14","20","","16","17.0"
"20","360","Nick Folk","NE","14","","8","","24","","","53","16.0"
"21","350","Cairo Santos","CHI","10","","","","22","","","40","17.5"
"22","380","Dustin Hopkins","LAC","7","","17","","31","19","","49","22.3"
"23","368","Josh Lambo","","","19","","","27","18","","36","21.3"
"24","378","Chase McLaughlin","IND","14","16","21","","30","","","41","22.3"
"25","279","Sam Ficken","DET","9","","","","12","","","31","12.0"
"26","321","Austin MacGinnis","","","","","","15","","","","15.0"
"27","369","Michael Badgley","DET","9","","22","","28","","","58","23.0"
"28","","Austin Seibert ","","","","","","","","","","18.0"
"29","364","Ka'imi Fairbairn","HOU","10","","","","26","","","62","23.5"
"30","363","Jake Elliott","PHI","14","","","","25","","","51","23.5"
"31","","Stephen Gostkowski","","","","","","","","","27","23.0"
"32","351","Cody Parkey","","","","","","23","","","67","23.0"
"33","372","Joey Slye","WAS","9","","","","29","","","63","27.0"
"34","390","Tucker McCann","","","","","","32","","","39","32.0"
"35","391","Randy Bullock","TEN","13","","","","33","","","","33.0"
"36","401","Matt Ammendola","GB","13","","","","34","","","48","34.0"
"37","403","Ryan Santoso","","","","","","35","","","32","35.0"
"38","404","Aldrick Rosas","","","","","","36","","","","36.0"
"39","407","Greg Joseph","MIN","7","","","","37","","","54","37.0"
"40","414","Eddy Pineiro","CAR","13","","","","38","","","69","38.0"
""
""
