"K","Overall","Player","Team","Bye","ESPN","Yahoo","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","88","Stephen Gostkowski","","","1","1","","1","","1","","1.0"
"2","106","Adam Vinatieri","","","3","3","","2","","2","","2.8"
"3","125","Stephen Hauschka","","","2","6","","5","","4","","5.5"
"4","128","Dan Bailey","","","6","5","","4","","5","","5.5"
"5","127","Mason Crosby","GB","7","8","7","","3","","6","","5.7"
"6","133","Justin Tucker","BAL","9","4","9","","6","","7","","6.2"
"7","159","Cody Parkey","","","7","22","","7","","3","","7.7"
"8","165","Matt Bryant","","","9","12","","8","","10","","9.7"
"9","174","Matt Prater","ARI","9","10","8","","9","","8","","10.2"
"10","176","Sebastian Janikowski","","","5","11","","11","","9","","10.8"
"11","172","Dan Carpenter","","","14","4","","12","","","","9.2"
"12","212","Brandon McManus","DEN","7","12","19","","16","","11","","15.0"
"13","207","Blair Walsh","","","13","21","","14","","12","","15.2"
"14","231","Phil Dawson","","","11","13","","17","","","","15.8"
"15","203","Connor Barth","","","","2","","26","","","","15.0"
"16","242","Josh Scobee","","","","18","","10","","","","13.7"
"17","213","Randy Bullock","TEN","4","","27","","13","","","","15.3"
"18","255","Chandler Catanzaro","","","","15","","21","","","","15.3"
"19","251","Nick Novak","","","","16","","22","","","","19.3"
"20","258","Greg Zuerlein","NYJ","5","","20","","15","","","","19.3"
"21","286","Graham Gano","NYG","11","","14","","19","","","","19.5"
"22","235","Robbie Gould","SF","10","","10","","18","","","","16.7"
"23","240","Nick Folk","NE","4","","26","","23","","","","20.3"
"24","247","Josh Brown","","","","24","","27","","","","21.8"
"25","249","Caleb Sturgis","","","","28","","24","","","","22.5"
"26","312","Mike Nugent","","","","17","","25","","","","21.0"
"27","284","Dustin Hopkins","LAC","","","23","","20","","","","22.0"
"28","273","Garrett Hartley","","","","","","28","","","","21.5"
"29","357","Shaun Suisham","","","","25","","32","","","","25.3"
"30","329","Cairo Santos","CHI","7","","","","29","","","","29.0"
"31","341","Ryan Succop","TB","6","","","","30","","","","30.0"
"32","348","Kai Forbath","LAR","","","","","31","","","","31.0"
"33","361","Josh Lambo","","","","","","33","","","","33.0"
"34","364","Travis Coons","","","","","","34","","","","34.0"
"35","383","David Akers","","","","","","35","","","","35.0"
"36","387","Zach Hocker","","","","","","36","","","","36.0"
"37","409","Jordan Gay","","","","","","37","","","","37.0"
"38","414","Billy Cundiff","","","","","","38","","","","38.0"
"39","420","Kris Brown","","","","","","39","","","","39.0"
""
""
