,RB,Overall,Player,AVG
0,1.0,3.0,Todd Gurley II,1.3
1,2.0,5.0,David Johnson,1.8
2,3.0,6.0,Adrian Peterson,3.2
3,4.0,7.0,Ezekiel Elliott,3.7
4,5.0,11.0,Le'Veon Bell,5.7
5,6.0,12.0,Lamar Miller,5.8
6,7.0,13.0,Devonta Freeman,6.7
7,8.0,20.0,Eddie Lacy,9.8
8,9.0,22.0,Jamaal Charles,10.0
9,10.0,21.0,Mark Ingram II,10.2
10,11.0,23.0,LeSean McCoy,10.5
11,12.0,24.0,Doug Martin,10.5
12,13.0,31.0,C.J. Anderson,13.5
13,14.0,36.0,Thomas Rawls,15.7
14,15.0,35.0,Carlos Hyde,15.8
15,16.0,38.0,Matt Forte,16.3
16,17.0,39.0,Latavius Murray,16.7
17,18.0,44.0,DeMarco Murray,18.0
18,19.0,48.0,Jonathan Stewart,19.5
19,20.0,51.0,Jeremy Hill,19.5
20,21.0,61.0,Jeremy Langford,21.7
21,22.0,57.0,Ryan Mathews,22.3
22,23.0,60.0,Melvin Gordon III,22.7
23,24.0,67.0,Arian Foster,25.8
24,25.0,66.0,Matt Jones,26.0
25,26.0,68.0,Frank Gore,27.3
26,27.0,73.0,Giovani Bernard,28.7
27,28.0,78.0,Ameer Abdullah,30.8
28,29.0,79.0,Danny Woodhead,31.3
29,30.0,82.0,Duke Johnson Jr.,31.3
30,31.0,86.0,Rashad Jennings,31.7
31,32.0,87.0,DeAngelo Williams,32.2
32,33.0,84.0,Chris Ivory,32.2
33,34.0,104.0,Jay Ajayi,35.0
34,35.0,95.0,Derrick Henry,35.2
35,36.0,102.0,LeGarrette Blount,36.5
36,37.0,103.0,T.J. Yeldon,36.7
37,38.0,113.0,Isaiah Crowell,40.0
38,39.0,123.0,Justin Forsett,42.0
39,40.0,118.0,Charles Sims,42.5
40,41.0,125.0,Dion Lewis,43.2
41,42.0,127.0,Spencer Ware,43.2
42,43.0,130.0,Theo Riddick,43.8
43,44.0,129.0,Bilal Powell,44.5
44,45.0,140.0,Christine Michael,46.2
45,46.0,138.0,Tevin Coleman,46.7
46,47.0,144.0,Terrance West,48.0
47,48.0,154.0,Alfred Morris,49.2
48,49.0,153.0,Darren Sproles,49.2
49,50.0,151.0,James White,51.0
50,51.0,160.0,James Starks,51.7
51,52.0,159.0,Devontae Booker,55.0
52,53.0,175.0,Jerick McKinnon,56.2
53,54.0,188.0,Kenneth Dixon,58.8
54,55.0,180.0,DeAndre Washington,59.5
55,56.0,187.0,C.J. Prosise,52.8
56,57.0,195.0,Jordan Howard,53.2
57,58.0,189.0,Chris Johnson,54.2
58,59.0,193.0,Marshawn Lynch,43.0
59,60.0,194.0,Darren McFadden,57.8
60,61.0,200.0,Paul Perkins,58.0
61,62.0,206.0,Karlos Williams,51.5
62,63.0,218.0,Shane Vereen,63.0
63,64.0,211.0,Charcandrick West,64.2
64,65.0,216.0,Javorius Allen,56.3
65,66.0,224.0,Tim Hightower,65.4
66,67.0,260.0,Cameron Artis-Payne,73.2
67,68.0,262.0,C.J. Spiller,68.5
68,69.0,253.0,Chris Thompson,69.0
69,70.0,229.0,Robert Kelley,40.0
70,71.0,249.0,Ronnie Hillman,61.0
71,72.0,259.0,Andre Ellington,71.3
72,73.0,248.0,Mike Gillislee,64.3
73,74.0,250.0,Leonard Fournette,11.0
74,75.0,296.0,Kenyan Drake,79.3
75,76.0,255.0,Christian McCaffrey,17.0
76,77.0,256.0,Joe Mixon,18.0
77,78.0,258.0,Ty Montgomery,23.0
78,79.0,333.0,Alfred Blue,75.7
79,80.0,318.0,Benny Cunningham Jr.,76.3
80,81.0,267.0,Dalvin Cook,29.0
81,82.0,274.0,Samaje Perine,35.0
82,83.0,280.0,Jonathan Williams,68.0
83,84.0,367.0,Reggie Bush,79.7
84,85.0,289.0,Wendell Smallwood,71.5
85,86.0,366.0,Mike Tolbert,81.3
86,87.0,286.0,Kareem Hunt,44.0
87,88.0,341.0,Robert Turbin,82.7
88,89.0,324.0,Jacquizz Rodgers,83.3
89,90.0,295.0,Jamaal Williams,49.0
90,91.0,298.0,Rex Burkhead,52.0
91,92.0,300.0,Joe Williams,53.0
92,93.0,348.0,Ka'Deem Carey,77.0
93,94.0,309.0,Zach Zenner,77.5
94,95.0,358.0,Shaun Draughn,78.0
95,96.0,308.0,Marlon Mack,56.0
96,97.0,311.0,Alvin Kamara,59.0
97,98.0,312.0,Jalen Richard,60.0
98,99.0,365.0,Tre Mason,80.5
99,100.0,315.0,Jeremy McNichols,61.0
100,101.0,344.0,Tyler Gaffney,81.0
101,102.0,314.0,Josh Ferguson,63.0
102,103.0,316.0,Aaron Jones,63.0
103,104.0,373.0,Lance Dunbar,88.7
104,105.0,321.0,D'Onta Foreman,65.0
105,106.0,322.0,Donnel Pumphrey,66.0
106,107.0,,Alex Collins,84.5
107,108.0,382.0,Stevan Ridley,85.0
108,109.0,338.0,Kenjon Barner,86.0
109,110.0,371.0,Brandon Bolden,87.0
110,111.0,339.0,Wayne Gallman Jr.,74.0
111,112.0,,Knile Davis,77.0
112,113.0,352.0,Keith Marshall,77.0
113,114.0,355.0,Tyler Ervin,78.0
114,115.0,357.0,James Conner,78.0
115,116.0,406.0,Damien Williams,90.5
116,117.0,,Denard Robinson,83.0
117,118.0,363.0,Kyle Juszczyk,83.0
118,119.0,377.0,Khiry Robinson,86.0
119,120.0,,Branden Oliver,86.0
120,121.0,431.0,Fozzy Whittaker,94.5
121,122.0,383.0,Antonio Andrews,89.0
122,123.0,,Orleans Darkwa,89.0
123,124.0,380.0,Tarik Cohen,89.0
124,125.0,,Taiwan Jones,91.0
125,126.0,385.0,T.J. Logan,91.0
126,127.0,392.0,Dexter McCluster,92.0
127,128.0,,Lorenzo Taliaferro,93.0
128,129.0,399.0,Corey Grant,94.0
129,130.0,,Donald Brown,95.0
130,131.0,403.0,D.J. Foster,95.0
131,132.0,,Matthew Tucker,96.0
132,133.0,,Mack Brown,97.0
133,134.0,420.0,Darius Jackson,97.0
134,135.0,,Daryl Richardson,98.0
135,136.0,430.0,Malcolm Brown,98.0
136,137.0,,Matt Asiata,99.0
137,138.0,437.0,Trent Richardson,100.0
138,139.0,440.0,Andre Williams,101.0
139,140.0,441.0,Marcel Reece,102.0
140,,,,
141,,,,
