,K,Overall,Player,ESPN,Yahoo,AVG
0,1.0,88.0,Stephen Gostkowski,1.0,1.0,1.0
1,2.0,106.0,Adam Vinatieri,3.0,3.0,2.8
2,3.0,125.0,Stephen Hauschka,2.0,6.0,5.5
3,4.0,128.0,Dan Bailey,6.0,5.0,5.5
4,5.0,127.0,Mason Crosby,8.0,7.0,5.7
5,6.0,133.0,Justin Tucker,4.0,9.0,6.2
6,7.0,159.0,Cody Parkey,7.0,22.0,7.7
7,8.0,165.0,Matt Bryant,9.0,12.0,9.7
8,9.0,174.0,Matt Prater,10.0,8.0,10.2
9,10.0,176.0,Sebastian Janikowski,5.0,11.0,10.8
10,11.0,172.0,Dan Carpenter,14.0,4.0,9.2
11,12.0,212.0,Brandon McManus,12.0,19.0,15.0
12,13.0,207.0,Blair Walsh,13.0,21.0,15.2
13,14.0,231.0,Phil Dawson,11.0,13.0,15.8
14,15.0,203.0,Connor Barth,,2.0,15.0
15,16.0,242.0,Josh Scobee,,18.0,13.7
16,17.0,213.0,Randy Bullock,,27.0,15.3
17,18.0,255.0,Chandler Catanzaro,,15.0,15.3
18,19.0,251.0,Nick Novak,,16.0,19.3
19,20.0,258.0,Greg Zuerlein,,20.0,19.3
20,21.0,286.0,Graham Gano,,14.0,19.5
21,22.0,235.0,Robbie Gould,,10.0,16.7
22,23.0,240.0,Nick Folk,,26.0,20.3
23,24.0,247.0,Josh Brown,,24.0,21.8
24,25.0,249.0,Caleb Sturgis,,28.0,22.5
25,26.0,312.0,Mike Nugent,,17.0,21.0
26,27.0,284.0,Dustin Hopkins,,23.0,22.0
27,28.0,273.0,Garrett Hartley,,,21.5
28,29.0,357.0,Shaun Suisham,,25.0,25.3
29,30.0,329.0,Cairo Santos,,,29.0
30,31.0,341.0,Ryan Succop,,,30.0
31,32.0,348.0,Kai Forbath,,,31.0
32,33.0,361.0,Josh Lambo,,,33.0
33,34.0,364.0,Travis Coons,,,34.0
34,35.0,383.0,David Akers,,,35.0
35,36.0,387.0,Zach Hocker,,,36.0
36,37.0,409.0,Jordan Gay,,,37.0
37,38.0,414.0,Billy Cundiff,,,38.0
38,39.0,420.0,Kris Brown,,,39.0
39,,,,,,
40,,,,,,
