,K,Overall,Player,ESPN,Yahoo,AVG
0,1.0,129.0,Justin Tucker,2.0,1.0,1.2
1,2.0,130.0,Harrison Butker,1.0,2.0,1.8
2,3.0,148.0,Wil Lutz,3.0,3.0,3.0
3,4.0,159.0,Greg Zuerlein,5.0,4.0,4.2
4,5.0,175.0,Robbie Gould,6.0,5.0,5.4
5,6.0,196.0,Zane Gonzalez,8.0,7.0,7.2
6,7.0,198.0,Matt Prater,4.0,6.0,7.6
7,8.0,191.0,Younghoe Koo,10.0,18.0,9.8
8,9.0,197.0,Jake Elliott,9.0,11.0,10.2
9,10.0,230.0,Matt Gay,13.0,10.0,11.0
10,11.0,208.0,Mason Crosby,12.0,9.0,12.0
11,12.0,200.0,Dan Bailey,15.0,16.0,13.0
12,13.0,193.0,Ka'imi Fairbairn,17.0,14.0,13.4
13,14.0,233.0,Jason Myers,22.0,19.0,16.2
14,15.0,284.0,Chris Boswell,7.0,15.0,16.4
15,16.0,296.0,Stephen Gostkowski,14.0,12.0,16.6
16,17.0,334.0,Ryan Succop,16.0,20.0,16.8
17,18.0,261.0,Michael Badgley,37.0,8.0,17.6
18,19.0,212.0,Brandon McManus,18.0,17.0,18.0
19,20.0,301.0,Josh Lambo ,20.0,13.0,18.6
20,21.0,277.0,Joey Slye,,21.0,19.8
21,22.0,340.0,Rodrigo Blankenship,11.0,,22.0
22,23.0,271.0,Austin Seibert,19.0,,16.5
23,24.0,291.0,Stephen Hauschka,27.0,,24.3
24,25.0,298.0,Jason Sanders,28.0,,24.3
25,26.0,322.0,Daniel Carlson,26.0,,24.7
26,27.0,289.0,Randy Bullock,,,20.5
27,28.0,318.0,Dustin Hopkins,21.0,,24.0
28,29.0,336.0,Tyler Bass,38.0,,30.0
29,30.0,312.0,Sam Ficken,32.0,,29.0
30,31.0,321.0,Eddy Pineiro,29.0,,29.0
31,32.0,,Chase McLaughlin,,,23.0
32,33.0,,Justin Rohrwasser,23.0,,23.0
33,34.0,,Nick Folk,24.0,,24.0
34,35.0,,Adam Vinatieri,25.0,,25.0
35,36.0,307.0,Sam Sloman,,,25.0
36,37.0,320.0,Aldrick Rosas,43.0,,35.5
37,38.0,,Sebastian Janikowski,30.0,,30.0
38,39.0,,Cody Parkey,31.0,,31.0
39,40.0,328.0,Elliott Fry,,,31.0
40,41.0,,Kai Forbath,33.0,,33.0
41,42.0,335.0,Graham Gano,36.0,,34.5
42,43.0,,Mike Nugent,34.0,,34.0
43,44.0,,Matt Bryant,35.0,,35.0
44,45.0,,Phil Dawson,39.0,,39.0
45,46.0,,Cairo Santos,40.0,,40.0
46,47.0,,Giorgio Tavecchio,41.0,,41.0
47,48.0,,Matt McCrane,42.0,,42.0
48,49.0,,Brett Maher,44.0,,44.0
49,50.0,,Chandler Catanzaro,45.0,,45.0
50,51.0,,Caleb Sturgis,46.0,,46.0
51,,,,,,
52,,,,,,
