,QB,Overall,Player,ESPN,Yahoo,AVG
0,1.0,17.0,Cam Newton,1.0,1.0,1.0
1,2.0,25.0,Aaron Rodgers,2.0,2.0,2.0
2,3.0,34.0,Russell Wilson,3.0,3.0,3.0
3,4.0,43.0,Andrew Luck,4.0,4.0,4.2
4,5.0,47.0,Drew Brees,5.0,5.0,4.8
5,6.0,53.0,Ben Roethlisberger,6.0,6.0,6.2
6,7.0,62.0,Carson Palmer,8.0,7.0,7.3
7,8.0,63.0,Tom Brady,7.0,9.0,7.7
8,9.0,69.0,Eli Manning,9.0,8.0,9.2
9,10.0,77.0,Blake Bortles,10.0,10.0,10.0
10,11.0,83.0,Philip Rivers,11.0,11.0,10.8
11,12.0,97.0,Derek Carr,12.0,19.0,12.0
12,13.0,108.0,Kirk Cousins,13.0,13.0,14.2
13,14.0,111.0,Jameis Winston,19.0,20.0,15.0
14,15.0,114.0,Tyrod Taylor,14.0,14.0,15.3
15,16.0,121.0,Andy Dalton,18.0,15.0,16.5
16,17.0,122.0,Matthew Stafford,15.0,27.0,17.0
17,18.0,124.0,Marcus Mariota,16.0,24.0,17.2
18,19.0,126.0,Matt Ryan,20.0,28.0,18.5
19,20.0,139.0,Dak Prescott,17.0,16.0,19.8
20,21.0,150.0,Tony Romo,,12.0,17.0
21,22.0,161.0,Brock Osweiler,21.0,23.0,23.5
22,23.0,165.0,Ryan Tannehill,24.0,30.0,23.8
23,24.0,177.0,Ryan Fitzpatrick,23.0,29.0,23.8
24,25.0,178.0,Alex Smith,22.0,18.0,24.8
25,26.0,204.0,Joe Flacco,,22.0,24.6
26,27.0,173.0,Robert Griffin III,25.0,25.0,25.0
27,28.0,197.0,Jay Cutler,,26.0,25.8
28,29.0,228.0,Teddy Bridgewater,,17.0,27.0
29,30.0,225.0,Sam Bradford,,,28.5
30,31.0,231.0,Jared Goff,,21.0,29.0
31,32.0,264.0,Carson Wentz,,,30.0
32,33.0,319.0,Trevor Siemian,,,31.7
33,34.0,291.0,Colin Kaepernick,,,32.0
34,35.0,273.0,Jimmy Garoppolo,,,28.5
35,36.0,302.0,Paxton Lynch,,,34.0
36,37.0,351.0,Mark Sanchez,,,36.5
37,38.0,378.0,Blaine Gabbert,,,36.5
38,39.0,337.0,Deshaun Watson,,,23.0
39,40.0,401.0,Brian Hoyer,,,45.7
40,41.0,368.0,Mike Glennon,,,42.0
41,42.0,415.0,Case Keenum,,,40.0
42,43.0,424.0,Cardale Jones,,,41.0
43,44.0,408.0,Mitch Trubisky,,,32.0
44,45.0,410.0,Cody Kessler,,,33.0
45,46.0,418.0,Josh McCown,,,45.5
46,47.0,,Brandon Allen,,,41.0
47,48.0,422.0,Brett Hundley,,,42.0
48,49.0,450.0,Landry Jones,,,50.0
49,50.0,423.0,Trevone Boykin,,,43.0
50,51.0,,Keith Wenning,,,44.0
51,52.0,425.0,Dan Orlovsky,,,45.0
52,53.0,,Matt Simms,,,45.0
53,54.0,433.0,Derek Anderson,,,46.0
54,55.0,442.0,Geno Smith,,,48.5
55,56.0,435.0,AJ McCarron,,,48.5
56,57.0,,McLeod Bethel-Thompson,,,47.0
57,58.0,434.0,Ryan Nassib,,,47.0
58,59.0,,Matt Johnson,,,48.0
59,60.0,438.0,Matt McGloin,,,49.0
60,61.0,439.0,Matt Schaub,,,50.0
61,62.0,443.0,Chad Henne,,,52.0
62,63.0,445.0,Colt McCoy,,,53.0
63,64.0,446.0,Luke McCown,,,54.0
64,65.0,447.0,Matt Cassel,,,55.0
65,66.0,449.0,Scott Tolzien,,,57.0
66,67.0,451.0,Kellen Clemens,,,59.0
67,68.0,452.0,Drew Stanton,,,60.0
68,69.0,453.0,David Carr,,,61.0
69,70.0,454.0,Tom Savage,,,62.0
70,71.0,455.0,Chad Pennington,,,64.0
71,72.0,459.0,JaMarcus Russell,,,65.0
72,73.0,463.0,Johnny Manziel,,,66.0
73,74.0,464.0,Chase Daniel,,,67.0
74,75.0,470.0,Charlie Batch,,,68.0
75,,,,,,
76,,,,,,
