,TE,Overall,Player,AVG
0,1.0,12.0,Rob Gronkowski,1.0
1,2.0,25.0,Jimmy Graham,2.0
2,3.0,43.0,Greg Olsen,3.0
3,4.0,49.0,Travis Kelce,4.0
4,5.0,61.0,Martellus Bennett,5.3
5,6.0,74.0,Jason Witten,6.8
6,7.0,86.0,Jordan Cameron,8.2
7,8.0,105.0,Delanie Walker,10.2
8,9.0,107.0,Julius Thomas,11.2
9,10.0,122.0,Dwayne Allen,11.5
10,11.0,112.0,Zach Ertz,11.7
11,12.0,119.0,Owen Daniels,12.2
12,13.0,124.0,Antonio Gates,13.2
13,14.0,137.0,Tyler Eifert,14.5
14,15.0,147.0,Kyle Rudolph,15.2
15,16.0,149.0,Coby Fleener,13.8
16,17.0,150.0,Vernon Davis,16.8
17,18.0,166.0,Heath Miller,16.2
18,19.0,178.0,Richard Rodgers,20.2
19,20.0,193.0,Josh Hill,19.2
20,21.0,186.0,Charles Clay,18.3
21,22.0,204.0,Larry Donnell,20.8
22,23.0,216.0,Austin Seferian-Jenkins,23.2
23,24.0,215.0,Eric Ebron,21.8
24,25.0,217.0,Jared Cook,22.3
25,26.0,224.0,Jordan Reed,24.8
26,27.0,243.0,Ladarius Green,25.0
27,28.0,248.0,Virgil Green,27.0
28,29.0,297.0,Maxx Williams,27.0
29,30.0,279.0,Mychal Rivera,31.7
30,31.0,306.0,Scott Chandler,28.0
31,32.0,309.0,Benjamin Watson,29.0
32,33.0,314.0,Andrew Quarless,30.0
33,34.0,330.0,Garrett Graham,33.0
34,35.0,332.0,Clive Walford,34.0
35,36.0,337.0,Gavin Escobar,35.0
36,37.0,338.0,Jacob Tamme,36.0
37,38.0,339.0,Jace Amaro,37.0
38,39.0,343.0,James Casey,39.0
39,40.0,346.0,Lance Kendricks,40.0
40,41.0,351.0,Dion Sims,41.0
41,42.0,353.0,Brent Celek,42.0
42,43.0,354.0,Marcedes Lewis,43.0
43,44.0,356.0,Crockett Gillmore,44.0
44,45.0,374.0,Jeff Cumberland,45.0
45,46.0,382.0,Joseph Fauria,46.0
46,47.0,386.0,Tim Wright,47.0
47,48.0,411.0,Gary Barnidge,48.0
48,49.0,413.0,Rob Housler,49.0
49,50.0,418.0,Tyler Kroft,50.0
50,51.0,419.0,Brandon Pettigrew,51.0
51,52.0,425.0,Dan Gronkowski,53.0
52,,,,
53,,,,
