,RB,Overall,Player,AVG
0,1.0,1.0,Christian McCaffrey,1.0
1,2.0,2.0,Dalvin Cook,2.0
2,3.0,3.0,Derrick Henry,3.0
3,4.0,4.0,Alvin Kamara,4.0
4,5.0,5.0,Ezekiel Elliott,5.0
5,6.0,6.0,Nick Chubb,6.0
6,7.0,7.0,Aaron Jones,7.3
7,8.0,9.0,Jonathan Taylor,7.7
8,9.0,10.0,Saquon Barkley,9.0
9,10.0,14.0,Najee Harris,10.7
10,11.0,15.0,Austin Ekeler,11.0
11,12.0,17.0,Antonio Gibson,11.3
12,13.0,19.0,Joe Mixon,13.0
13,14.0,22.0,Clyde Edwards-Helaire,14.0
14,15.0,27.0,David Montgomery,15.7
15,16.0,28.0,Josh Jacobs,16.0
16,17.0,29.0,Chris Carson ,16.3
17,18.0,32.0,James Robinson,18.3
18,19.0,35.0,Miles Sanders,18.7
19,20.0,39.0,D'Andre Swift,20.0
20,21.0,45.0,Myles Gaskin,21.3
21,22.0,52.0,Mike Davis,23.3
22,23.0,56.0,Raheem Mostert,24.0
23,24.0,49.0,Kareem Hunt,24.3
24,25.0,58.0,Darrell Henderson Jr.,25.0
25,26.0,63.0,Damien Harris,26.3
26,27.0,61.0,Javonte Williams,26.7
27,28.0,64.0,Gus Edwards,27.0
28,29.0,62.0,Chase Edmonds,27.7
29,30.0,70.0,Melvin Gordon III,30.3
30,31.0,78.0,Trey Sermon,32.0
31,32.0,76.0,Ronald Jones II,32.0
32,33.0,79.0,Leonard Fournette,32.3
33,34.0,92.0,James Conner,35.0
34,35.0,89.0,AJ Dillon,35.7
35,36.0,90.0,Zack Moss,35.7
36,37.0,99.0,Devin Singletary,36.3
37,38.0,95.0,Michael Carter,36.7
38,39.0,105.0,Sony Michel,39.3
39,40.0,111.0,Jamaal Williams,40.3
40,41.0,109.0,Kenyan Drake,40.7
41,42.0,112.0,David Johnson,41.3
42,43.0,126.0,Tony Pollard,43.0
43,44.0,140.0,Alexander Mattison,46.0
44,45.0,143.0,J.D. McKissic,46.3
45,46.0,136.0,Nyheim Hines,47.3
46,47.0,146.0,Tevin Coleman,48.3
47,48.0,144.0,Rhamondre Stevenson,50.3
48,49.0,155.0,Phillip Lindsay,56.3
49,50.0,156.0,Latavius Murray,52.3
50,51.0,165.0,Chuba Hubbard,47.5
51,52.0,170.0,James White ,54.7
52,53.0,174.0,Rashaad Penny,50.5
53,54.0,169.0,Mark Ingram II,56.7
54,55.0,183.0,Giovani Bernard,54.5
55,56.0,186.0,Kenneth Gainwell,58.0
56,57.0,192.0,Tony Jones Jr.,58.5
57,58.0,205.0,Ty'Son Williams,51.0
58,59.0,202.0,Damien Williams,59.0
59,60.0,191.0,Marlon Mack,59.0
60,61.0,209.0,Darrynton Evans,62.0
61,62.0,235.0,Anthony McFarland Jr.,55.0
62,63.0,198.0,Darrel Williams,61.5
63,64.0,214.0,Ty Johnson,57.0
64,65.0,216.0,Wayne Gallman Jr.,68.0
65,66.0,199.0,Devontae Booker,68.0
66,67.0,227.0,Salvon Ahmed,61.0
67,68.0,207.0,Malcolm Brown,67.0
68,69.0,247.0,Jaret Patterson,62.0
69,70.0,218.0,J.J. Taylor,68.5
70,71.0,248.0,Elijah Mitchell,63.0
71,72.0,253.0,Benny Snell Jr.,65.0
72,73.0,238.0,Justin Jackson,73.5
73,74.0,254.0,Javian Hawkins,66.0
74,75.0,255.0,Brian Hill,67.0
75,76.0,229.0,Todd Gurley II,69.0
76,77.0,259.0,Joshua Kelley,71.0
77,78.0,243.0,Tarik Cohen,72.0
78,79.0,228.0,Carlos Hyde ,76.0
79,80.0,244.0,Boston Scott,77.0
80,81.0,290.0,La'Mical Perine,81.0
81,82.0,293.0,Qadree Ollison,83.0
82,83.0,303.0,Pooka Williams Jr.,84.0
83,84.0,317.0,Eno Benjamin,85.0
84,85.0,319.0,Jeff Wilson Jr.,86.0
85,86.0,324.0,Royce Freeman,87.0
86,87.0,331.0,Jalen Richard,88.0
87,88.0,333.0,Larry Rountree III,89.0
88,89.0,335.0,Samaje Perine,90.0
89,90.0,267.0,Jerick McKinnon,91.0
90,91.0,337.0,Ke'Shawn Vaughn,92.0
91,92.0,338.0,Mike Boone,93.0
92,93.0,341.0,Kerryon Johnson,94.0
93,94.0,343.0,D'Onta Foreman,95.0
94,95.0,349.0,Kalen Ballage,96.0
95,96.0,355.0,Matt Breida,97.0
96,97.0,356.0,Ameer Abdullah,98.0
97,98.0,365.0,Jonathan Williams,99.0
98,99.0,375.0,Ito Smith,100.0
99,100.0,400.0,Matt Jones,101.0
100,101.0,410.0,Khalil Herbert,102.0
101,102.0,413.0,Peyton Barber,103.0
102,103.0,417.0,Cam Akers,105.0
103,104.0,260.0,Xavier Jones,107.0
104,,,,
105,,,,
