,TE,Overall,Player,AVG
0,1.0,20.0,Travis Kelce,1.0
1,2.0,29.0,Zach Ertz,2.5
2,3.0,31.0,George Kittle,2.5
3,4.0,55.0,O.J. Howard,4.0
4,5.0,61.0,Evan Engram,5.3
5,6.0,66.0,Hunter Henry,6.0
6,7.0,75.0,Jared Cook,7.0
7,8.0,85.0,Vance McDonald,8.3
8,9.0,95.0,Eric Ebron ,9.3
9,10.0,101.0,David Njoku,10.0
10,11.0,117.0,Delanie Walker ,11.5
11,12.0,129.0,Austin Hooper,12.5
12,13.0,136.0,T.J. Hockenson,13.8
13,14.0,147.0,Greg Olsen,15.0
14,15.0,140.0,Mark Andrews,15.0
15,16.0,152.0,Trey Burton ,16.3
16,17.0,169.0,Kyle Rudolph,15.0
17,18.0,174.0,Jordan Reed,17.3
18,19.0,177.0,Jimmy Graham,17.3
19,20.0,191.0,Noah Fant,21.0
20,21.0,194.0,Darren Waller,22.0
21,22.0,211.0,Jason Witten,24.3
22,23.0,210.0,Jack Doyle,24.3
23,24.0,219.0,Chris Herndon IV ,22.0
24,25.0,224.0,Dallas Goedert,22.0
25,26.0,233.0,Cameron Brate,29.3
26,27.0,241.0,Tyler Eifert,27.5
27,28.0,262.0,Matt LaCosse,23.0
28,29.0,252.0,Mike Gesicki,28.5
29,30.0,267.0,Irv Smith Jr.,25.0
30,31.0,272.0,Benjamin Watson,33.5
31,32.0,290.0,Will Dissly,36.0
32,33.0,294.0,Gerald Everett,30.0
33,34.0,314.0,Vernon Davis,40.0
34,35.0,310.0,Ian Thomas,32.0
35,36.0,331.0,Hayden Hurst,33.0
36,37.0,337.0,Ricky Seals-Jones,34.0
37,38.0,341.0,Blake Jarwin,35.0
38,39.0,348.0,C.J. Uzomah,37.0
39,40.0,350.0,Jesse James,38.0
40,41.0,356.0,Geoff Swaim,39.0
41,42.0,364.0,Jordan Thomas,41.0
42,43.0,369.0,Nick Vannett,42.0
43,44.0,376.0,Manasseh Garner,44.0
44,45.0,377.0,Demetrius Harris,45.0
45,46.0,381.0,James 'Shaughnessy,46.0
46,47.0,382.0,Dawson Knox,47.0
47,48.0,384.0,Jeff Heuerman,48.0
48,49.0,395.0,Josh liver,50.0
49,50.0,399.0,Tyler Kroft,51.0
50,51.0,400.0,Jonnu Smith,52.0
51,52.0,401.0,Foster Moreau,53.0
52,,,,
53,,,,
