,Rank,Player,POS,AVG
0,1.0,Christian McCaffrey,RB1,1.0
1,2.0,Dalvin Cook,RB2,2.0
2,3.0,Derrick Henry,RB3,3.0
3,4.0,Alvin Kamara,RB4,4.0
4,5.0,Ezekiel Elliott,RB5,5.0
5,6.0,Nick Chubb,RB6,6.0
6,7.0,Aaron Jones,RB7,8.3
7,8.0,Davante Adams,WR1,8.3
8,9.0,Jonathan Taylor,RB8,8.5
9,10.0,Saquon Barkley,RB9,10.0
10,11.0,Tyreek Hill,WR2,11.0
11,12.0,Travis Kelce,TE1,11.3
12,13.0,Patrick Mahomes II,QB1,14.3
13,14.0,Najee Harris,RB10,14.3
14,15.0,Austin Ekeler,RB11,14.5
15,16.0,Stefon Diggs,WR3,16.3
16,17.0,Antonio Gibson,RB12,16.8
17,18.0,DK Metcalf,WR4,18.5
18,19.0,Joe Mixon,RB13,19.3
19,20.0,DeAndre Hopkins,WR5,19.8
20,21.0,Calvin Ridley,WR6,19.8
21,22.0,Clyde Edwards-Helaire,RB14,21.8
22,23.0,A.J. Brown,WR7,25.8
23,24.0,Darren Waller,TE2,26.0
24,25.0,Justin Jefferson,WR8,26.5
25,26.0,Josh Allen,QB2,26.8
26,27.0,David Montgomery,RB15,27.8
27,28.0,Josh Jacobs,RB16,27.8
28,29.0,Chris Carson ,RB17,28.0
29,30.0,George Kittle,TE3,28.3
30,31.0,Keenan Allen,WR9,28.8
31,32.0,James Robinson,RB18,32.8
32,33.0,Terry McLaurin,WR10,33.5
33,34.0,Mike Evans,WR11,33.8
34,35.0,Miles Sanders,RB19,35.5
35,36.0,CeeDee Lamb,WR12,36.5
36,37.0,Kyler Murray,QB3,36.8
37,38.0,Allen Robinson II,WR13,38.0
38,39.0,D'Andre Swift,RB20,38.8
39,40.0,Lamar Jackson,QB4,40.3
40,41.0,Chris Godwin,WR14,42.3
41,42.0,Robert Woods,WR15,42.3
42,43.0,Julio Jones,WR16,43.8
43,44.0,Amari Cooper,WR17,45.3
44,45.0,Myles Gaskin,RB21,46.3
45,46.0,Aaron Rodgers,QB5,47.5
46,47.0,Adam Thielen,WR18,47.5
47,48.0,Kyle Pitts,TE4,50.8
48,49.0,Kareem Hunt,RB22,50.8
49,50.0,Russell Wilson,QB6,51.8
50,51.0,Cooper Kupp,WR19,52.8
51,52.0,Mike Davis,RB23,53.3
52,53.0,Dak Prescott,QB7,53.8
53,54.0,Mark Andrews,TE5,54.5
54,55.0,Tyler Lockett,WR20,55.0
55,56.0,Raheem Mostert,RB24,55.0
56,57.0,DJ Moore,WR21,55.5
57,58.0,Darrell Henderson Jr.,RB25,57.0
58,59.0,Justin Herbert,QB8,57.5
59,60.0,Diontae Johnson,WR22,59.3
60,61.0,Javonte Williams,RB26,61.3
61,62.0,Chase Edmonds,RB27,62.0
62,63.0,Damien Harris,RB28,62.5
63,64.0,Gus Edwards,RB29,64.0
64,65.0,T.J. Hockenson,TE6,64.5
65,66.0,Brandon Aiyuk,WR23,64.8
66,67.0,Chase Claypool,WR24,68.0
67,68.0,Tom Brady,QB9,68.8
68,69.0,Odell Beckham Jr.,WR25,68.8
69,70.0,Melvin Gordon III,RB30,70.5
70,71.0,Ja'Marr Chase,WR26,71.0
71,72.0,Tee Higgins,WR27,71.0
72,73.0,Michael Thomas,WR28,72.3
73,74.0,Kenny Golladay,WR29,76.0
74,75.0,Jerry Jeudy,WR30,76.5
75,76.0,Ronald Jones II,RB31,76.8
76,77.0,JuJu Smith-Schuster,WR31,77.8
77,78.0,Trey Sermon,RB32,78.8
78,79.0,Leonard Fournette,RB33,79.8
79,80.0,Courtland Sutton,WR32,81.3
80,81.0,Matthew Stafford,QB10,82.0
81,82.0,Logan Thomas,TE7,84.0
82,83.0,DeVonta Smith,WR33,84.0
83,84.0,Robbie Anderson,WR34,85.0
84,85.0,Ryan Tannehill,QB11,86.5
85,86.0,Robert Tonyan,TE8,88.0
86,87.0,Deebo Samuel,WR35,88.5
87,88.0,Antonio Brown ,WR36,90.3
88,89.0,AJ Dillon,RB34,91.3
89,90.0,Zack Moss,RB35,91.3
90,91.0,Tyler Boyd,WR37,91.8
91,92.0,James Conner,RB36,92.5
92,93.0,Noah Fant,TE9,94.8
93,94.0,DJ Chark Jr.,WR38,96.3
94,95.0,Michael Carter,RB37,96.5
95,96.0,Jalen Hurts,QB12,97.0
96,97.0,Brandin Cooks,WR39,98.8
97,98.0,Jarvis Landry,WR40,98.8
98,99.0,Devin Singletary,RB38,98.8
99,100.0,Dallas Goedert,TE10,99.8
100,101.0,Rob Gronkowski,TE11,100.5
101,102.0,Corey Davis,WR41,101.3
102,103.0,Los Angeles Rams,DST1,102.5
103,104.0,Laviska Shenault Jr.,WR42,102.8
104,105.0,Sony Michel,RB39,106.3
105,106.0,Pittsburgh Steelers,DST2,107.0
106,107.0,Joe Burrow,QB13,107.8
107,108.0,Tampa Bay Buccaneers,DST3,108.0
108,109.0,Kenyan Drake,RB40,110.8
109,110.0,Michael Pittman Jr.,WR43,111.8
110,111.0,Jamaal Williams,RB41,113.8
111,112.0,David Johnson,RB42,115.0
112,113.0,Mike Gesicki,TE12,115.8
113,114.0,Tyler Higbee,TE13,116.8
114,115.0,Justin Tucker,K1,117.0
115,116.0,Jaylen Waddle,WR44,117.0
116,117.0,Mike Williams,WR45,118.0
117,118.0,Washington Commanders,DST4,119.0
118,119.0,Marquez Callaway,WR46,119.3
119,120.0,William Fuller V,WR47,120.0
120,121.0,Harrison Butker,K2,121.0
121,122.0,Baltimore Ravens,DST5,123.0
122,123.0,Mecole Hardman,WR48,124.0
123,124.0,Marquise Brown,WR49,126.5
124,125.0,Michael Gallup,WR50,127.0
125,126.0,Tony Pollard,RB43,128.8
126,127.0,Henry Ruggs III ,WR51,129.0
127,128.0,Trevor Lawrence,QB14,129.8
128,129.0,Matt Ryan,QB15,130.3
129,130.0,Baker Mayfield,QB16,131.5
130,131.0,Buffalo Bills,DST6,133.5
131,132.0,Curtis Samuel,WR52,136.5
132,133.0,Younghoe Koo,K3,136.8
133,134.0,San Francisco 49ers,DST7,137.3
134,135.0,Darnell Mooney,WR53,138.0
135,136.0,Nyheim Hines,RB44,138.0
136,137.0,Jonnu Smith,TE14,138.3
137,138.0,Justin Fields,QB17,140.3
