,K,Overall,Player,ESPN,Yahoo,AVG
0,1.0,115.0,Justin Tucker,2.0,1.0,1.4
1,2.0,121.0,Harrison Butker,1.0,2.0,1.8
2,3.0,133.0,Younghoe Koo,4.0,3.0,3.2
3,4.0,145.0,Tyler Bass,9.0,4.0,4.2
4,5.0,164.0,Ryan Succop,11.0,7.0,6.8
5,6.0,166.0,Greg Zuerlein,10.0,5.0,6.8
6,7.0,158.0,Jason Sanders,6.0,10.0,7.6
7,8.0,157.0,Rodrigo Blankenship,12.0,13.0,8.0
8,9.0,188.0,Daniel Carlson,,20.0,12.2
9,10.0,176.0,Mason Crosby,14.0,12.0,12.2
10,11.0,224.0,Wil Lutz,,6.0,9.5
11,12.0,189.0,Jason Myers,3.0,18.0,12.8
12,13.0,197.0,Matt Gay,7.0,14.0,13.2
13,14.0,208.0,Brandon McManus,8.0,15.0,13.4
14,15.0,203.0,Matt Prater,13.0,19.0,14.8
15,16.0,185.0,Robbie Gould,15.0,9.0,15.0
16,17.0,344.0,Chris Boswell,17.0,11.0,15.4
17,18.0,348.0,Graham Gano,5.0,,15.8
18,19.0,257.0,Evan McPherson,18.0,16.0,17.0
19,20.0,360.0,Nick Folk,,8.0,16.0
20,21.0,350.0,Cairo Santos,,,17.5
21,22.0,380.0,Dustin Hopkins,,17.0,22.3
22,23.0,368.0,Josh Lambo,19.0,,21.3
23,24.0,378.0,Chase McLaughlin,16.0,21.0,22.3
24,25.0,279.0,Sam Ficken,,,12.0
25,26.0,321.0,Austin MacGinnis,,,15.0
26,27.0,369.0,Michael Badgley,,22.0,23.0
27,28.0,,Austin Seibert ,,,18.0
28,29.0,364.0,Ka'imi Fairbairn,,,23.5
29,30.0,363.0,Jake Elliott,,,23.5
30,31.0,,Stephen Gostkowski,,,23.0
31,32.0,351.0,Cody Parkey,,,23.0
32,33.0,372.0,Joey Slye,,,27.0
33,34.0,390.0,Tucker McCann,,,32.0
34,35.0,391.0,Randy Bullock,,,33.0
35,36.0,401.0,Matt Ammendola,,,34.0
36,37.0,403.0,Ryan Santoso,,,35.0
37,38.0,404.0,Aldrick Rosas,,,36.0
38,39.0,407.0,Greg Joseph,,,37.0
39,40.0,414.0,Eddy Pineiro,,,38.0
40,,,,,,
41,,,,,,
