,Rank,Player,POS,AVG
0,1.0,Todd Gurley II,RB1,1.0
1,2.0,Le'Veon Bell ,RB2,2.2
2,3.0,David Johnson,RB3,3.2
3,4.0,Ezekiel Elliott,RB4,3.6
4,5.0,Antonio Brown,WR1,5.4
5,6.0,Saquon Barkley,RB5,6.2
6,7.0,Alvin Kamara,RB6,6.4
7,8.0,Leonard Fournette,RB7,8.4
8,9.0,Kareem Hunt,RB8,9.0
9,10.0,DeAndre Hopkins,WR2,10.2
10,11.0,Melvin Gordon III,RB9,10.4
11,12.0,dell Beckham Jr. O,WR3,12.0
12,13.0,Dalvin Cook,RB10,13.6
13,14.0,Julio Jones,WR4,14.4
14,15.0,Christian McCaffrey,RB11,15.0
15,16.0,Michael Thomas,WR5,17.4
16,17.0,Devonta Freeman,RB12,17.6
17,18.0,Davante Adams,WR6,17.8
18,19.0,Keenan Allen,WR7,19.0
19,20.0,Jordan Howard,RB13,21.0
20,21.0,Rob Gronkowski,TE1,21.6
21,22.0,A.J. Green,WR8,21.6
22,23.0,Joe Mixon,RB14,23.8
23,24.0,Aaron Rodgers,QB1,24.0
24,25.0,Mike Evans,WR9,25.6
25,26.0,LeSean McCoy,RB15,26.0
26,27.0,Tyreek Hill,WR10,27.0
27,28.0,Travis Kelce,TE2,28.2
28,29.0,Stefon Diggs,WR11,30.2
29,30.0,T.Y. Hilton,WR12,31.0
30,31.0,Alex Collins ,RB16,33.2
31,32.0,Adam Thielen,WR13,34.4
32,33.0,Kenyan Drake,RB17,35.2
33,34.0,Amari Cooper,WR14,35.4
34,35.0,Derrick Henry,RB18,35.8
35,36.0,Deshaun Watson,QB2,37.4
36,37.0,Jay Ajayi ,RB19,39.4
37,38.0,Doug Baldwin,WR15,39.6
38,39.0,Zach Ertz,TE3,39.8
39,40.0,Royce Freeman,RB20,41.0
40,41.0,JuJu Smith-Schuster,WR16,42.0
41,42.0,Larry Fitzgerald,WR17,43.2
42,43.0,Jarvis Landry,WR18,43.6
43,44.0,Tom Brady,QB3,43.8
44,45.0,Lamar Miller,RB21,44.6
45,46.0,Brandin Cooks,WR19,46.0
46,47.0,Demaryius Thomas ,WR20,48.6
47,48.0,Russell Wilson,QB4,49.4
48,49.0,Jimmy Graham,TE4,50.2
49,50.0,Josh Gordon ,WR21,50.8
50,51.0,Mark Ingram II,RB22,52.0
51,52.0,Allen Robinson II,WR22,54.2
52,53.0,Marvin Jones Jr.,WR23,54.6
53,54.0,Golden Tate,WR24,54.8
54,55.0,Chris Hogan,WR25,57.4
55,56.0,Cam Newton ,QB5,58.8
56,57.0,Marshawn Lynch ,RB23,59.2
57,58.0,Carlos Hyde,RB24,60.6
58,59.0,Greg lsen O,TE5,60.6
59,60.0,Drew Brees,QB6,60.8
60,61.0,Dion Lewis,RB25,63.4
61,62.0,Kerryon Johnson ,RB26,66.2
62,63.0,Tevin Coleman,RB27,67.0
63,64.0,Marquise Goodwin,WR26,67.0
64,65.0,Corey Davis,WR27,67.6
65,66.0,Evan Engram,TE6,68.0
66,67.0,Jamaal Williams,RB28,69.8
67,68.0,Michael Crabtree,WR28,69.8
68,69.0,Rex Burkhead,RB29,73.2
69,70.0,Carson Wentz,QB7,75.2
70,71.0,Julian Edelman ,WR29,75.6
71,72.0,Sony Michel,RB30,76.0
72,73.0,Alshon Jeffery,WR30,76.8
73,74.0,Kyle Rudolph,TE7,77.4
74,75.0,Emmanuel Sanders ,WR31,78.6
75,76.0,Delanie Walker ,TE8,79.0
76,77.0,William Fuller V ,WR32,79.4
77,78.0,Kirk Cousins,QB8,81.0
78,79.0,Rashaad Penny,RB31,82.0
