,Rank,Player,POS,AVG
140,141.0,Mitch Trubisky,QB19,146.5
141,142.0,John Brown,WR51,147.0
142,143.0,Stephen Gostkowski ,K4,147.3
143,144.0,Anthony Miller,WR52,147.8
144,145.0,DK Metcalf,WR53,148.3
145,146.0,Golden Tate,WR54,148.5
146,147.0,Greg Olsen,TE15,151.3
147,148.0,Justice Hill,RB51,151.5
148,149.0,Ronald Jones,RB52,152.5
149,150.0,Jimmy Garoppolo,QB20,154.3
150,151.0,Carlos Hyde,RB53,155.5
151,152.0,Trey Burton ,TE16,156.3
152,153.0,Alexander Mattison,RB54,159.3
153,154.0,Josh Allen,QB21,159.3
154,155.0,Denver Broncos,DST6,161.5
155,156.0,New England Patriots,DST7,161.8
156,157.0,Houston Texans,DST8,161.8
157,158.0,Keke Coutee,WR55,162.0
158,159.0,Damien Harris,RB55,163.5
159,160.0,Ka'imi Fairbairn,K5,164.3
160,161.0,Buffalo Bills,DST9,166.8
161,162.0,Cleveland Browns,DST10,168.8
162,163.0,Dallas Cowboys,DST11,170.5
163,164.0,Ito Smith ,RB56,171.5
164,165.0,Jamison Crowder,WR56,172.5
165,166.0,Matthew Stafford,QB22,176.5
166,167.0,Robbie Gould,K6,179.3
167,168.0,Los Angeles Chargers,DST12,143.3
168,169.0,Kyle Rudolph,TE17,146.3
169,170.0,Deebo Samuel,WR57,185.3
170,171.0,Wil Lutz,K7,149.7
171,172.0,Seattle Seahawks,DST13,187.0
172,173.0,N'Keal Harry,WR58,154.0
173,174.0,Jordan Reed,TE18,156.7
174,175.0,Marquise Goodwin,WR59,193.0
175,176.0,New Orleans Saints,DST14,158.7
176,177.0,Jimmy Graham,TE19,158.7
177,178.0,Jake Elliott,K8,196.0
178,179.0,Philadelphia Eagles,DST15,199.8
179,180.0,Mohamed Sanu Sr.,WR60,168.0
180,181.0,Michael Badgley,K9,202.8
181,182.0,Derek Carr,QB23,172.0
182,183.0,Nyheim Hines,RB57,175.7
183,184.0,Marquise Brown,WR61,178.0
184,185.0,Mecole Hardman,WR62,179.0
185,186.0,Sam Darnold,QB24,185.7
186,187.0,Kenny Stills,WR63,186.7
187,188.0,Kansas City Chiefs,DST16,188.3
188,189.0,C.J. Anderson,RB58,188.7
189,190.0,Chris Thompson,RB59,189.0
190,191.0,Noah Fant,TE20,190.3
191,192.0,Pittsburgh Steelers,DST17,192.3
192,193.0,Jamaal Williams,RB60,200.3
193,194.0,Darren Waller,TE21,202.7
194,195.0,Nick Foles,QB25,205.3
195,196.0,Jalen Richard,RB61,206.0
196,197.0,Zay Jones,WR64,206.3
197,198.0,Malcolm Brown,RB62,207.7
198,199.0,Dare Ogunbowale,RB63,208.3
199,200.0,Devin Funchess ,WR65,163.5
200,201.0,Marqise Lee,WR66,209.0
201,202.0,Nelson Agholor,WR67,210.0
202,203.0,Mason Crosby,K10,210.3
203,204.0,DaeSean Hamilton,WR68,210.7
204,205.0,Albert Wilson,WR69,212.7
205,206.0,Matt Prater,K11,213.3
206,207.0,DeVante Parker,WR70,172.5
207,208.0,Tre'Quan Smith,WR71,174.0
208,209.0,Ty Montgomery,RB64,217.3
209,210.0,Jack Doyle,TE22,217.7
210,211.0,Jason Witten,TE23,218.7
211,212.0,Frank Gore,RB65,219.7
212,213.0,Miles Boykin,WR72,225.3
213,214.0,Adam Vinatieri ,K12,226.3
214,215.0,Indianapolis Colts,DST18,226.7
215,216.0,Matt Bryant,K13,250.3
216,217.0,Jason Myers,K14,228.0
217,218.0,Brett Maher,K15,228.3
218,219.0,Chris Herndon,TE24,196.0
219,220.0,Green Bay Packers,DST19,231.0
220,221.0,Adam Humphries,WR73,200.5
221,222.0,J.J. Arcega-Whiteside,WR74,201.0
222,223.0,Tennessee Titans,DST20,233.7
223,224.0,Dallas Goedert,TE25,207.0
224,225.0,Giovani Bernard,RB66,207.5
