,TE,Overall,Player,AVG
0,1.0,12.0,Travis Kelce,1.0
1,2.0,24.0,Darren Waller,2.0
2,3.0,30.0,George Kittle,3.0
3,4.0,48.0,Kyle Pitts,4.3
4,5.0,54.0,Mark Andrews,4.7
5,6.0,65.0,T.J. Hockenson,6.0
6,7.0,82.0,Logan Thomas,7.3
7,8.0,86.0,Robert Tonyan,8.3
8,9.0,93.0,Noah Fant,9.3
9,10.0,100.0,Dallas Goedert,10.3
10,11.0,101.0,Rob Gronkowski,10.7
11,12.0,114.0,Tyler Higbee,12.0
12,13.0,113.0,Mike Gesicki,12.3
13,14.0,137.0,Jonnu Smith,14.7
14,15.0,151.0,Jared Cook,16.3
15,16.0,172.0,Hunter Henry,16.0
16,17.0,173.0,Zach Ertz,16.0
17,18.0,178.0,Evan Engram,16.5
18,19.0,180.0,Pat Freiermuth,17.5
19,20.0,182.0,Gerald Everett,18.5
20,21.0,201.0,Anthony Firkser,20.5
21,22.0,239.0,O.J. Howard,21.0
22,23.0,246.0,Jordan Akins,22.0
23,24.0,212.0,Austin Hooper,23.0
24,25.0,263.0,Chris Herndon IV,25.0
25,26.0,230.0,Blake Jarwin,26.0
26,27.0,232.0,Adam Trautman,27.0
27,28.0,266.0,Juwan Johnson,28.0
28,29.0,231.0,Cole Kmet,29.0
29,30.0,270.0,Tim Tebow,30.0
30,31.0,271.0,Hayden Hurst,31.0
31,32.0,272.0,Dawson Knox,32.0
32,33.0,273.0,Jimmy Graham,33.0
33,34.0,296.0,Dan Arnold,34.0
34,35.0,258.0,Eric Ebron,35.0
35,36.0,314.0,Dalton Schultz,36.0
36,37.0,328.0,Mo Alie-Cox,37.0
37,38.0,359.0,C.J. Uzomah,38.0
38,39.0,373.0,Stephen Anderson,39.0
39,40.0,374.0,David Njoku,40.0
40,41.0,379.0,Donald Parham Jr.,41.0
41,42.0,412.0,Jesper Horsted,42.0
42,,,,
43,,,,
