,RB,Overall,Player,AVG
0,1.0,1.0,David Johnson,1.0
1,2.0,2.0,Le'Veon Bell,2.0
2,3.0,5.0,LeSean McCoy,3.3
3,4.0,7.0,Devonta Freeman,3.8
4,5.0,8.0,Melvin Gordon III,5.0
5,6.0,11.0,DeMarco Murray,7.0
6,7.0,13.0,Jay Ajayi,7.5
7,8.0,14.0,Ezekiel Elliott,7.8
8,9.0,15.0,Jordan Howard,7.8
9,10.0,18.0,Todd Gurley II,10.3
10,11.0,24.0,Leonard Fournette,11.3
11,12.0,27.0,Christian McCaffrey,13.3
12,13.0,26.0,Marshawn Lynch,14.0
13,14.0,30.0,Isaiah Crowell,14.0
14,15.0,29.0,Lamar Miller,14.3
15,16.0,33.0,Dalvin Cook,15.3
16,17.0,44.0,Kareem Hunt,16.3
17,18.0,35.0,Carlos Hyde,18.0
18,19.0,42.0,Ty Montgomery,19.5
19,20.0,39.0,Joe Mixon,19.8
20,21.0,50.0,Mark Ingram II,21.3
21,22.0,46.0,C.J. Anderson,21.8
22,23.0,61.0,Ameer Abdullah,23.8
23,24.0,66.0,Doug Martin,25.3
24,25.0,59.0,Bilal Powell,25.3
25,26.0,63.0,Tevin Coleman,25.5
26,27.0,62.0,Mike Gillislee,25.8
27,28.0,70.0,Adrian Peterson,29.3
28,29.0,79.0,Robert Kelley,29.8
29,30.0,73.0,Frank Gore,31.5
30,31.0,83.0,Paul Perkins,32.3
31,32.0,96.0,Terrance West,33.3
32,33.0,85.0,Derrick Henry,33.3
33,34.0,81.0,LeGarrette Blount,33.3
34,35.0,86.0,Danny Woodhead,33.8
35,36.0,102.0,Darren McFadden,36.8
36,37.0,90.0,Eddie Lacy,37.5
37,38.0,101.0,Thomas Rawls,37.8
38,39.0,99.0,Jonathan Stewart,38.5
39,40.0,103.0,Theo Riddick,41.8
40,41.0,127.0,Jacquizz Rodgers,42.5
41,42.0,115.0,Duke Johnson Jr.,43.3
42,43.0,119.0,James White,44.3
43,44.0,114.0,Samaje Perine,44.5
44,45.0,113.0,Matt Forte,44.8
45,46.0,131.0,Jamaal Williams,45.8
46,47.0,129.0,Jeremy Hill,46.8
47,48.0,133.0,Jamaal Charles,48.0
48,49.0,153.0,Rex Burkhead,49.3
49,50.0,139.0,C.J. Prosise,49.5
50,51.0,134.0,Latavius Murray,50.0
51,52.0,137.0,Darren Sproles,50.5
52,53.0,178.0,Wendell Smallwood,56.0
53,54.0,171.0,D'Onta Foreman,56.3
54,55.0,190.0,Marlon Mack,57.0
55,56.0,182.0,James Conner,57.5
56,57.0,188.0,DeAndre Washington,59.3
57,58.0,176.0,Giovani Bernard,59.5
58,59.0,183.0,Dion Lewis,62.8
59,60.0,207.0,Chris Carson,63.0
60,61.0,184.0,Alvin Kamara,63.5
61,62.0,210.0,Jonathan Williams,57.7
62,63.0,212.0,Charcandrick West,68.8
63,64.0,232.0,Chris Thompson,68.0
64,65.0,202.0,Spencer Ware,68.5
65,66.0,221.0,Shane Vereen,69.7
66,67.0,216.0,Charles Sims,70.0
67,68.0,242.0,Tarik Cohen,71.0
68,69.0,229.0,Jalen Richard,63.0
69,70.0,245.0,Matt Breida,63.5
70,71.0,249.0,De'Angelo Henderson Sr.,66.0
71,72.0,257.0,Orleans Darkwa,68.0
72,73.0,241.0,Devontae Booker,68.0
73,74.0,246.0,T.J. Yeldon,69.0
74,75.0,225.0,Joe Williams,54.0
75,76.0,243.0,Alfred Morris,78.0
76,77.0,263.0,Branden Oliver,74.0
77,78.0,266.0,Zach Zenner,75.0
78,79.0,268.0,Kerwynn Williams,75.5
79,80.0,270.0,Kyle Juszczyk,75.5
80,81.0,273.0,Robert Turbin,77.0
81,82.0,272.0,Kenyan Drake,77.5
82,83.0,293.0,Jamize Olawale,69.0
83,84.0,289.0,Aaron Jones,72.0
84,85.0,267.0,Chris Ivory,80.0
85,86.0,292.0,C.J. Spiller,74.0
86,87.0,277.0,Tim Hightower,83.0
87,88.0,302.0,Donnel Pumphrey,77.0
88,89.0,304.0,Wayne Gallman Jr.,78.0
89,90.0,297.0,Jerick McKinnon,85.0
90,91.0,313.0,Chris Johnson,81.0
91,92.0,320.0,Andre Ellington,81.0
92,93.0,291.0,Ryan Mathews,82.0
93,94.0,318.0,Matt Jones,87.0
94,95.0,334.0,Mike Tolbert,87.0
95,96.0,335.0,Javorius Allen,87.0
96,97.0,350.0,Daniel Lasco,89.0
97,98.0,359.0,Peyton Hillis,93.0
98,99.0,360.0,Kenjon Barner,94.0
99,100.0,361.0,Damien Williams,95.0
100,101.0,363.0,DeAngelo Williams,96.0
101,102.0,364.0,Christine Michael,97.0
102,103.0,365.0,James Starks,98.0
103,104.0,369.0,Cameron Artis-Payne,99.0
104,105.0,370.0,Shaun Draughn,100.0
105,106.0,271.0,Kenneth Dixon,101.0
106,107.0,374.0,Rashad Jennings,102.0
107,108.0,377.0,Malcolm Brown,103.0
108,109.0,378.0,Alfred Blue,104.0
109,110.0,384.0,Fozzy Whittaker,105.0
110,111.0,392.0,T.J. Logan,106.0
111,112.0,399.0,Knile Davis,107.0
112,113.0,400.0,Lance Dunbar,108.0
113,,,,
114,,,,
