,QB,Overall,Player,ESPN,Yahoo,AVG
0,1.0,16.0,Aaron Rodgers,1.0,,1.0
1,2.0,21.0,Tom Brady,2.0,,2.0
2,3.0,31.0,Drew Brees,3.0,,3.0
3,4.0,40.0,Matt Ryan,4.0,,4.0
4,5.0,54.0,Russell Wilson,5.0,,5.5
5,6.0,69.0,Cam Newton,6.0,,8.3
6,7.0,77.0,Kirk Cousins,8.0,,8.3
7,8.0,75.0,Derek Carr,9.0,,8.5
8,9.0,71.0,Jameis Winston,10.0,,8.7
9,10.0,67.0,Marcus Mariota,11.0,,8.7
10,11.0,84.0,Andrew Luck,14.0,,10.8
11,12.0,92.0,Dak Prescott,7.0,,11.3
12,13.0,94.0,Ben Roethlisberger,13.0,,12.0
13,14.0,104.0,Matthew Stafford,12.0,,13.7
14,15.0,110.0,Philip Rivers,15.0,,14.3
15,16.0,132.0,Eli Manning,16.0,,16.7
16,17.0,145.0,Andy Dalton,18.0,,17.8
17,18.0,143.0,Carson Wentz,17.0,,17.8
18,19.0,149.0,Tyrod Taylor,21.0,,18.7
19,20.0,150.0,Carson Palmer,19.0,,19.0
20,21.0,209.0,Joe Flacco,20.0,,22.0
21,22.0,189.0,Jay Cutler,,,22.8
22,23.0,187.0,Deshaun Watson,,,23.2
23,24.0,194.0,Sam Bradford,,,23.4
24,25.0,215.0,Alex Smith,,,24.3
25,26.0,252.0,Mitch Trubisky,,,23.0
26,27.0,238.0,Blake Bortles,,,29.0
27,28.0,298.0,Josh McCown,,,26.0
28,29.0,284.0,Brian Hoyer,,,27.5
29,30.0,282.0,Jared Goff,,,27.0
30,31.0,250.0,Trevor Siemian,,,30.0
31,32.0,260.0,DeShone Kizer,,,32.0
32,33.0,306.0,Jimmy Garoppolo,,,28.0
33,34.0,305.0,Patrick Mahomes II,,,31.0
34,35.0,345.0,Mike Glennon,,,32.0
35,36.0,348.0,Tom Savage,,,34.0
36,37.0,357.0,Matt Barkley,,,36.0
37,38.0,358.0,Cody Kessler,,,37.0
38,39.0,355.0,Brock Osweiler,,,38.0
39,40.0,367.0,Paxton Lynch,,,39.0
40,41.0,315.0,Ryan Tannehill,,,41.0
41,42.0,330.0,Colin Kaepernick,,,42.0
42,43.0,375.0,Matt Moore,,,43.0
43,44.0,327.0,Teddy Bridgewater,,,44.0
44,45.0,386.0,Landry Jones,,,45.0
45,46.0,390.0,Nick Foles,,,46.0
46,47.0,394.0,Matt Schaub,,,47.0
47,,,,,,
48,,,,,,
